bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,3,198,0,198,L1_age=mid|L2_education=high,True,L1_age=mid,0
L1_age=mid,1,0,905,0,ROOT,False,L1_age=mid,905
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,3,97,97,0,L1_age=mid|L2_education=high,False,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,3,523,523,0,L1_age=mid|L2_education=high,False,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,3,30,0,30,L1_age=mid|L2_education=low,True,L1_age=mid,0
L1_age=mid|L2_education=low|L3_hours-per-week=others,3,18,0,18,L1_age=mid|L2_education=low,True,L1_age=mid,0
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,3,156,0,156,L1_age=mid|L2_education=mid,True,L1_age=mid,0
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,3,94,94,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,3,503,0,503,L1_age=mid|L2_education=mid,True,L1_age=mid,0
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,3,34,0,34,L1_age=mid|L2_education=top,True,L1_age=mid|L2_education=top,0
L1_age=mid|L2_education=top,2,0,47,0,L1_age=mid,False,L1_age=mid|L2_education=top,47
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,3,49,49,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=others,3,13,0,13,L1_age=mid|L2_education=top,True,L1_age=mid|L2_education=top,0
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,3,307,307,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,3,105,105,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,3,633,633,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,3,39,0,39,L1_age=old|L2_education=low,True,ROOT,0
ROOT,0,0,1691,0,ROOT,False,ROOT,1691
L1_age=old|L2_education=low|L3_hours-per-week=others,3,20,0,20,L1_age=old|L2_education=low,True,ROOT,0
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,3,206,0,206,L1_age=old|L2_education=mid,True,ROOT,0
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,3,111,111,0,L1_age=old|L2_education=mid,False,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,3,548,0,548,L1_age=old|L2_education=mid,True,ROOT,0
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,3,109,109,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,3,25,25,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,3,115,0,115,L1_age=old|L2_education=top,True,L1_age=old|L2_education=top,0
L1_age=old|L2_education=top,2,0,115,0,L1_age=old,False,L1_age=old|L2_education=top,115
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,3,115,115,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,3,119,0,119,L1_age=very_old|L2_education=high,True,L1_age=very_old|L2_education=high,0
L1_age=very_old|L2_education=high,2,0,360,0,L1_age=very_old,False,L1_age=very_old|L2_education=high,360
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,3,241,0,241,L1_age=very_old|L2_education=high,True,L1_age=very_old|L2_education=high,0
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,3,35,0,35,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,3,54,0,54,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=low|L3_hours-per-week=others,3,14,0,14,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,3,83,0,83,L1_age=very_old|L2_education=mid,True,ROOT,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,3,159,159,0,L1_age=very_old|L2_education=mid,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,3,335,0,335,L1_age=very_old|L2_education=mid,True,ROOT,0
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,3,54,54,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,3,27,0,27,L1_age=very_old|L2_education=top,True,L1_age=very_old|L2_education=top,0
L1_age=very_old|L2_education=top,2,0,27,0,L1_age=very_old,False,L1_age=very_old|L2_education=top,27
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,3,65,65,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,3,70,70,0,L1_age=young|L2_education=high,False,L1_age=young|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,3,290,0,290,L1_age=young|L2_education=high,True,L1_age=young|L2_education=high,0
L1_age=young|L2_education=high,2,0,598,0,L1_age=young,False,L1_age=young|L2_education=high,598
