bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,3645,1561,0.23840877914951988,0.21332479180012812,0.4,0.3,0.13068545803971812,0.7231638418079096,0.6826666666666666,0.7687687687687688,0.04676489429852659,0.24023062139654067,False,1561,26048,0.24078624078624078,0.8139446449707036,0.9291188582719528,f1_regret_bnd,0.5457134894696649,-0.13845169545745362,0.6841651849271185,False,ROOT,,,,,,,1,0.24078624078624078
L1_age=old,L1,ROOT,1256,591,0.35270700636942676,0.3333333333333333,0.4,0.3,0.17597292724196278,0.7476190476190477,0.7040358744394619,0.7969543147208121,0.1319796954314721,0.377326565143824,True,591,8963,0.3614861095615307,0.7474619289340101,0.902310031178335,f1_regret_bnd,0.43966642494561287,0.5457134894696649,-0.10604706452405205,True,ROOT,,,,,,,1,0.3614861095615307
L1_age=mid,L1,ROOT,953,448,0.19727177334732424,0.140625,0.4,0.3,0.11830357142857142,0.6115702479338844,0.6379310344827587,0.5873015873015873,0.109375,0.12946428571428573,True,448,6816,0.18603286384976525,0.720923520923521,0.8993609565038135,f1_regret_bnd,0.383891676505313,0.5457134894696649,-0.16182181296435194,True,ROOT,,,,,,,1,0.18603286384976525
L1_age=very_old,L1,ROOT,717,308,0.3389121338912134,0.3246753246753247,0.4,0.3,0.19155844155844157,0.7204301075268817,0.7790697674418605,0.67,0.12012987012987013,0.2792207792207792,True,308,5142,0.32555425904317387,0.7340384615384616,0.8871153846153846,f1_regret_bnd,0.40874179583857,0.5457134894696649,-0.1369716936310949,True,ROOT,,,,,,,1,0.32555425904317387
L1_age=young,L1,ROOT,795,355,0.022641509433962263,0.011267605633802818,0.5,0.4,0.004225352112676056,0.8571428571428571,1.0,0.75,0.0,0.008450704225352112,False,355,5127,0.017554125219426564,0.875,0.9964387464387464,f1_regret_bnd,0.852917505030181,0.5457134894696649,0.30720401556051613,False,L1_age=young,,,,,,,1,0.017554125219426564
L1_age=old|L2_education=high,L2,L1_age=old,597,256,0.3969849246231156,0.453125,0.3,0.2,0.1474609375,0.8294573643410852,0.7535211267605634,0.9224137931034483,0.078125,0.5546875,False,256,4272,0.412687265917603,0.7897783251231527,0.9132697044334975,f1_regret_bnd,0.6038714268410852,0.43966642494561287,0.16420500189547232,False,L1_age=old|L2_education=high,,,,,,,1,0.412687265917603
L1_age=mid|L2_education=high,L2,L1_age=mid,482,196,0.23236514522821577,0.24489795918367346,0.4,0.3,0.16581632653061223,0.6666666666666666,0.8181818181818182,0.5625,0.17346938775510204,0.1683673469387755,True,196,3406,0.23752201996476804,0.6866554054054055,0.9007601351351352,f1_regret_bnd,0.32738095238095244,0.383891676505313,-0.056510724124360534,True,ROOT,,,,,,,1,0.23752201996476804
L1_age=old|L2_education=mid,L2,L1_age=old,468,197,0.21581196581196582,0.20812182741116753,0.4,0.3,0.17766497461928935,0.6,0.6153846153846154,0.5853658536585366,0.1065989847715736,0.19796954314720813,True,197,3335,0.21319340329835082,0.6997342088805503,0.8836772983114447,f1_regret_bnd,0.31573604060913707,0.43966642494561287,-0.1239303843364758,True,ROOT,,,,,,,1,0.21319340329835082
L1_age=mid|L2_education=mid,L2,L1_age=mid,384,175,0.0859375,0.12,0.4,0.3,0.13142857142857142,0.32,1.0,0.19047619047619047,0.10285714285714286,0.022857142857142857,True,175,2809,0.09433962264150944,0.5595238095238095,0.8803339517625232,f1_regret_bnd,0.08571428571428573,0.383891676505313,-0.29817739079102723,True,ROOT,,,,,,,1,0.09433962264150944
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=high,1816,770,0.38215859030837,0.37272727272727274,0.3,0.2,0.1961038961038961,0.7414965986394557,0.7242524916943521,0.759581881533101,0.21428571428571427,0.39090909090909093,True,770,2586,0.37935034802784223,0.6810331767913953,0.8866766218682595,f1_regret_bnd,0.3311069882498453,0.6038714268410852,-0.2727644385912399,True,L1_age=old|L2_education=high,L1_age=old|L2_education=high,625.0,0.3824,0.0,0.5248,0.2096,1,0.37935034802784223
L1_age=young|L2_education=high,L2,L1_age=young,359,200,0.027855153203342618,0.025,0.5,0.4,0.0125,0.7499999999999999,1.0,0.6,0.03,0.015,True,200,2552,0.02390282131661442,0.7897435897435897,0.9928205128205129,f1_regret_bnd,0.7074999999999999,0.852917505030181,-0.14541750503018114,True,L1_age=young,L1_age=young,,,,,,1,0.02390282131661442
L1_age=young|L2_education=mid,L2,L1_age=young,336,199,0.01488095238095238,0.020100502512562814,0.5,0.4,0.01507537688442211,0.6666666666666666,1.0,0.5,0.0,0.010050251256281407,True,199,2416,0.009519867549668874,0.75,0.967948717948718,f1_regret_bnd,0.6515912897822446,0.852917505030181,-0.20132621524793648,True,L1_age=young,L1_age=young,,,,,,1,0.009519867549668874
L1_age=very_old|L2_education=mid,L2,L1_age=very_old,314,138,0.17197452229299362,0.2246376811594203,0.4,0.3,0.17753623188405798,0.6399999999999999,0.8421052631578947,0.5161290322580645,0.10869565217391304,0.13768115942028986,True,138,2270,0.20748898678414096,0.6926439553813687,0.8567983117274646,f1_regret_bnd,0.3537681159420289,0.40874179583857,-0.05497367989654112,True,ROOT,,,,,,,1,0.20748898678414096
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=mid,1512,667,0.20171957671957672,0.22488755622188905,0.4,0.3,0.18515742128935533,0.5770750988142292,0.7087378640776699,0.4866666666666667,0.272863568215892,0.15442278860569716,True,667,2179,0.20881138136759983,0.5963313990973566,0.8743068987749839,f1_regret_bnd,0.11905410930898191,0.31573604060913707,-0.19668193130015516,True,ROOT,,534.0,0.20411985018726592,0.0,0.14606741573033707,0.20271535580524344,1,0.20881138136759983
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=high,1497,599,0.20574482297929192,0.22036727879799667,0.3,0.2,0.16277128547579298,0.6713286713286714,0.6233766233766234,0.7272727272727273,0.07345575959933222,0.2570951585976628,False,599,2096,0.2099236641221374,0.7662059567841153,0.8963078320680034,f1_regret_bnd,0.43510162625354615,0.32738095238095244,0.10772067387259371,False,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,,488.0,0.19057377049180327,0.0,0.22540983606557377,0.1362704918032787,1,0.2099236641221374
L1_age=very_old|L2_education=high,L2,L1_age=very_old,264,108,0.4393939393939394,0.4537037037037037,0.6,0.3,0.1712962962962963,0.8297872340425533,0.8666666666666667,0.7959183673469388,0.14814814814814814,0.4166666666666667,False,108,1870,0.41818181818181815,0.7538913870633,0.9093739190591491,f1_regret_bnd,0.5103427895981089,0.40874179583857,0.10160099375953885,False,L1_age=very_old|L2_education=high,,,,,,,1,0.41818181818181815
