bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_age=mid,0.5,0.3,bucket_wise,L1_age=mid,False
L1_age=old,0.4,0.2,bucket_wise,ROOT,True
L1_age=very_old,0.4,0.2,bucket_wise,ROOT,True
L1_age=young,0.4,0.2,bucket_wise,ROOT,True
L1_age=mid|L2_education=high,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=mid,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=top,0.3,0.2,bucket_wise,L1_age=mid|L2_education=top,False
L1_age=old|L2_education=high,0.4,0.2,bucket_wise,L1_age=old|L2_education=high,False
L1_age=old|L2_education=low,0.4,0.2,bucket_wise,ROOT,True
L1_age=old|L2_education=mid,0.4,0.2,bucket_wise,ROOT,True
L1_age=old|L2_education=top,0.4,0.3,bucket_wise,L1_age=old|L2_education=top,False
L1_age=very_old|L2_education=high,0.6,0.5,bucket_wise,L1_age=very_old|L2_education=high,False
L1_age=very_old|L2_education=low,0.4,0.2,bucket_wise,ROOT,True
L1_age=very_old|L2_education=mid,0.4,0.2,bucket_wise,ROOT,True
L1_age=very_old|L2_education=top,0.4,0.1,bucket_wise,L1_age=very_old|L2_education=top,False
L1_age=young|L2_education=high,0.3,0.2,bucket_wise,L1_age=young|L2_education=high,False
L1_age=young|L2_education=mid,0.4,0.2,bucket_wise,ROOT,True
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,0.3,0.2,bucket_wise,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,False
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,0.3,0.2,bucket_wise,L1_age=mid|L2_education=top,True
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,0.5,0.3,bucket_wise,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,False
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,0.4,0.2,bucket_wise,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,False
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,0.3,0.2,bucket_wise,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,False
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,0.5,0.3,bucket_wise,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,False
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,0.4,0.2,bucket_wise,ROOT,True
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,0.3,0.2,bucket_wise,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,False
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,0.4,0.2,bucket_wise,ROOT,True
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,0.5,0.4,bucket_wise,L1_age=old|L2_education=top|L3_hours-per-week=high_hours,False
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,0.4,0.3,bucket_wise,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,False
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,0.4,0.3,bucket_wise,L1_age=old|L2_education=top,True
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,0.6,0.5,bucket_wise,L1_age=very_old|L2_education=high,True
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,0.6,0.5,bucket_wise,L1_age=very_old|L2_education=high,True
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,0.6,0.5,bucket_wise,L1_age=very_old|L2_education=high,True
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,0.4,0.2,bucket_wise,ROOT,True
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,0.4,0.2,bucket_wise,ROOT,True
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,0.3,0.2,bucket_wise,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,False
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,0.4,0.3,bucket_wise,L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,False
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,0.5,0.4,bucket_wise,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,False
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,0.4,0.1,bucket_wise,L1_age=very_old|L2_education=top,True
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,0.6,0.4,bucket_wise,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,False
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,0.3,0.2,bucket_wise,L1_age=young|L2_education=high|L3_hours-per-week=high_hours,False
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,0.3,0.2,bucket_wise,L1_age=young|L2_education=high,True
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,0.3,0.2,bucket_wise,L1_age=young|L2_education=high,True
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,0.4,0.2,bucket_wise,ROOT,True
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,0.3,0.2,bucket_wise,L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,False
L1_age=mid|L2_education=low,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=young|L2_education=low,0.4,0.2,bucket_wise,ROOT,True
L1_age=young|L2_education=others,0.4,0.2,bucket_wise,ROOT,True
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=low|L3_hours-per-week=others,0.5,0.3,bucket_wise,L1_age=mid,True
L1_age=mid|L2_education=top|L3_hours-per-week=others,0.3,0.2,bucket_wise,L1_age=mid|L2_education=top,True
