fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,26048,3645,1561,,False,False,ROOT
1,L1_age=mid,ROOT,1,L1_age,numeric_bin,mid,6816,953,448,,False,True,ROOT
1,L1_age=old,ROOT,1,L1_age,numeric_bin,old,8963,1256,591,,False,True,ROOT
1,L1_age=very_old,ROOT,1,L1_age,numeric_bin,very_old,5142,717,308,,False,True,ROOT
1,L1_age=young,ROOT,1,L1_age,numeric_bin,young,5127,795,355,,False,False,L1_age=young
1,L1_age=mid|L2_education=high,L1_age=mid,2,L2_education,categorical_group,high,3406,482,196,,False,True,ROOT
1,L1_age=mid|L2_education=low,L1_age=mid,2,L2_education,categorical_group,low,166,116,50,,False,True,ROOT
1,L1_age=mid|L2_education=mid,L1_age=mid,2,L2_education,categorical_group,mid,2809,384,175,,False,True,ROOT
1,L1_age=mid|L2_education=top,L1_age=mid,2,L2_education,categorical_group,top,435,94,124,,False,False,L1_age=mid|L2_education=top
1,L1_age=old|L2_education=high,L1_age=old,2,L2_education,categorical_group,high,4272,597,256,,False,False,L1_age=old|L2_education=high
1,L1_age=old|L2_education=low,L1_age=old,2,L2_education,categorical_group,low,270,95,71,,False,True,ROOT
1,L1_age=old|L2_education=mid,L1_age=old,2,L2_education,categorical_group,mid,3335,468,197,,False,True,ROOT
1,L1_age=old|L2_education=top,L1_age=old,2,L2_education,categorical_group,top,1086,204,93,,False,False,L1_age=old|L2_education=top
1,L1_age=very_old|L2_education=high,L1_age=very_old,2,L2_education,categorical_group,high,1870,264,108,,False,False,L1_age=very_old|L2_education=high
1,L1_age=very_old|L2_education=low,L1_age=very_old,2,L2_education,categorical_group,low,412,169,131,,False,True,ROOT
1,L1_age=very_old|L2_education=mid,L1_age=very_old,2,L2_education,categorical_group,mid,2270,314,138,,False,True,ROOT
1,L1_age=very_old|L2_education=top,L1_age=very_old,2,L2_education,categorical_group,top,590,148,178,,False,False,L1_age=very_old|L2_education=top
1,L1_age=young|L2_education=high,L1_age=young,2,L2_education,categorical_group,high,2552,359,200,,False,True,L1_age=young
1,L1_age=young|L2_education=low,L1_age=young,2,L2_education,categorical_group,low,119,74,45,27.0,True,True,L1_age=young
1,L1_age=young|L2_education=mid,L1_age=young,2,L2_education,categorical_group,mid,2416,336,199,,False,True,L1_age=young
1,L1_age=young|L2_education=others,L1_age=young,2,L2_education,categorical_group,others,40,26,14,11.0,True,True,L1_age=young
1,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,884,615,269,216.0,True,False,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours
1,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,426,304,122,108.0,True,False,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours
1,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,2096,1497,599,488.0,True,True,ROOT
1,L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,107,79,28,33.0,True,True,ROOT
1,L1_age=mid|L2_education=low|L3_hours-per-week=others,L1_age=mid|L2_education=low,3,L3_hours-per-week,numeric_bin,others,59,37,22,14.0,True,True,ROOT
1,L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,579,396,183,160.0,True,True,ROOT
1,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,374,255,119,96.0,True,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours
1,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,1856,1274,582,465.0,True,False,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours
1,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,175,123,52,47.0,True,True,L1_age=mid|L2_education=top
1,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,200,147,53,59.0,True,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours
1,L1_age=mid|L2_education=top|L3_hours-per-week=others,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,others,60,41,19,12.0,True,True,L1_age=mid|L2_education=top
1,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,1248,873,375,320.0,True,True,L1_age=old|L2_education=high
1,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,438,303,135,111.0,True,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours
1,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,2586,1816,770,625.0,True,True,L1_age=old|L2_education=high
1,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=old|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,174,129,45,38.0,True,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours
1,L1_age=old|L2_education=low|L3_hours-per-week=others,L1_age=old|L2_education=low,3,L3_hours-per-week,numeric_bin,others,96,70,26,20.0,True,True,ROOT
1,L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,727,517,210,189.0,True,True,ROOT
1,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,429,315,114,108.0,True,False,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours
1,L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,2179,1512,667,534.0,True,True,ROOT
1,L1_age=old|L2_education=top|L3_hours-per-week=high_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,457,319,138,109.0,True,False,L1_age=old|L2_education=top|L3_hours-per-week=high_hours
1,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,low_hours,103,68,35,23.0,True,True,L1_age=old|L2_education=top
1,L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,526,368,158,136.0,True,True,L1_age=old|L2_education=top
1,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,442,306,136,101.0,True,True,L1_age=very_old|L2_education=high
1,L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,438,307,131,108.0,True,True,L1_age=very_old|L2_education=high
1,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,990,714,276,254.0,True,False,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours
1,L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,low_hours,138,94,44,32.0,True,True,ROOT
1,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,205,139,66,56.0,True,False,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours
1,L1_age=very_old|L2_education=low|L3_hours-per-week=others,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,others,69,48,21,11.0,True,True,ROOT
1,L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,360,249,111,91.0,True,True,ROOT
1,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,614,420,194,143.0,True,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours
1,L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,1296,905,391,358.0,True,True,ROOT
1,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,221,153,68,57.0,True,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours
1,L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,low_hours,112,83,29,41.0,True,True,L1_age=very_old|L2_education=top
1,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,257,176,81,66.0,True,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours
