bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,3,1100,1100,0,L1_age=mid|L2_education=high,False,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,3,534,534,0,L1_age=mid|L2_education=high,False,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,3,2584,2584,0,L1_age=mid|L2_education=high,False,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,3,140,140,0,L1_age=mid|L2_education=low,False,L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=low|L3_hours-per-week=others,3,73,73,0,L1_age=mid|L2_education=low,False,L1_age=mid|L2_education=low|L3_hours-per-week=others,0
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,3,739,739,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,0
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,3,470,470,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,3,2321,2321,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,3,222,222,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,3,259,259,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=others,3,72,72,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=others,0
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,3,1568,1568,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,3,549,549,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,3,3211,3211,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,3,212,212,0,L1_age=old|L2_education=low,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=low|L3_hours-per-week=others,3,116,116,0,L1_age=old|L2_education=low,False,L1_age=old|L2_education=low|L3_hours-per-week=others,0
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,3,916,916,0,L1_age=old|L2_education=mid,False,L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,3,537,537,0,L1_age=old|L2_education=mid,False,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,3,2713,2713,0,L1_age=old|L2_education=mid,False,L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,3,566,566,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,3,126,126,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,3,662,662,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,3,543,543,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,3,546,546,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,3,1244,1244,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,3,170,170,0,L1_age=very_old|L2_education=low,False,L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,3,261,261,0,L1_age=very_old|L2_education=low,False,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,0
L1_age=very_old|L2_education=low|L3_hours-per-week=others,3,80,80,0,L1_age=very_old|L2_education=low,False,L1_age=very_old|L2_education=low|L3_hours-per-week=others,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,3,451,451,0,L1_age=very_old|L2_education=mid,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,3,757,757,0,L1_age=very_old|L2_education=mid,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,3,1654,1654,0,L1_age=very_old|L2_education=mid,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,0
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,3,278,278,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,3,153,153,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,3,323,323,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,3,291,291,0,L1_age=young|L2_education=high,False,L1_age=young|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,3,1516,1516,0,L1_age=young|L2_education=high,False,L1_age=young|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,3,1409,1409,0,L1_age=young|L2_education=high,False,L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=low,2,146,146,0,L1_age=young,False,L1_age=young|L2_education=low,0
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,3,267,267,0,L1_age=young|L2_education=mid,False,L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,0
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,3,1293,1293,0,L1_age=young|L2_education=mid,False,L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,3,1438,1438,0,L1_age=young|L2_education=mid,False,L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=others,2,51,51,0,L1_age=young,False,L1_age=young|L2_education=others,0
