bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_age=mid,0.4,0.3,bucket_wise,L1_age=mid,False
L1_age=old,0.4,0.2,bucket_wise,L1_age=old,False
L1_age=very_old,0.4,0.3,bucket_wise,L1_age=very_old,False
L1_age=young,0.5,0.4,bucket_wise,L1_age=young,False
L1_age=mid|L2_education=high,0.4,0.3,bucket_wise,L1_age=mid|L2_education=high,False
L1_age=mid|L2_education=low,0.4,0.3,bucket_wise,L1_age=mid|L2_education=low,False
L1_age=mid|L2_education=mid,0.6,0.5,bucket_wise,L1_age=mid|L2_education=mid,False
L1_age=mid|L2_education=top,0.5,0.3,bucket_wise,L1_age=mid|L2_education=top,False
L1_age=old|L2_education=high,0.4,0.2,bucket_wise,L1_age=old|L2_education=high,False
L1_age=old|L2_education=low,0.4,0.2,bucket_wise,L1_age=old|L2_education=low,False
L1_age=old|L2_education=mid,0.4,0.2,bucket_wise,L1_age=old|L2_education=mid,False
L1_age=old|L2_education=top,0.4,0.3,bucket_wise,L1_age=old|L2_education=top,False
L1_age=very_old|L2_education=high,0.4,0.3,bucket_wise,L1_age=very_old|L2_education=high,False
L1_age=very_old|L2_education=low,0.7,0.6,bucket_wise,L1_age=very_old|L2_education=low,False
L1_age=very_old|L2_education=mid,0.5,0.3,bucket_wise,L1_age=very_old|L2_education=mid,False
L1_age=very_old|L2_education=top,0.4,0.3,bucket_wise,L1_age=very_old|L2_education=top,False
L1_age=young|L2_education=high,0.5,0.4,bucket_wise,L1_age=young|L2_education=high,False
L1_age=young|L2_education=low,0.2,0.1,bucket_wise,L1_age=young|L2_education=low,False
L1_age=young|L2_education=mid,0.4,0.3,bucket_wise,L1_age=young|L2_education=mid,False
L1_age=young|L2_education=others,0.5,0.4,bucket_wise,L1_age=young|L2_education=others,False
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,0.4,0.2,bucket_wise,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,False
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,0.6,0.3,bucket_wise,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,False
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,0.4,0.3,bucket_wise,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,False
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,0.4,0.2,bucket_wise,L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,False
L1_age=mid|L2_education=low|L3_hours-per-week=others,0.4,0.3,bucket_wise,L1_age=mid|L2_education=low|L3_hours-per-week=others,False
