bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,32561,4557,1953,,False,False,ROOT
L1_age=mid,ROOT,1,L1_age,numeric_bin,mid,8514,1195,547,,False,False,L1_age=mid
L1_age=old,ROOT,1,L1_age,numeric_bin,old,11176,1575,728,,False,False,L1_age=old
L1_age=very_old,ROOT,1,L1_age,numeric_bin,very_old,6460,894,394,,False,False,L1_age=very_old
L1_age=young,ROOT,1,L1_age,numeric_bin,young,6411,917,433,,False,False,L1_age=young
L1_age=mid|L2_education=high,L1_age=mid,2,L2_education,categorical_group,high,4218,591,250,,False,False,L1_age=mid|L2_education=high
L1_age=mid|L2_education=low,L1_age=mid,2,L2_education,categorical_group,low,213,161,52,,False,False,L1_age=mid|L2_education=low
L1_age=mid|L2_education=mid,L1_age=mid,2,L2_education,categorical_group,mid,3530,492,211,,False,False,L1_age=mid|L2_education=mid
L1_age=mid|L2_education=top,L1_age=mid,2,L2_education,categorical_group,top,553,116,161,,False,False,L1_age=mid|L2_education=top
L1_age=old|L2_education=high,L1_age=old,2,L2_education,categorical_group,high,5328,745,318,,False,False,L1_age=old|L2_education=high
L1_age=old|L2_education=low,L1_age=old,2,L2_education,categorical_group,low,328,114,90,,False,False,L1_age=old|L2_education=low
L1_age=old|L2_education=mid,L1_age=old,2,L2_education,categorical_group,mid,4166,584,248,,False,False,L1_age=old|L2_education=mid
L1_age=old|L2_education=top,L1_age=old,2,L2_education,categorical_group,top,1354,270,99,,False,False,L1_age=old|L2_education=top
L1_age=very_old|L2_education=high,L1_age=very_old,2,L2_education,categorical_group,high,2333,322,143,,False,False,L1_age=very_old|L2_education=high
L1_age=very_old|L2_education=low,L1_age=very_old,2,L2_education,categorical_group,low,511,118,144,,False,False,L1_age=very_old|L2_education=low
L1_age=very_old|L2_education=mid,L1_age=very_old,2,L2_education,categorical_group,mid,2862,396,173,,False,False,L1_age=very_old|L2_education=mid
L1_age=very_old|L2_education=top,L1_age=very_old,2,L2_education,categorical_group,top,754,179,246,,False,False,L1_age=very_old|L2_education=top
L1_age=young|L2_education=high,L1_age=young,2,L2_education,categorical_group,high,3216,446,273,,False,False,L1_age=young|L2_education=high
L1_age=young|L2_education=low,L1_age=young,2,L2_education,categorical_group,low,146,109,37,,True,False,L1_age=young|L2_education=low
L1_age=young|L2_education=mid,L1_age=young,2,L2_education,categorical_group,mid,2998,413,247,,False,False,L1_age=young|L2_education=mid
L1_age=young|L2_education=others,L1_age=young,2,L2_education,categorical_group,others,51,37,14,,True,False,L1_age=young|L2_education=others
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,1100,794,306,,True,False,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,534,365,169,,True,False,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,2584,1804,780,,True,False,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,140,98,42,,True,False,L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours
L1_age=mid|L2_education=low|L3_hours-per-week=others,L1_age=mid|L2_education=low,3,L3_hours-per-week,numeric_bin,others,73,63,10,,True,False,L1_age=mid|L2_education=low|L3_hours-per-week=others
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,739,533,206,,True,False,L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,470,326,144,,True,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,2321,1607,714,,True,False,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,222,161,61,,True,False,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,259,183,76,,True,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours
L1_age=mid|L2_education=top|L3_hours-per-week=others,L1_age=mid|L2_education=top,3,L3_hours-per-week,numeric_bin,others,72,48,24,,True,False,L1_age=mid|L2_education=top|L3_hours-per-week=others
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,1568,1078,490,,True,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,549,389,160,,True,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L1_age=old|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,3211,2267,944,,True,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=old|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,212,155,57,,True,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours
L1_age=old|L2_education=low|L3_hours-per-week=others,L1_age=old|L2_education=low,3,L3_hours-per-week,numeric_bin,others,116,83,33,,True,False,L1_age=old|L2_education=low|L3_hours-per-week=others
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,916,626,290,,True,False,L1_age=old|L2_education=mid|L3_hours-per-week=high_hours
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,537,386,151,,True,False,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=old|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,2713,1910,803,,True,False,L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,566,402,164,,True,False,L1_age=old|L2_education=top|L3_hours-per-week=high_hours
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,low_hours,126,91,35,,True,False,L1_age=old|L2_education=top|L3_hours-per-week=low_hours
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,L1_age=old|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,662,498,164,,True,False,L1_age=old|L2_education=top|L3_hours-per-week=normal_hours
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,543,358,185,,True,False,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,546,391,155,,True,False,L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,1244,867,377,,True,False,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,low_hours,170,125,45,,True,False,L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,normal_hours,261,186,75,,True,False,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours
L1_age=very_old|L2_education=low|L3_hours-per-week=others,L1_age=very_old|L2_education=low,3,L3_hours-per-week,numeric_bin,others,80,56,24,,True,False,L1_age=very_old|L2_education=low|L3_hours-per-week=others
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,451,312,139,,True,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,757,534,223,,True,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,1654,1142,512,,True,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,high_hours,278,187,91,,True,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,low_hours,153,98,55,,True,False,L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=top,3,L3_hours-per-week,numeric_bin,normal_hours,323,223,100,,True,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,L1_age=young|L2_education=high,3,L3_hours-per-week,numeric_bin,high_hours,291,195,96,,True,False,L1_age=young|L2_education=high|L3_hours-per-week=high_hours
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,L1_age=young|L2_education=high,3,L3_hours-per-week,numeric_bin,low_hours,1516,1050,466,,True,False,L1_age=young|L2_education=high|L3_hours-per-week=low_hours
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,L1_age=young|L2_education=high,3,L3_hours-per-week,numeric_bin,normal_hours,1409,989,420,,True,False,L1_age=young|L2_education=high|L3_hours-per-week=normal_hours
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,L1_age=young|L2_education=mid,3,L3_hours-per-week,numeric_bin,high_hours,267,190,77,,True,False,L1_age=young|L2_education=mid|L3_hours-per-week=high_hours
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,L1_age=young|L2_education=mid,3,L3_hours-per-week,numeric_bin,low_hours,1293,876,417,,True,False,L1_age=young|L2_education=mid|L3_hours-per-week=low_hours
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=young|L2_education=mid,3,L3_hours-per-week,numeric_bin,normal_hours,1438,1000,438,,True,False,L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours
