bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,3,1100,0,1100,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high,0
L1_age=mid|L2_education=high,2,0,4218,0,L1_age=mid,False,L1_age=mid|L2_education=high,4218
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,3,534,0,534,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high,0
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,3,2584,0,2584,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high,0
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,3,140,0,140,L1_age=mid|L2_education=low,True,ROOT,0
ROOT,0,0,10717,0,ROOT,False,ROOT,10717
L1_age=mid|L2_education=low|L3_hours-per-week=others,3,73,0,73,L1_age=mid|L2_education=low,True,ROOT,0
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,3,739,0,739,L1_age=mid|L2_education=mid,True,ROOT,0
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,3,470,470,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,3,2321,0,2321,L1_age=mid|L2_education=mid,True,ROOT,0
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,3,222,222,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,3,259,259,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=mid|L2_education=top|L3_hours-per-week=others,3,72,0,72,L1_age=mid|L2_education=top,True,L1_age=mid|L2_education=top,0
L1_age=mid|L2_education=top,2,0,72,0,L1_age=mid,False,L1_age=mid|L2_education=top,72
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,3,1568,1568,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,3,549,549,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,3,3211,3211,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,3,212,212,0,L1_age=old|L2_education=low,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,0
L1_age=old|L2_education=low|L3_hours-per-week=others,3,116,0,116,L1_age=old|L2_education=low,True,ROOT,0
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,3,916,0,916,L1_age=old|L2_education=mid,True,ROOT,0
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,3,537,0,537,L1_age=old|L2_education=mid,True,ROOT,0
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,3,2713,0,2713,L1_age=old|L2_education=mid,True,ROOT,0
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,3,566,0,566,L1_age=old|L2_education=top,True,L1_age=old|L2_education=top,0
L1_age=old|L2_education=top,2,0,1228,0,L1_age=old,False,L1_age=old|L2_education=top,1228
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,3,126,126,0,L1_age=old|L2_education=top,False,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,0
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,3,662,0,662,L1_age=old|L2_education=top,True,L1_age=old|L2_education=top,0
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,3,543,543,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,3,546,0,546,L1_age=very_old|L2_education=high,True,ROOT,0
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,3,1244,1244,0,L1_age=very_old|L2_education=high,False,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,0
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,3,170,0,170,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,3,261,0,261,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=low|L3_hours-per-week=others,3,80,0,80,L1_age=very_old|L2_education=low,True,ROOT,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,3,451,0,451,L1_age=very_old|L2_education=mid,True,ROOT,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,3,757,757,0,L1_age=very_old|L2_education=mid,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,0
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,3,1654,0,1654,L1_age=very_old|L2_education=mid,True,ROOT,0
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,3,278,278,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,0
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,3,153,0,153,L1_age=very_old|L2_education=top,True,L1_age=very_old|L2_education=top,0
L1_age=very_old|L2_education=top,2,0,153,0,L1_age=very_old,False,L1_age=very_old|L2_education=top,153
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,3,323,323,0,L1_age=very_old|L2_education=top,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,3,291,0,291,L1_age=young|L2_education=high,True,L1_age=young,0
L1_age=young,1,0,4706,0,ROOT,False,L1_age=young,4706
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,3,1516,0,1516,L1_age=young|L2_education=high,True,L1_age=young,0
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,3,1409,0,1409,L1_age=young|L2_education=high,True,L1_age=young,0
L1_age=young|L2_education=low,2,146,0,146,L1_age=young,True,L1_age=young,0
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,3,267,267,0,L1_age=young|L2_education=mid,False,L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,0
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,3,1293,0,1293,L1_age=young|L2_education=mid,True,L1_age=young,0
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,3,1438,1438,0,L1_age=young|L2_education=mid,False,L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,0
L1_age=young|L2_education=others,2,51,0,51,L1_age=young,True,L1_age=young,0
