bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,4557,1953,0.7839319117096895,0.7696909272183449,0.9369428163666847,0.12916026625704044,0.1295442908346134,0.2601126472094214,f1_regret_bnd,0.5757585155439977,-0.136426451018528,0.7121849665625257,False,ROOT
L1_age=mid,ROOT,1,1195,547,0.7673474349623146,0.6746987951807228,0.925309992706054,0.11882998171846434,0.051188299817184646,0.13893967093235832,f1_regret_bnd,0.5302746635536661,0.5757585155439977,-0.04548385199033156,True,ROOT
L1_age=old,ROOT,1,1575,728,0.765172735760971,0.7960784313725491,0.929655195411498,0.1466346153846154,0.15384615384615385,0.3543956043956044,f1_regret_bnd,0.5725207390648568,0.5757585155439977,-0.003237776479140919,True,ROOT
L1_age=very_old,ROOT,1,894,394,0.7487262228260869,0.7346938775510203,0.894050045289855,0.19289340101522842,0.10152284263959391,0.39593908629441626,f1_regret_bnd,0.49103905521599495,0.5757585155439977,-0.08471946032800276,True,ROOT
L1_age=young,ROOT,1,917,433,0.7464871194379391,0.6666666666666666,0.934816549570648,0.01212471131639723,0.006928406466512702,0.006928406466512702,f1_regret_bnd,0.651077752117013,0.5757585155439977,0.07531923657301531,False,L1_age=young
L1_age=mid|L2_education=high,L1_age=mid,2,591,250,0.8141469038208169,0.7596899224806201,0.9184782608695653,0.133,0.052,0.252,f1_regret_bnd,0.60068992248062,0.5302746635536661,0.07041525892695388,False,L1_age=mid|L2_education=high
L1_age=mid|L2_education=low,L1_age=mid,2,161,52,0.5,0.0,0.8528708133971292,0.028169014084507043,0.0,0.0,f1_regret_bnd,,0.5302746635536661,,True,ROOT
L1_age=mid|L2_education=mid,L1_age=mid,2,492,211,0.6333333333333333,0.4210526315789474,0.8727891156462585,0.07819905213270142,0.0,0.018957345971563982,f1_regret_bnd,0.34285357944624595,0.5302746635536661,-0.1874210841074202,True,ROOT
L1_age=mid|L2_education=top,L1_age=mid,2,116,161,0.817906976744186,0.8571428571428572,0.9341085271317829,0.13819875776397517,0.07453416149068323,0.4906832298136646,f1_regret_bnd,0.6816770186335405,0.5302746635536661,0.15140235507987432,False,L1_age=mid|L2_education=top
L1_age=old|L2_education=high,L1_age=old,2,745,318,0.7221217105263158,0.7527675276752768,0.8832648026315789,0.20676100628930819,0.12578616352201258,0.449685534591195,f1_regret_bnd,0.48311343962496234,0.5725207390648568,-0.08940729943989445,True,ROOT
L1_age=old|L2_education=low,L1_age=old,2,114,90,0.48863636363636365,0.0,0.8238636363636365,0.030555555555555555,0.03333333333333333,0.0,f1_regret_bnd,-0.04722222222222222,0.5725207390648568,-0.6197429612870791,True,ROOT
L1_age=old|L2_education=mid,L1_age=old,2,584,248,0.6387648809523809,0.6262626262626263,0.8628162202380952,0.18951612903225806,0.21774193548387097,0.17338709677419356,f1_regret_bnd,0.32787552948843274,0.5725207390648568,-0.24464520957642405,True,ROOT
L1_age=old|L2_education=top,L1_age=old,2,270,99,0.8121794871794872,0.9076923076923077,0.9307692307692308,0.10606060606060606,0.030303030303030304,0.7070707070707071,f1_regret_bnd,0.7864801864801865,0.5725207390648568,0.21395944741532968,False,L1_age=old|L2_education=top
L1_age=very_old|L2_education=high,L1_age=very_old,2,322,143,0.7336345381526104,0.7313432835820896,0.8548192771084338,0.22727272727272727,0.06293706293706294,0.5174825174825175,f1_regret_bnd,0.4726020248408308,0.49103905521599495,-0.018437030375164143,True,ROOT
L1_age=very_old|L2_education=low,L1_age=very_old,2,118,144,0.5909090909090909,0.3076923076923077,0.8407382091592618,0.09375,0.0,0.013888888888888888,f1_regret_bnd,0.2139423076923077,0.49103905521599495,-0.27709674752368724,True,ROOT
L1_age=very_old|L2_education=mid,L1_age=very_old,2,396,173,0.6231370410759723,0.59375,0.8704107597237368,0.1777456647398844,0.23121387283236994,0.12716763005780346,f1_regret_bnd,0.30039739884393063,0.49103905521599495,-0.19064165637206432,True,ROOT
L1_age=very_old|L2_education=top,L1_age=very_old,2,179,246,0.7075721973773972,0.8788732394366198,0.8849389827939059,0.1524390243902439,0.06504065040650407,0.7642276422764228,f1_regret_bnd,0.6939138898431239,0.49103905521599495,0.2028748346271289,False,L1_age=very_old|L2_education=top
L1_age=young|L2_education=high,L1_age=young,2,446,273,0.7211538461538461,0.6,0.9695266272189349,0.04212454212454213,0.018315018315018316,0.02564102564102564,f1_regret_bnd,0.5487179487179488,0.651077752117013,-0.10235980339906425,True,L1_age=young
L1_age=young|L2_education=low,L1_age=young,2,109,37,0.6666666666666666,0.5,0.9417249417249417,0.02054794520547945,0.0,0.00684931506849315,f1_regret_bnd,,0.651077752117013,,True,L1_age=young
L1_age=young|L2_education=mid,L1_age=young,2,413,247,0.5833333333333334,0.2857142857142857,0.966804979253112,0.027327935222672066,0.004048582995951417,0.004048582995951417,f1_regret_bnd,0.2563620589936379,0.651077752117013,-0.3947156931233751,True,L1_age=young
L1_age=young|L2_education=others,L1_age=young,2,37,14,0.8643617021276595,0.8571428571428571,0.9361702127659575,0.03431372549019608,0.0196078431372549,0.058823529411764705,f1_regret_bnd,,0.651077752117013,,True,L1_age=young
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L1_age=mid|L2_education=high,3,794,306,0.6636671418389166,0.7325102880658436,0.8607893799002138,0.22303921568627452,0.20588235294117646,0.3954248366013072,f1_regret_bnd,0.4065298959089809,0.60068992248062,-0.1941600265716391,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L1_age=mid|L2_education=high,3,365,169,0.7247425997425998,0.6666666666666667,0.9343629343629344,0.08579881656804733,0.08875739644970414,0.07100591715976332,f1_regret_bnd,0.5364891518737673,0.60068992248062,-0.0642007706068527,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=high,3,1804,780,0.7753207158694964,0.6705882352941176,0.8995832673424137,0.14903846153846154,0.05512820512820513,0.22564102564102564,f1_regret_bnd,0.49398567119155345,0.60068992248062,-0.10670425128906658,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=low,3,98,42,0.5,0.0,0.8004866180048662,0.03214285714285714,0.0,0.0,f1_regret_bnd,,-0.136426451018528,,True,ROOT
