bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
ROOT,L1,,4557,1953,0.24862848365152512,0.2534562211981567,0.4,0.2,0.12916026625704044,0.7696909272183449,0.7598425196850394,0.7797979797979798,0.1295442908346134,0.2601126472094214,False,1953,32561,0.2408095574460244,0.7839319117096895,0.9369428163666847,global_default,f1_regret_bnd,,,,False,ROOT,False,val,
L1_age=old,L1,ROOT,1575,728,0.35873015873015873,0.34615384615384615,0.4,0.2,0.1466346153846154,0.7960784313725491,0.7868217054263565,0.8055555555555556,0.15384615384615385,0.3543956043956044,False,728,11176,0.36130994989262705,0.765172735760971,0.929655195411498,global_default,f1_regret_bnd,,,,False,L1_age=old,False,val,
L1_age=mid,L1,ROOT,1195,547,0.19497907949790794,0.16453382084095064,0.4,0.3,0.11882998171846434,0.6746987951807228,0.7368421052631579,0.6222222222222222,0.051188299817184646,0.13893967093235832,False,547,8514,0.18686868686868688,0.7673474349623146,0.925309992706054,global_default,f1_regret_bnd,,,,False,L1_age=mid,False,val,
L1_age=very_old,L1,ROOT,894,394,0.32997762863534674,0.350253807106599,0.4,0.3,0.19289340101522842,0.7346938775510203,0.6923076923076923,0.782608695652174,0.10152284263959391,0.39593908629441626,False,394,6460,0.32476780185758514,0.7487262228260869,0.894050045289855,global_default,f1_regret_bnd,,,,False,L1_age=very_old,False,val,
L1_age=young,L1,ROOT,917,433,0.020719738276990186,0.013856812933025405,0.5,0.4,0.01212471131639723,0.6666666666666666,1.0,0.5,0.006928406466512702,0.006928406466512702,False,433,6411,0.017781937295273748,0.7464871194379391,0.934816549570648,global_default,f1_regret_bnd,,,,False,L1_age=young,False,val,
L1_age=old|L2_education=high,L2,L1_age=old,745,318,0.41073825503355704,0.4025157232704403,0.4,0.2,0.20676100628930819,0.7527675276752768,0.7132867132867133,0.796875,0.12578616352201258,0.449685534591195,False,318,5328,0.4119744744744745,0.7221217105263158,0.8832648026315789,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=high,False,val,
L1_age=mid|L2_education=high,L2,L1_age=mid,591,250,0.2521150592216582,0.264,0.4,0.3,0.133,0.7596899224806201,0.7777777777777778,0.7424242424242424,0.052,0.252,False,250,4218,0.23565670934091987,0.8141469038208169,0.9184782608695653,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=high,False,val,
L1_age=old|L2_education=mid,L2,L1_age=old,584,248,0.21232876712328766,0.22580645161290322,0.4,0.2,0.18951612903225806,0.6262626262626263,0.7209302325581395,0.5535714285714286,0.21774193548387097,0.17338709677419356,False,248,4166,0.21387421987518002,0.6387648809523809,0.8628162202380952,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=mid,False,val,
L1_age=mid|L2_education=mid,L2,L1_age=mid,492,211,0.11585365853658537,0.07109004739336493,0.6,0.5,0.07819905213270142,0.4210526315789474,1.0,0.26666666666666666,0.0,0.018957345971563982,False,211,3530,0.0971671388101983,0.6333333333333333,0.8727891156462585,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=mid,False,val,
L1_age=young|L2_education=high,L2,L1_age=young,446,273,0.017937219730941704,0.047619047619047616,0.5,0.4,0.04212454212454213,0.6,0.8571428571428571,0.46153846153846156,0.018315018315018316,0.02564102564102564,False,273,3216,0.02394278606965174,0.7211538461538461,0.9695266272189349,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=high,False,val,
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=high,2267,944,0.38244375827084254,0.3739406779661017,0.4,0.2,0.1864406779661017,0.7622739018087855,0.7007125890736342,0.8356940509915014,0.13347457627118645,0.4459745762711864,False,944,3211,0.3799439426969791,0.7359519324331449,0.8961571830526835,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,False,val,
L1_age=young|L2_education=mid,L2,L1_age=young,413,247,0.007263922518159807,0.024291497975708502,0.4,0.3,0.027327935222672066,0.2857142857142857,1.0,0.16666666666666666,0.004048582995951417,0.004048582995951417,False,247,2998,0.01000667111407605,0.5833333333333334,0.966804979253112,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=mid,False,val,
L1_age=very_old|L2_education=mid,L2,L1_age=very_old,396,173,0.21717171717171718,0.24277456647398843,0.5,0.3,0.1777456647398844,0.59375,0.8636363636363636,0.4523809523809524,0.23121387283236994,0.12716763005780346,False,173,2862,0.2071977638015374,0.6231370410759723,0.8704107597237368,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=mid,False,val,
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=mid,1910,803,0.20575916230366492,0.2129514321295143,0.4,0.2,0.1902241594022416,0.5627118644067797,0.6693548387096774,0.4853801169590643,0.2640099626400996,0.15442092154420922,False,803,2713,0.2078879469222263,0.5923736027833296,0.86706084832334,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,False,val,
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=high,1804,780,0.20454545454545456,0.21025641025641026,0.4,0.3,0.14903846153846154,0.6705882352941176,0.6477272727272727,0.6951219512195121,0.05512820512820513,0.22564102564102564,False,780,2584,0.20626934984520123,0.7753207158694964,0.8995832673424137,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,False,val,
L1_age=very_old|L2_education=high,L2,L1_age=very_old,322,143,0.40372670807453415,0.4195804195804196,0.4,0.3,0.22727272727272727,0.7313432835820896,0.6621621621621622,0.8166666666666667,0.06293706293706294,0.5174825174825175,False,143,2333,0.4149164166309473,0.7336345381526104,0.8548192771084338,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=high,False,val,
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=mid,1607,714,0.0939639079029247,0.06722689075630252,0.5,0.3,0.08263305322128851,0.2857142857142857,1.0,0.16666666666666666,0.028011204481792718,0.011204481792717087,False,714,2321,0.08573890564411892,0.5728228228228228,0.8769081581581581,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,False,val,
