bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,3,1100,0,1100,0,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=high,2,0,4218,0,4218,L1_age=mid,False,L1_age=mid|L2_education=high
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,3,534,0,534,0,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,3,2584,0,2584,0,L1_age=mid|L2_education=high,True,L1_age=mid|L2_education=high
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,3,140,0,140,0,L1_age=mid|L2_education=low,True,ROOT
ROOT,0,0,10717,0,10717,ROOT,False,ROOT
L1_age=mid|L2_education=low|L3_hours-per-week=others,3,73,0,73,0,L1_age=mid|L2_education=low,True,ROOT
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,3,739,0,739,0,L1_age=mid|L2_education=mid,True,ROOT
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,3,470,470,0,0,L1_age=mid|L2_education=mid,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,3,2321,0,2321,0,L1_age=mid|L2_education=mid,True,ROOT
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,3,222,222,0,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,3,259,259,0,0,L1_age=mid|L2_education=top,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours
L1_age=mid|L2_education=top|L3_hours-per-week=others,3,72,0,72,0,L1_age=mid|L2_education=top,True,L1_age=mid|L2_education=top
L1_age=mid|L2_education=top,2,0,72,0,72,L1_age=mid,False,L1_age=mid|L2_education=top
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,3,1568,1568,0,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,3,549,549,0,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,3,3211,3211,0,0,L1_age=old|L2_education=high,False,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,3,212,212,0,0,L1_age=old|L2_education=low,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours
L1_age=old|L2_education=low|L3_hours-per-week=others,3,116,0,116,0,L1_age=old|L2_education=low,True,ROOT
