bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=rare,0.6176470588235294,0.109375,0.18584070796460178,0.5483706875607386,0.7399857264334305,0.21404532169554435,0.1454068241469817,0.21785421785421785,0.10728910728910729,0.027846027846027847,1221,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=long_term,0.0,0.0,0.0,0.5,0.868421052631579,0.0,0.0,0.038461538461538464,0.0,0.0,39,0.5,0.3
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=long_term,1.0,0.41304347826086957,0.5846153846153846,0.7065217391304348,0.9156110920917493,0.6210553265773322,0.5566962740800554,0.09953161592505855,0.0234192037470726,0.04449648711943794,427,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=mid_term,0.3333333333333333,0.015151515151515152,0.028985507246376812,0.5049715909090909,0.7667297979797979,0.043226350628425905,0.016441573693482203,0.21555555555555556,0.06888888888888889,0.006666666666666667,450,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=rare,0.0,0.0,0.0,0.5,0.6213592233009708,0.0,0.0,0.014423076923076924,0.0,0.0,208,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=rare,0.0,0.0,0.0,0.5,0.7953667953667953,0.0,0.0,0.06774193548387097,0.0,0.0,155,0.5,0.3
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=mid_term,1.0,0.07692307692307693,0.14285714285714288,0.5384615384615384,0.7672005413940898,0.2725951726140629,0.13833671399594316,0.04943502824858757,0.005649717514124294,0.002824858757062147,354,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=long_term,0.5,0.1875,0.2727272727272727,0.5790441176470589,0.8020833333333334,0.24636272107633178,0.21464226289517474,0.1864406779661017,0.11864406779661017,0.05084745762711865,118,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=rare,0.3333333333333333,0.011764705882352941,0.022727272727272728,0.5047965766111004,0.6527176342849843,0.04893161671096837,0.01706469131314059,0.12972166998011928,0.019880715705765408,0.002982107355864811,1006,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=mid_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,17,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,0.0,0.0,0.0,0.5,0.574296435272045,0.0,0.0,0.0070028011204481795,0.0,0.0,1071,0.5,0.3
