bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=long_term,3,30,0,30,L1_neighbourhood_group=bronx|L2_room_type=entire_home,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home,0
L1_neighbourhood_group=bronx|L2_room_type=entire_home,2,0,74,0,L1_neighbourhood_group=bronx,False,L1_neighbourhood_group=bronx|L2_room_type=entire_home,74
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=mid_term,3,25,0,25,L1_neighbourhood_group=bronx|L2_room_type=entire_home,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home,0
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=rare,3,19,0,19,L1_neighbourhood_group=bronx|L2_room_type=entire_home,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home,0
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,3,50,0,50,L1_neighbourhood_group=bronx|L2_room_type=private_room,True,L1_neighbourhood_group=bronx|L2_room_type=private_room,0
L1_neighbourhood_group=bronx|L2_room_type=private_room,2,0,79,0,L1_neighbourhood_group=bronx,False,L1_neighbourhood_group=bronx|L2_room_type=private_room,79
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,3,40,40,0,L1_neighbourhood_group=bronx|L2_room_type=private_room,False,L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,0
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=rare,3,29,0,29,L1_neighbourhood_group=bronx|L2_room_type=private_room,True,L1_neighbourhood_group=bronx|L2_room_type=private_room,0
L1_neighbourhood_group=bronx|L2_room_type=shared_room,2,8,0,8,L1_neighbourhood_group=bronx,True,ROOT,0
ROOT,0,0,4589,0,ROOT,False,ROOT,4589
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=long_term,3,481,0,481,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=mid_term,3,419,0,419,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=rare,3,986,0,986,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,3,519,519,0,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,False,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,0
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=mid_term,3,482,0,482,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,3,1001,1001,0,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,False,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,0
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=long_term,3,26,0,26,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=mid_term,3,20,0,20,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,True,ROOT,0
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=rare,3,30,0,30,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,True,ROOT,0
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term,3,878,878,0,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,False,L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term,0
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=mid_term,3,532,532,0,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,False,L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=mid_term,0
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=rare,3,1259,0,1259,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,True,ROOT,0
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=long_term,3,423,0,423,L1_neighbourhood_group=manhattan|L2_room_type=private_room,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room,0
L1_neighbourhood_group=manhattan|L2_room_type=private_room,2,0,1627,0,L1_neighbourhood_group=manhattan,False,L1_neighbourhood_group=manhattan|L2_room_type=private_room,1627
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=mid_term,3,420,0,420,L1_neighbourhood_group=manhattan|L2_room_type=private_room,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room,0
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=rare,3,784,0,784,L1_neighbourhood_group=manhattan|L2_room_type=private_room,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room,0
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=long_term,3,31,0,31,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,True,ROOT,0
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=mid_term,3,20,0,20,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,True,ROOT,0
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=rare,3,32,0,32,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,True,ROOT,0
