bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,5474,2419,0.10595542564852027,0.09466721785861927,0.5,0.4,0.12298470442331542,0.33333333333333337,0.5955056179775281,0.2314410480349345,0.025217031831335262,0.03679206283588259,False,2419,39116,0.10522548317823908,0.5985972363462344,0.8590217543020079,f1_regret_bnd,0.1977401129943503,-0.12705581593523646,0.32479592892958675,False,ROOT,,,,,,,1,0.10522548317823908
L1_neighbourhood_group=manhattan,L1,ROOT,2435,1036,0.16673511293634496,0.16988416988416988,0.5,0.4,0.19642857142857142,0.3463203463203463,0.7272727272727273,0.22727272727272727,0.17277992277992277,0.05308880308880309,True,1036,17369,0.17110944786688928,0.5415433403805496,0.8639138477801269,f1_regret_bnd,0.0635018135018135,0.1977401129943503,-0.1342382994925368,True,ROOT,,,,,,,1,0.17110944786688928
L1_neighbourhood_group=brooklyn,L1,ROOT,2232,1039,0.053763440860215055,0.05678537054860443,0.5,0.4,0.08036573628488931,0.06557377049180328,1.0,0.03389830508474576,0.010587102983638113,0.0019249278152069298,True,1039,16008,0.05909545227386307,0.513887928052577,0.8329989622967832,f1_regret_bnd,-0.02008551728490509,0.1977401129943503,-0.2178256302792554,True,ROOT,,,,,,,1,0.05909545227386307
L1_neighbourhood_group=manhattan|L2_room_type=entire_home,L2,L1_neighbourhood_group=manhattan,1481,636,0.24240378122889938,0.25943396226415094,0.5,0.3,0.2759433962264151,0.5019011406844107,0.673469387755102,0.4,0.22012578616352202,0.1540880503144654,False,636,10594,0.25306777421181803,0.5704883227176221,0.7845653992150807,f1_regret_bnd,0.11589485137623459,0.0635018135018135,0.052393037874421095,False,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,,,,,,,1,0.25306777421181803
L1_neighbourhood_group=brooklyn|L2_room_type=private_room,L2,L1_neighbourhood_group=brooklyn,1124,488,0.008896797153024912,0.01639344262295082,0.5,0.4,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,True,488,8072,0.00879583746283449,0.5,0.8197916666666666,f1_regret_bnd,-0.02459016393442623,-0.02008551728490509,-0.004504646649521139,True,ROOT,,,,,,,1,0.00879583746283449
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,L2,L1_neighbourhood_group=brooklyn,1060,459,0.12075471698113208,0.0915032679738562,0.5,0.4,0.12636165577342048,0.23076923076923073,0.6,0.14285714285714285,0.006535947712418301,0.02178649237472767,False,459,7602,0.1148382004735596,0.5642343268242549,0.7587644170377983,f1_regret_bnd,0.10113960113960109,-0.02008551728490509,0.12122511842450617,False,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,,,,,,,1,0.1148382004735596
L1_neighbourhood_group=manhattan|L2_room_type=private_room,L2,L1_neighbourhood_group=manhattan,903,374,0.03765227021040975,0.03208556149732621,0.6,0.3,0.04411764705882353,0.15384615384615385,1.0,0.08333333333333333,0.008021390374331552,0.00267379679144385,False,374,6397,0.04314522432390183,0.5389042357274402,0.7688766114180479,f1_regret_bnd,0.10571781160016454,0.0635018135018135,0.04221599809835104,False,L1_neighbourhood_group=manhattan|L2_room_type=private_room,,,,,,,1,0.04314522432390183
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=rare,L3,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,3548,1507,0.1798196166854566,0.1678832116788321,0.5,0.3,0.22362309223623092,0.31728045325779036,0.56,0.22134387351778656,0.0962176509621765,0.06635700066357,True,1507,5055,0.17626112759643917,0.5552492892309826,0.7522473539219952,f1_regret_bnd,0.04554853554047119,0.11589485137623459,-0.0703463158357634,True,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,1221.0,0.1547911547911548,0.0,0.022113022113022112,0.23423423423423423,1,0.17626112759643917
L1_neighbourhood_group=queens,L1,ROOT,643,309,0.049766718506998445,0.022653721682847898,0.4,0.3,0.02912621359223301,0.25,1.0,0.14285714285714285,0.0,0.003236245954692557,False,309,4589,0.0339943342776204,0.5714285714285714,0.8869441816461683,f1_regret_bnd,0.220873786407767,0.1977401129943503,0.02313367341341671,False,L1_neighbourhood_group=queens,,,,,,,1,0.0339943342776204
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,L3,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,2875,1253,0.0052173913043478265,0.007182761372705506,0.4,0.2,0.01077414205905826,0.0,0.0,0.0,0.0,0.0,False,1253,4128,0.005813953488372093,0.5,0.7651839942836727,f1_regret_bnd,-0.01077414205905826,-0.02459016393442623,0.013816021875367969,False,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,,1062.0,0.004708097928436911,0.0,0.0,0.007532956685499058,1,0.005813953488372093
