bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.3,bucket_wise,ROOT,False
L1_neighbourhood_group=bronx,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=brooklyn,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=manhattan,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=queens,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=staten_island,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=entire_home,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=bronx|L2_room_type=private_room,0.2,0.1,bucket_wise,L1_neighbourhood_group=bronx|L2_room_type=private_room,False
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,0.4,0.3,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,False
L1_neighbourhood_group=brooklyn|L2_room_type=private_room,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=manhattan|L2_room_type=entire_home,0.5,0.4,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,False
L1_neighbourhood_group=manhattan|L2_room_type=private_room,0.6,0.5,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=private_room,False
L1_neighbourhood_group=manhattan|L2_room_type=shared_room,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=queens|L2_room_type=entire_home,0.5,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=entire_home,False
L1_neighbourhood_group=queens|L2_room_type=private_room,0.4,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=private_room,False
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,0.2,0.1,bucket_wise,L1_neighbourhood_group=bronx|L2_room_type=private_room,True
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=long_term,0.4,0.3,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=mid_term,0.4,0.3,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=rare,0.4,0.3,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,0.4,0.3,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,False
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=mid_term,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,0.2,0.1,bucket_wise,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,False
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term,0.5,0.4,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term,False
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=mid_term,0.5,0.4,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,True
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=rare,0.5,0.4,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,True
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=long_term,0.6,0.5,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=long_term,False
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=mid_term,0.6,0.5,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=private_room,True
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=rare,0.4,0.3,bucket_wise,L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=rare,False
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=long_term,0.5,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=entire_home,True
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=mid_term,0.5,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=entire_home,True
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=rare,0.5,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=entire_home,True
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=mid_term,0.2,0.1,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=mid_term,False
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=rare,0.4,0.2,bucket_wise,L1_neighbourhood_group=queens|L2_room_type=private_room,True
L1_neighbourhood_group=bronx|L2_room_type=others,0.4,0.3,bucket_wise,ROOT,True
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,0.4,0.3,bucket_wise,ROOT,True
