bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,5474,2419,0.10595542564852027,0.09466721785861927,0.5,0.4,0.12298470442331542,0.33333333333333337,0.5955056179775281,0.2314410480349345,0.025217031831335262,0.03679206283588259,2419,False,,f1_regret_bnd,0.1977401129943503,-0.12705581593523646,0.32479592892958675,ROOT,False,1
L1_neighbourhood_group=bronx,L1,ROOT,141,130,0.02127659574468085,0.07692307692307693,0.5,0.4,0.09615384615384616,0.18181818181818182,1.0,0.1,0.03076923076923077,0.007692307692307693,130,True,,f1_regret_bnd,0.07027972027972028,0.1977401129943503,-0.12746039271463,ROOT,True,1
L1_neighbourhood_group=brooklyn,L1,ROOT,2232,1039,0.053763440860215055,0.05678537054860443,0.5,0.4,0.08036573628488931,0.06557377049180328,1.0,0.03389830508474576,0.010587102983638113,0.0019249278152069298,1039,True,,f1_regret_bnd,-0.02008551728490509,0.1977401129943503,-0.2178256302792554,ROOT,True,1
L1_neighbourhood_group=manhattan,L1,ROOT,2435,1036,0.16673511293634496,0.16988416988416988,0.5,0.4,0.19642857142857142,0.3463203463203463,0.7272727272727273,0.22727272727272727,0.17277992277992277,0.05308880308880309,1036,True,,f1_regret_bnd,0.0635018135018135,0.1977401129943503,-0.1342382994925368,ROOT,True,1
L1_neighbourhood_group=queens,L1,ROOT,643,309,0.049766718506998445,0.022653721682847898,0.4,0.3,0.02912621359223301,0.25,1.0,0.14285714285714285,0.0,0.003236245954692557,309,False,,f1_regret_bnd,0.220873786407767,0.1977401129943503,0.02313367341341671,L1_neighbourhood_group=queens,False,1
L1_neighbourhood_group=staten_island,L1,ROOT,120,92,0.08333333333333333,0.043478260869565216,0.5,0.4,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,92,True,,f1_regret_bnd,-0.06521739130434782,0.1977401129943503,-0.26295750429869813,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=entire_home,L2,L1_neighbourhood_group=bronx,212,86,0.06132075471698113,0.10465116279069768,0.5,0.4,0.12790697674418605,0.19999999999999998,1.0,0.1111111111111111,0.046511627906976744,0.011627906976744186,86,True,,f1_regret_bnd,0.04883720930232556,0.07027972027972028,-0.02144251097739472,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=private_room,L2,L1_neighbourhood_group=bronx,136,152,0.014705882352941176,0.006578947368421052,0.5,0.4,0.009868421052631578,0.0,0.0,0.0,0.0,0.0,152,True,,f1_regret_bnd,-0.009868421052631578,0.07027972027972028,-0.08014814133235186,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=others,L2,L1_neighbourhood_group=bronx,27,14,0.0,0.07142857142857142,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,0.07027972027972028,,ROOT,True,1
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,L2,L1_neighbourhood_group=brooklyn,1060,459,0.12075471698113208,0.0915032679738562,0.5,0.4,0.12636165577342048,0.23076923076923073,0.6,0.14285714285714285,0.006535947712418301,0.02178649237472767,459,False,,f1_regret_bnd,0.10113960113960109,-0.02008551728490509,0.12122511842450617,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,False,1
L1_neighbourhood_group=brooklyn|L2_room_type=private_room,L2,L1_neighbourhood_group=brooklyn,1124,488,0.008896797153024912,0.01639344262295082,0.5,0.4,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,488,True,,f1_regret_bnd,-0.02459016393442623,-0.02008551728490509,-0.004504646649521139,ROOT,True,1
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,L2,L1_neighbourhood_group=brooklyn,157,90,0.006369426751592357,0.011111111111111112,0.4,0.2,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,90,False,,f1_regret_bnd,-0.016666666666666666,-0.02008551728490509,0.0034188506182384233,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,False,1
L1_neighbourhood_group=manhattan|L2_room_type=entire_home,L2,L1_neighbourhood_group=manhattan,1481,636,0.24240378122889938,0.25943396226415094,0.5,0.3,0.2759433962264151,0.5019011406844107,0.673469387755102,0.4,0.22012578616352202,0.1540880503144654,636,False,,f1_regret_bnd,0.11589485137623459,0.0635018135018135,0.052393037874421095,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,False,1
L1_neighbourhood_group=manhattan|L2_room_type=private_room,L2,L1_neighbourhood_group=manhattan,903,374,0.03765227021040975,0.03208556149732621,0.6,0.3,0.04411764705882353,0.15384615384615385,1.0,0.08333333333333333,0.008021390374331552,0.00267379679144385,374,False,,f1_regret_bnd,0.10571781160016454,0.0635018135018135,0.04221599809835104,L1_neighbourhood_group=manhattan|L2_room_type=private_room,False,1
L1_neighbourhood_group=manhattan|L2_room_type=shared_room,L2,L1_neighbourhood_group=manhattan,162,124,0.04938271604938271,0.024193548387096774,0.5,0.4,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,124,True,,f1_regret_bnd,-0.036290322580645164,0.0635018135018135,-0.09979213608245865,ROOT,True,1
L1_neighbourhood_group=queens|L2_room_type=entire_home,L2,L1_neighbourhood_group=queens,240,100,0.07916666666666666,0.09,0.4,0.3,0.135,0.0,0.0,0.0,0.0,0.0,100,True,L1_neighbourhood_group=queens,f1_regret_bnd,-0.135,0.220873786407767,-0.355873786407767,L1_neighbourhood_group=queens,True,1
L1_neighbourhood_group=queens|L2_room_type=private_room,L2,L1_neighbourhood_group=queens,381,162,0.005249343832020997,0.0,0.4,0.3,,,,,,,0,True,L1_neighbourhood_group=queens,f1_regret_bnd,,0.220873786407767,,L1_neighbourhood_group=queens,True,1
L1_neighbourhood_group=queens|L2_room_type=shared_room,L2,L1_neighbourhood_group=queens,109,45,0.03669724770642202,0.022222222222222223,0.4,0.3,,,,,,,0,True,L1_neighbourhood_group=queens,f1_regret_bnd,,0.220873786407767,,L1_neighbourhood_group=queens,True,1
L1_neighbourhood_group=staten_island|L2_room_type=entire_home,L2,L1_neighbourhood_group=staten_island,97,41,0.10309278350515463,0.07317073170731707,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,-0.06521739130434782,,ROOT,True,1
L1_neighbourhood_group=staten_island|L2_room_type=private_room,L2,L1_neighbourhood_group=staten_island,104,46,0.0,0.021739130434782608,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,-0.06521739130434782,,ROOT,True,1
L1_neighbourhood_group=staten_island|L2_room_type=others,L2,L1_neighbourhood_group=staten_island,3,5,0.0,0.0,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,-0.06521739130434782,,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=long_term,L3,L1_neighbourhood_group=bronx|L2_room_type=entire_home,78,37,0.10256410256410256,0.08108108108108109,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,0.04883720930232556,,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=mid_term,L3,L1_neighbourhood_group=bronx|L2_room_type=entire_home,77,29,0.03896103896103896,0.1724137931034483,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,0.04883720930232556,,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=others,L3,L1_neighbourhood_group=bronx|L2_room_type=entire_home,57,20,0.03508771929824561,0.05,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,0.04883720930232556,,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,L3,L1_neighbourhood_group=bronx|L2_room_type=private_room,156,64,0.01282051282051282,0.015625,0.5,0.4,0.0234375,0.0,0.0,0.0,0.0,0.0,64,True,,f1_regret_bnd,-0.0234375,-0.009868421052631578,-0.013569078947368422,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,L3,L1_neighbourhood_group=bronx|L2_room_type=private_room,127,61,0.007874015748031496,0.0,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,-0.009868421052631578,,ROOT,True,1
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=rare,L3,L1_neighbourhood_group=bronx|L2_room_type=private_room,80,27,0.0125,0.0,0.5,0.4,,,,,,,0,True,,f1_regret_bnd,,-0.009868421052631578,,ROOT,True,1
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=long_term,L3,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,1346,607,0.1775631500742942,0.1416803953871499,0.5,0.4,0.17792421746293247,0.3870967741935483,0.631578947368421,0.27906976744186046,0.047775947281713346,0.06260296540362438,607,False,,f1_regret_bnd,0.18528458308975918,0.10113960113960109,0.08414498195015808,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=long_term,False,1
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=mid_term,L3,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,1260,532,0.13253968253968254,0.10526315789473684,0.5,0.4,0.14943609022556392,0.09999999999999999,0.75,0.05357142857142857,0.013157894736842105,0.007518796992481203,532,True,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,f1_regret_bnd,-0.05601503759398498,0.10113960113960109,-0.15715463873358607,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True,1
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=rare,L3,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,2697,1160,0.08045977011494253,0.09310344827586207,0.5,0.4,0.1375,0.0,0.0,0.0,0.0034482758620689655,0.0,1160,True,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,f1_regret_bnd,-0.1392241379310345,0.10113960113960109,-0.24036373907063557,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,True,1
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,L3,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,1395,594,0.008602150537634409,0.008417508417508417,0.6,0.5,0.012626262626262626,0.0,0.0,0.0,0.0,0.0,594,False,,f1_regret_bnd,-0.012626262626262626,-0.02459016393442623,0.011963901308163603,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,False,1
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=mid_term,L3,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,1351,604,0.013323464100666173,0.019867549668874173,0.5,0.4,0.029801324503311258,0.0,0.0,0.0,0.0,0.0,604,True,,f1_regret_bnd,-0.029801324503311258,-0.02459016393442623,-0.005211160568885029,ROOT,True,1
