bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,39116,5474,2345,,False,False,ROOT
L1_neighbourhood_group=bronx,ROOT,1,L1_neighbourhood_group,categorical_group,bronx,890,154,65,,False,True,ROOT
L1_neighbourhood_group=brooklyn,ROOT,1,L1_neighbourhood_group,categorical_group,brooklyn,16140,2249,976,,False,True,ROOT
L1_neighbourhood_group=manhattan,ROOT,1,L1_neighbourhood_group,categorical_group,manhattan,17282,2424,1030,,False,True,ROOT
L1_neighbourhood_group=queens,ROOT,1,L1_neighbourhood_group,categorical_group,queens,4513,629,311,,False,True,ROOT
L1_neighbourhood_group=staten_island,ROOT,1,L1_neighbourhood_group,categorical_group,staten_island,291,50,68,,False,True,ROOT
L1_neighbourhood_group=bronx|L2_room_type=entire_home,L1_neighbourhood_group=bronx,2,L2_room_type,categorical_group,entire_home,305,215,90,,False,False,L1_neighbourhood_group=bronx|L2_room_type=entire_home
L1_neighbourhood_group=bronx|L2_room_type=private_room,L1_neighbourhood_group=bronx,2,L2_room_type,categorical_group,private_room,533,73,55,,False,False,L1_neighbourhood_group=bronx|L2_room_type=private_room
L1_neighbourhood_group=bronx|L2_room_type=shared_room,L1_neighbourhood_group=bronx,2,L2_room_type,categorical_group,shared_room,52,37,15,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,L1_neighbourhood_group=brooklyn,2,L2_room_type,categorical_group,entire_home,7673,1065,467,,False,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=private_room,L1_neighbourhood_group=brooklyn,2,L2_room_type,categorical_group,private_room,8130,1139,486,,False,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,L1_neighbourhood_group=brooklyn,2,L2_room_type,categorical_group,shared_room,337,220,70,,False,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=entire_home,L1_neighbourhood_group=manhattan,2,L2_room_type,categorical_group,entire_home,10530,1466,637,,False,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=private_room,L1_neighbourhood_group=manhattan,2,L2_room_type,categorical_group,private_room,6355,902,367,,False,False,L1_neighbourhood_group=manhattan|L2_room_type=private_room
L1_neighbourhood_group=manhattan|L2_room_type=shared_room,L1_neighbourhood_group=manhattan,2,L2_room_type,categorical_group,shared_room,397,55,74,,False,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=entire_home,L1_neighbourhood_group=queens,2,L2_room_type,categorical_group,entire_home,1666,235,95,,False,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=private_room,L1_neighbourhood_group=queens,2,L2_room_type,categorical_group,private_room,2689,371,164,,False,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=shared_room,L1_neighbourhood_group=queens,2,L2_room_type,categorical_group,shared_room,158,61,50,,False,True,ROOT
L1_neighbourhood_group=staten_island|L2_room_type=entire_home,L1_neighbourhood_group=staten_island,2,L2_room_type,categorical_group,entire_home,136,111,25,,False,True,ROOT
L1_neighbourhood_group=staten_island|L2_room_type=private_room,L1_neighbourhood_group=staten_island,2,L2_room_type,categorical_group,private_room,148,55,43,,False,True,ROOT
L1_neighbourhood_group=staten_island|L2_room_type=others,L1_neighbourhood_group=staten_island,2,L2_room_type,categorical_group,others,7,7,0,,True,True,ROOT
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=long_term,L1_neighbourhood_group=bronx|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,long_term,119,80,39,,True,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=mid_term,L1_neighbourhood_group=bronx|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,mid_term,111,83,28,,True,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=rare,L1_neighbourhood_group=bronx|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,rare,75,52,23,,True,True,L1_neighbourhood_group=bronx|L2_room_type=entire_home
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,L1_neighbourhood_group=bronx|L2_room_type=private_room,3,L3_availability_365,numeric_bin,long_term,220,156,64,,True,True,L1_neighbourhood_group=bronx|L2_room_type=private_room
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,L1_neighbourhood_group=bronx|L2_room_type=private_room,3,L3_availability_365,numeric_bin,mid_term,201,131,70,,True,False,L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=rare,L1_neighbourhood_group=bronx|L2_room_type=private_room,3,L3_availability_365,numeric_bin,rare,112,83,29,,True,True,L1_neighbourhood_group=bronx|L2_room_type=private_room
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=long_term,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,long_term,1989,1404,585,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=mid_term,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,mid_term,1813,1259,554,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home|L3_availability_365=rare,L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,rare,3871,2671,1200,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,3,L3_availability_365,numeric_bin,long_term,1971,1381,590,,True,False,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=long_term
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=mid_term,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,3,L3_availability_365,numeric_bin,mid_term,1970,1380,590,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare,L1_neighbourhood_group=brooklyn|L2_room_type=private_room,3,L3_availability_365,numeric_bin,rare,4189,2938,1251,,True,False,L1_neighbourhood_group=brooklyn|L2_room_type=private_room|L3_availability_365=rare
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=long_term,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,long_term,164,106,58,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=mid_term,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,mid_term,75,51,24,,True,True,ROOT
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=rare,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,rare,98,63,35,,True,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,long_term,3433,2393,1040,,True,False,L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=long_term
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=mid_term,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,mid_term,2080,1418,662,,True,False,L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=mid_term
L1_neighbourhood_group=manhattan|L2_room_type=entire_home|L3_availability_365=rare,L1_neighbourhood_group=manhattan|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,rare,5017,3528,1489,,True,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=long_term,L1_neighbourhood_group=manhattan|L2_room_type=private_room,3,L3_availability_365,numeric_bin,long_term,1643,1176,467,,True,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=mid_term,L1_neighbourhood_group=manhattan|L2_room_type=private_room,3,L3_availability_365,numeric_bin,mid_term,1476,1047,429,,True,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room
L1_neighbourhood_group=manhattan|L2_room_type=private_room|L3_availability_365=rare,L1_neighbourhood_group=manhattan|L2_room_type=private_room,3,L3_availability_365,numeric_bin,rare,3236,2291,945,,True,True,L1_neighbourhood_group=manhattan|L2_room_type=private_room
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=long_term,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,long_term,144,100,44,,True,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=mid_term,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,mid_term,84,65,19,,True,True,ROOT
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=rare,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,rare,169,112,57,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=long_term,L1_neighbourhood_group=queens|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,long_term,547,389,158,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=mid_term,L1_neighbourhood_group=queens|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,mid_term,536,388,148,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=entire_home|L3_availability_365=rare,L1_neighbourhood_group=queens|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,rare,583,406,177,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=long_term,L1_neighbourhood_group=queens|L2_room_type=private_room,3,L3_availability_365,numeric_bin,long_term,988,700,288,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=mid_term,L1_neighbourhood_group=queens|L2_room_type=private_room,3,L3_availability_365,numeric_bin,mid_term,895,598,297,,True,False,L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=mid_term
L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=rare,L1_neighbourhood_group=queens|L2_room_type=private_room,3,L3_availability_365,numeric_bin,rare,806,564,242,,True,False,L1_neighbourhood_group=queens|L2_room_type=private_room|L3_availability_365=rare
L1_neighbourhood_group=queens|L2_room_type=shared_room|L3_availability_365=long_term,L1_neighbourhood_group=queens|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,long_term,74,50,24,,True,True,ROOT
L1_neighbourhood_group=queens|L2_room_type=shared_room|L3_availability_365=others,L1_neighbourhood_group=queens|L2_room_type=shared_room,3,L3_availability_365,numeric_bin,others,84,58,26,,True,True,ROOT
L1_neighbourhood_group=staten_island|L2_room_type=entire_home|L3_availability_365=long_term,L1_neighbourhood_group=staten_island|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,long_term,66,56,10,,True,True,ROOT
L1_neighbourhood_group=staten_island|L2_room_type=entire_home|L3_availability_365=others,L1_neighbourhood_group=staten_island|L2_room_type=entire_home,3,L3_availability_365,numeric_bin,others,70,55,15,,True,True,ROOT
