bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=afternoon|L4_Distance=300-800,4,105,0,105,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=ATL,0
L1_UniqueCarrier=AA|L2_Origin=ATL,2,0,157,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=ATL,157
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=afternoon|L4_Distance=others,4,4,0,4,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=ATL,0
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=evening|L4_Distance=300-800,4,35,0,35,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=ATL,0
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=evening|L4_Distance=others,4,6,0,6,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=ATL,0
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning|L4_Distance=300-800,4,103,0,103,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,3,0,106,0,L1_UniqueCarrier=AA|L2_Origin=ATL,False,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,106
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning|L4_Distance=others,4,3,0,3,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=ATL|L3_CRSDepTime=others,3,7,0,7,L1_UniqueCarrier=AA|L2_Origin=ATL,True,L1_UniqueCarrier=AA|L2_Origin=ATL,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,4,69,69,0,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,86,0,86,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon,True,ROOT,0
ROOT,0,0,1510,0,ROOT,False,ROOT,1510
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon|L4_Distance=others,4,7,0,7,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=afternoon,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening|L4_Distance=1500-5000,4,15,0,15,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,3,0,20,0,L1_UniqueCarrier=AA|L2_Origin=BOS,False,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,20
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening|L4_Distance=800-1500,4,29,29,0,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,False,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening|L4_Distance=others,4,5,0,5,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning|L4_Distance=1500-5000,4,108,0,108,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning,3,0,116,0,L1_UniqueCarrier=AA|L2_Origin=BOS,False,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning,116
L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning|L4_Distance=800-1500,4,83,83,0,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=BOS|L3_CRSDepTime=morning|L4_Distance=800-1500,0
