bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,baseline_precision,baseline_recall,baseline_f1,baseline_bac,baseline_auc,baseline_mcc,baseline_kappa,baseline_regret,baseline_bnd_ratio,baseline_pos_coverage
ROOT,,0,111991,47991,0.4545375715126716,0.1997832725839818,0.6827015096092032,0.6758142151653435,0.2072263549415515,0.0585943197682898,bac_regret,-0.2212766436526718,-0.2197298108140083,-0.0015468328386635,False,ROOT,,,,,,,,,,
L1_UniqueCarrier=9E,ROOT,1,946,491,0.4522803487592219,0.0266666666666666,0.6113011401743795,0.685336048879837,0.1221995926680244,0.0081466395112016,bac_regret,-0.233055700120615,-0.2212766436526718,-0.0117790564679431,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=AA,ROOT,1,12866,5514,0.4432127718421885,0.1326732673267326,0.6745711917997372,0.6745556764599202,0.191512513601741,0.0359085963003264,bac_regret,-0.2313429046177317,-0.2212766436526718,-0.0100662609650598,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=AS,ROOT,1,2694,1237,0.4914933837429111,0.0,0.6239452535087812,0.7182700080840744,0.0185933710590137,0.0016168148746968,bac_regret,-0.2267766243411632,-0.2212766436526718,-0.0054999806884913,False,L1_UniqueCarrier=AS,,,,,,,,,,
L1_UniqueCarrier=B6,ROOT,1,1590,882,0.4832440513267722,0.3908794788273615,0.7007677214401395,0.7414965986394558,0.2834467120181406,0.1394557823129251,bac_regret,-0.2582525473126836,-0.2212766436526718,-0.0369759036600118,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=CO,ROOT,1,6669,3230,0.4773578316291884,0.1791044776119403,0.6790362688603896,0.6230650154798761,0.1470588235294117,0.0492260061919504,bac_regret,-0.1457071838506877,-0.2212766436526718,0.0755694598019841,False,L1_UniqueCarrier=CO,,,,,,,,,,
L1_UniqueCarrier=DL,ROOT,1,14440,6237,0.4542304899768529,0.1185185185185185,0.6755236010930205,0.6790925124258458,0.1596921596921597,0.027737694404361,bac_regret,-0.2248620224489928,-0.2212766436526718,-0.0035853787963209,False,L1_UniqueCarrier=DL,,,,,,,,,,
L1_UniqueCarrier=EA,ROOT,1,778,517,0.4123273657289002,0.0747663551401869,0.59846547314578,0.8684719535783365,0.2050290135396518,0.0290135396518375,bac_regret,-0.4561445878494363,-0.2212766436526718,-0.2348679441967644,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=EV,ROOT,1,2914,1454,0.4463941668881211,0.4003466204506066,0.6496589600496058,0.7723521320495186,0.2861072902338377,0.5749656121045392,bac_regret,-0.3259579651613974,-0.2212766436526718,-0.1046813215087255,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=FL,ROOT,1,2004,1278,0.4275160639961102,0.1836065573770491,0.6819810794837725,0.7609546165884195,0.2496087636932707,0.0610328638497652,bac_regret,-0.3334385525923092,-0.2212766436526718,-0.1121619089396373,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=HP,ROOT,1,2717,1524,0.4234475356549679,0.0687022900763359,0.6526684758796137,0.7001312335958005,0.1981627296587926,0.0229658792650918,bac_regret,-0.2766836979408326,-0.2212766436526718,-0.0554070542881607,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=MQ,ROOT,1,4543,2135,0.4291506026934814,0.273449920508744,0.6747326058697827,0.7786885245901639,0.3016393442622951,0.097423887587822,bac_regret,-0.3495379218966825,-0.2212766436526718,-0.1282612782440106,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=NW,ROOT,1,7801,3706,0.4724755039043173,0.0932038834951456,0.6469285095833243,0.5984889368591473,0.1084727468969239,0.0153804641122504,bac_regret,-0.1260134329548299,-0.2212766436526718,0.0952632106978419,False,L1_UniqueCarrier=NW,,,,,,,,,,
L1_UniqueCarrier=OH,ROOT,1,1552,822,0.462733714676001,0.2535211267605634,0.7074380792471803,0.7445255474452555,0.2372262773722627,0.0656934306569343,bac_regret,-0.2817918327692544,-0.2212766436526718,-0.0605151891165826,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=OO,ROOT,1,4265,2198,0.454146738342754,0.1851015801354401,0.6895183604095023,0.6626478616924477,0.1983621474067333,0.054140127388535,bac_regret,-0.2085011233496937,-0.2212766436526718,0.0127755203029781,False,L1_UniqueCarrier=OO,,,,,,,,,,
L1_UniqueCarrier=OTHER_CARRIER,ROOT,1,2313,1524,0.4678951946075234,0.1417322834645669,0.6896644198014061,0.6053149606299213,0.1561679790026246,0.0288713910761154,bac_regret,-0.1374197660223979,-0.2212766436526718,0.0838568776302739,False,L1_UniqueCarrier=OTHER_CARRIER,,,,,,,,,,
L1_UniqueCarrier=PI,ROOT,1,700,470,0.5,0.0,0.5865917487684729,0.6808510638297872,0.0,0.0,bac_regret,-0.1808510638297872,-0.2212766436526718,0.0404255798228846,False,L1_UniqueCarrier=PI,,,,,,,,,,
L1_UniqueCarrier=TW,ROOT,1,2861,2092,0.44628329946053,0.1055718475073313,0.6725401915684548,0.6367112810707457,0.1749521988527724,0.0248565965583174,bac_regret,-0.1904279816102156,-0.2212766436526718,0.0308486620424561,False,L1_UniqueCarrier=TW,,,,,,,,,,
L1_UniqueCarrier=UA,ROOT,1,11104,5012,0.4162865948093978,0.1888412017167381,0.6608461539118164,0.7506983240223464,0.2707501995211492,0.0642458100558659,bac_regret,-0.3344117292129485,-0.2212766436526718,-0.1131350855602766,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=US,ROOT,1,11786,5211,0.4411941105910577,0.0926829268292683,0.6702042553407889,0.6350028785261946,0.1746305891383611,0.0236039147956246,bac_regret,-0.1938087679351369,-0.2212766436526718,0.0274678757175349,False,L1_UniqueCarrier=US,,,,,,,,,,
L1_UniqueCarrier=WN,ROOT,1,15803,6849,0.4815121050877735,0.3228001944579485,0.7195890006588527,0.6579792670462842,0.2471893707110527,0.131844064826982,bac_regret,-0.1764671619585107,-0.2212766436526718,0.0448094816941611,False,L1_UniqueCarrier=WN,,,,,,,,,,
L1_UniqueCarrier=XE,ROOT,1,2657,1609,0.5357305556746559,0.35,0.7081368177335677,0.6640770665009322,0.1553760099440646,0.0988191423244251,bac_regret,-0.1283465108262763,-0.2212766436526718,0.0929301328263955,False,L1_UniqueCarrier=XE,,,,,,,,,,
L1_UniqueCarrier=YV,ROOT,1,1403,658,0.4183878137366509,0.163265306122449,0.6837245441896606,0.7112462006079028,0.2416413373860182,0.0729483282674772,bac_regret,-0.2928583868712518,-0.2212766436526718,-0.0715817432185799,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=9E|L2_Origin=ATL,L1_UniqueCarrier=9E,2,138,52,0.4069767441860465,0.0,0.7441860465116279,0.75,0.2115384615384615,0.0192307692307692,bac_regret,-0.3430232558139535,-0.233055700120615,-0.1099675556933384,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=9E|L2_Origin=CLE,L1_UniqueCarrier=9E,2,45,19,,,,,,,bac_regret,,-0.233055700120615,,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=9E|L2_Origin=CVG,L1_UniqueCarrier=9E,2,77,40,0.453125,0.0,0.6015625,0.8125,0.15,0.0,bac_regret,-0.359375,-0.233055700120615,-0.1263192998793849,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=9E|L2_Origin=DTW,L1_UniqueCarrier=9E,2,187,77,0.5,0.0,0.6033057851239669,0.7142857142857143,0.0,0.0,bac_regret,-0.2142857142857143,-0.233055700120615,0.0187699858349007,False,L1_UniqueCarrier=9E|L2_Origin=DTW,,,,,,,,,,
