bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.3,0.2,bucket_wise,ROOT,False
L1_UniqueCarrier=9E,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AS,0.4,0.3,bucket_wise,L1_UniqueCarrier=AS,False
L1_UniqueCarrier=B6,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=CO,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,False
L1_UniqueCarrier=DL,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,False
L1_UniqueCarrier=EA,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=EV,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=FL,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=HP,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=MQ,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=NW,0.3,0.2,bucket_wise,L1_UniqueCarrier=NW,False
L1_UniqueCarrier=OH,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=OO,0.3,0.2,bucket_wise,L1_UniqueCarrier=OO,False
L1_UniqueCarrier=OTHER_CARRIER,0.3,0.2,bucket_wise,L1_UniqueCarrier=OTHER_CARRIER,False
L1_UniqueCarrier=PI,0.6,0.5,bucket_wise,L1_UniqueCarrier=PI,False
L1_UniqueCarrier=TW,0.3,0.2,bucket_wise,L1_UniqueCarrier=TW,False
L1_UniqueCarrier=UA,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=US,0.3,0.2,bucket_wise,L1_UniqueCarrier=US,False
L1_UniqueCarrier=WN,0.3,0.2,bucket_wise,L1_UniqueCarrier=WN,False
L1_UniqueCarrier=XE,0.3,0.2,bucket_wise,L1_UniqueCarrier=XE,False
L1_UniqueCarrier=YV,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=9E|L2_Origin=ATL,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=9E|L2_Origin=CVG,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=9E|L2_Origin=DTW,0.4,0.3,bucket_wise,L1_UniqueCarrier=9E|L2_Origin=DTW,False
L1_UniqueCarrier=9E|L2_Origin=IND,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=9E|L2_Origin=MEM,0.4,0.3,bucket_wise,L1_UniqueCarrier=9E|L2_Origin=MEM,False
L1_UniqueCarrier=9E|L2_Origin=MSP,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=9E|L2_Origin=OTHER_ORIGIN,0.3,0.2,bucket_wise,L1_UniqueCarrier=9E|L2_Origin=OTHER_ORIGIN,False
L1_UniqueCarrier=AA|L2_Origin=ABQ,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=ABQ,False
L1_UniqueCarrier=AA|L2_Origin=ATL,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=ATL,False
L1_UniqueCarrier=AA|L2_Origin=AUS,0.2,0.1,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=AUS,False
L1_UniqueCarrier=AA|L2_Origin=BDL,0.5,0.4,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=BDL,False
L1_UniqueCarrier=AA|L2_Origin=BNA,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=BNA,False
L1_UniqueCarrier=AA|L2_Origin=BOS,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=BUF,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=BUF,False
