bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,800000,111991,47991,,False,False,ROOT
L1_UniqueCarrier=9E,ROOT,1,L1_UniqueCarrier,categorical_group,9E,6342,946,491,,False,True,ROOT
L1_UniqueCarrier=AA,ROOT,1,L1_UniqueCarrier,categorical_group,AA,91320,12866,5514,,False,True,ROOT
L1_UniqueCarrier=AS,ROOT,1,L1_UniqueCarrier,categorical_group,AS,18842,2694,1237,,False,False,L1_UniqueCarrier=AS
L1_UniqueCarrier=B6,ROOT,1,L1_UniqueCarrier,categorical_group,B6,9289,1590,882,,False,True,ROOT
L1_UniqueCarrier=CO,ROOT,1,L1_UniqueCarrier,categorical_group,CO,47072,6669,3230,,False,False,L1_UniqueCarrier=CO
L1_UniqueCarrier=DL,ROOT,1,L1_UniqueCarrier,categorical_group,DL,103384,14440,6237,,False,False,L1_UniqueCarrier=DL
L1_UniqueCarrier=EA,ROOT,1,L1_UniqueCarrier,categorical_group,EA,4791,778,517,,False,True,ROOT
L1_UniqueCarrier=EV,ROOT,1,L1_UniqueCarrier,categorical_group,EV,19742,2914,1454,,False,True,ROOT
L1_UniqueCarrier=FL,ROOT,1,L1_UniqueCarrier,categorical_group,FL,12503,2004,1278,,False,True,ROOT
L1_UniqueCarrier=HP,ROOT,1,L1_UniqueCarrier,categorical_group,HP,19220,2717,1524,,False,True,ROOT
L1_UniqueCarrier=MQ,ROOT,1,L1_UniqueCarrier,categorical_group,MQ,30931,4543,2135,,False,True,ROOT
L1_UniqueCarrier=NW,ROOT,1,L1_UniqueCarrier,categorical_group,NW,55562,7801,3706,,False,False,L1_UniqueCarrier=NW
L1_UniqueCarrier=OH,ROOT,1,L1_UniqueCarrier,categorical_group,OH,9277,1552,822,,False,True,ROOT
L1_UniqueCarrier=OO,ROOT,1,L1_UniqueCarrier,categorical_group,OO,30467,4265,2198,,False,False,L1_UniqueCarrier=OO
L1_UniqueCarrier=OTHER_CARRIER,ROOT,1,L1_UniqueCarrier,categorical_group,OTHER_CARRIER,15473,2313,1524,,False,False,L1_UniqueCarrier=OTHER_CARRIER
L1_UniqueCarrier=PI,ROOT,1,L1_UniqueCarrier,categorical_group,PI,4534,700,470,,False,False,L1_UniqueCarrier=PI
L1_UniqueCarrier=TW,ROOT,1,L1_UniqueCarrier,categorical_group,TW,19510,2861,2092,,False,False,L1_UniqueCarrier=TW
L1_UniqueCarrier=UA,ROOT,1,L1_UniqueCarrier,categorical_group,UA,79307,11104,5012,,False,True,ROOT
L1_UniqueCarrier=US,ROOT,1,L1_UniqueCarrier,categorical_group,US,83750,11786,5211,,False,False,L1_UniqueCarrier=US
L1_UniqueCarrier=WN,ROOT,1,L1_UniqueCarrier,categorical_group,WN,112351,15803,6849,,False,False,L1_UniqueCarrier=WN
L1_UniqueCarrier=XE,ROOT,1,L1_UniqueCarrier,categorical_group,XE,17840,2657,1609,,False,False,L1_UniqueCarrier=XE
L1_UniqueCarrier=YV,ROOT,1,L1_UniqueCarrier,categorical_group,YV,8493,1403,658,,False,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=ATL,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,ATL,190,138,52,,False,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=CLE,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,CLE,64,45,19,,True,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=CVG,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,CVG,117,77,40,,False,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=DTW,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,DTW,1331,187,77,,False,False,L1_UniqueCarrier=9E|L2_Origin=DTW
L1_UniqueCarrier=9E|L2_Origin=IND,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,IND,131,89,42,,False,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=JFK,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,JFK,56,39,17,,True,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=MEM,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,MEM,845,116,266,,False,False,L1_UniqueCarrier=9E|L2_Origin=MEM
L1_UniqueCarrier=9E|L2_Origin=MSP,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,MSP,609,86,171,,False,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=OTHER_ORIGIN,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,OTHER_ORIGIN,2205,307,191,,False,False,L1_UniqueCarrier=9E|L2_Origin=OTHER_ORIGIN
L1_UniqueCarrier=9E|L2_Origin=PIT,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,PIT,76,58,18,,True,True,ROOT
L1_UniqueCarrier=9E|L2_Origin=others,L1_UniqueCarrier=9E,2,L2_Origin,categorical_group,others,718,471,247,,True,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=ABQ,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,ABQ,447,95,145,,False,False,L1_UniqueCarrier=AA|L2_Origin=ABQ
L1_UniqueCarrier=AA|L2_Origin=ATL,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,ATL,1023,164,72,,False,False,L1_UniqueCarrier=AA|L2_Origin=ATL
L1_UniqueCarrier=AA|L2_Origin=AUS,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,AUS,1042,145,109,,False,False,L1_UniqueCarrier=AA|L2_Origin=AUS
L1_UniqueCarrier=AA|L2_Origin=BDL,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BDL,519,138,78,,False,False,L1_UniqueCarrier=AA|L2_Origin=BDL
L1_UniqueCarrier=AA|L2_Origin=BNA,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BNA,2009,299,133,,False,False,L1_UniqueCarrier=AA|L2_Origin=BNA
L1_UniqueCarrier=AA|L2_Origin=BOS,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BOS,1660,233,118,,False,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=BUF,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BUF,200,92,58,,False,False,L1_UniqueCarrier=AA|L2_Origin=BUF
L1_UniqueCarrier=AA|L2_Origin=BUR,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BUR,160,108,52,,False,False,L1_UniqueCarrier=AA|L2_Origin=BUR
L1_UniqueCarrier=AA|L2_Origin=BWI,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,BWI,594,91,68,,False,False,L1_UniqueCarrier=AA|L2_Origin=BWI
L1_UniqueCarrier=AA|L2_Origin=CLE,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,CLE,337,89,87,,False,False,L1_UniqueCarrier=AA|L2_Origin=CLE
L1_UniqueCarrier=AA|L2_Origin=CLT,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,CLT,279,201,78,,False,False,L1_UniqueCarrier=AA|L2_Origin=CLT
L1_UniqueCarrier=AA|L2_Origin=CMH,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,CMH,262,63,94,,False,False,L1_UniqueCarrier=AA|L2_Origin=CMH
L1_UniqueCarrier=AA|L2_Origin=CVG,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,CVG,107,79,28,,True,False,L1_UniqueCarrier=AA|L2_Origin=CVG
L1_UniqueCarrier=AA|L2_Origin=DAL,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,DAL,69,49,20,,True,False,L1_UniqueCarrier=AA|L2_Origin=DAL
L1_UniqueCarrier=AA|L2_Origin=DCA,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,DCA,1413,227,104,,False,False,L1_UniqueCarrier=AA|L2_Origin=DCA
L1_UniqueCarrier=AA|L2_Origin=DEN,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,DEN,920,160,92,,False,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=DFW,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,DFW,20977,2951,1241,,False,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=DTW,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,DTW,690,113,61,,False,False,L1_UniqueCarrier=AA|L2_Origin=DTW
L1_UniqueCarrier=AA|L2_Origin=ELP,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,ELP,510,90,93,,False,False,L1_UniqueCarrier=AA|L2_Origin=ELP
L1_UniqueCarrier=AA|L2_Origin=EWR,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,EWR,1118,158,111,,False,False,L1_UniqueCarrier=AA|L2_Origin=EWR
L1_UniqueCarrier=AA|L2_Origin=FLL,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,FLL,568,85,67,,False,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=HNL,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,HNL,400,75,76,,False,False,L1_UniqueCarrier=AA|L2_Origin=HNL
L1_UniqueCarrier=AA|L2_Origin=HOU,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,HOU,226,147,79,,False,False,L1_UniqueCarrier=AA|L2_Origin=HOU
L1_UniqueCarrier=AA|L2_Origin=IAD,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,IAD,587,134,175,,False,False,L1_UniqueCarrier=AA|L2_Origin=IAD
L1_UniqueCarrier=AA|L2_Origin=IAH,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,IAH,825,138,78,,False,False,L1_UniqueCarrier=AA|L2_Origin=IAH
L1_UniqueCarrier=AA|L2_Origin=IND,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,IND,361,87,106,,False,False,L1_UniqueCarrier=AA|L2_Origin=IND
L1_UniqueCarrier=AA|L2_Origin=JAX,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,JAX,247,73,75,,False,False,L1_UniqueCarrier=AA|L2_Origin=JAX
L1_UniqueCarrier=AA|L2_Origin=JFK,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,JFK,1534,212,112,,False,True,ROOT
L1_UniqueCarrier=AA|L2_Origin=LAS,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,LAS,955,137,102,,False,False,L1_UniqueCarrier=AA|L2_Origin=LAS
L1_UniqueCarrier=AA|L2_Origin=LAX,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,LAX,3642,506,219,,False,False,L1_UniqueCarrier=AA|L2_Origin=LAX
L1_UniqueCarrier=AA|L2_Origin=LGA,L1_UniqueCarrier=AA,2,L2_Origin,categorical_group,LGA,2306,318,179,,False,False,L1_UniqueCarrier=AA|L2_Origin=LGA
