bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_age=30-40|L2_job=blue_collar|L3_contact=OTHER,0.42857142857142855,0.7058823529411765,0.5333333333333333,0.8364122508507535,0.9169907632474478,0.5303216459177671,0.5127587644143936,0.045409181636726546,0.015968063872255488,0.05588822355289421,501,0.3,0.2
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,0.5257731958762887,0.7183098591549296,0.6071428571428571,0.8188747194198466,0.9232135369132483,0.5584871632323551,0.5496269211964031,0.11643302180685358,0.03271028037383177,0.15109034267912771,642,0.3,0.2
L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,0.6666666666666666,1.0,0.8,0.9901960784313726,0.9803921568627451,0.8084520834544433,0.7905138339920948,0.018867924528301886,0.018867924528301886,0.05660377358490566,53,0.3,0.2
L1_age=30-40|L2_job=no_income|L3_contact=OTHER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008064516129032258,0.03225806451612903,0.0967741935483871,31,0.3,0.2
L1_age=30-40|L2_job=no_income|L3_contact=cellular,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.807057057057057,0.9241741741741741,0.5804467308383626,0.577683615819209,0.15217391304347827,0.07608695652173914,0.22826086956521738,92,0.3,0.2
L1_age=30-40|L2_job=no_income|L3_contact=telephone,0.75,1.0,0.8571428571428571,0.9285714285714286,1.0,0.8017837257372732,0.7826086956521738,0.1,0.1,0.4,10,0.3,0.2
L1_age=30-40|L2_job=retired|L3_contact=OTHER,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,3,0.3,0.2
L1_age=30-40|L2_job=retired|L3_contact=cellular,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.3,0.2
L1_age=30-40|L2_job=retired|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.3,0.2
L1_age=30-40|L2_job=self_emp|L3_contact=OTHER,0.0,0.0,0.0,0.9558823529411765,,0.0,0.0,0.04044117647058824,0.029411764705882353,0.04411764705882353,68,0.3,0.2
L1_age=30-40|L2_job=self_emp|L3_contact=cellular,0.6363636363636364,0.7,0.6666666666666666,0.8245222929936306,0.9458598726114651,0.6228194492360035,0.621910283796155,0.0903954802259887,0.06779661016949153,0.12429378531073447,177,0.3,0.2
L1_age=30-40|L2_job=self_emp|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.03571428571428571,0.14285714285714285,0.0,7,0.3,0.2
L1_age=30-40|L2_job=unknown|L3_contact=OTHER,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,2,0.3,0.2
L1_age=30-40|L2_job=unknown|L3_contact=cellular,0.5,1.0,0.6666666666666666,0.95,1.0,0.6708203932499369,0.6206896551724137,0.09090909090909091,0.09090909090909091,0.18181818181818182,11,0.3,0.2
L1_age=30-40|L2_job=unknown|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.3,0.2
L1_age=30-40|L2_job=white_collar|L3_contact=OTHER,0.2916666666666667,0.5,0.3684210526315789,0.7307256235827664,0.9363459669582118,0.3565043888517409,0.34288121314237574,0.057692307692307696,0.017582417582417582,0.05274725274725275,455,0.3,0.2
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,0.5817490494296578,0.7018348623853211,0.6361746361746362,0.8061291575770253,0.9162246361653169,0.5679261625242905,0.5643513560973594,0.1395228215767635,0.04979253112033195,0.18188105117565698,1446,0.3,0.2
L1_age=30-40|L2_job=white_collar|L3_contact=telephone,0.3333333333333333,0.25,0.28571428571428575,0.6037234042553192,0.9148936170212767,0.23703061118407864,0.23423423423423417,0.11274509803921569,0.058823529411764705,0.058823529411764705,51,0.3,0.2
L1_age=40-50|L2_job=blue_collar|L3_contact=OTHER,0.3684210526315789,0.7,0.48275862068965514,0.829020979020979,0.9692307692307692,0.48508731445763736,0.45880058508044863,0.0472972972972973,0.02027027027027027,0.06418918918918919,296,0.3,0.2
L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,0.5227272727272727,0.5111111111111111,0.5168539325842696,0.7296934865900383,0.9344827586206896,0.46400686561391963,0.4639708117968987,0.1164079822616408,0.03547671840354767,0.0975609756097561,451,0.3,0.2
L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,0.5,0.5,0.5,0.7433333333333334,0.5800000000000001,0.4866666666666667,0.4866666666666667,0.03896103896103896,0.012987012987012988,0.025974025974025976,77,0.3,0.2
L1_age=40-50|L2_job=no_income|L3_contact=OTHER,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,10,0.3,0.2
L1_age=40-50|L2_job=no_income|L3_contact=cellular,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.7681159420289855,0.8858695652173914,0.5076119249638631,0.5051194539249146,0.20689655172413793,0.13793103448275862,0.2413793103448276,58,0.3,0.2
L1_age=40-50|L2_job=no_income|L3_contact=telephone,0.25,1.0,0.4,0.8125,0.625,0.3952847075210474,0.2702702702702702,0.25,0.0,0.4444444444444444,9,0.3,0.2
L1_age=40-50|L2_job=retired|L3_contact=OTHER,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,12,0.3,0.2
L1_age=40-50|L2_job=retired|L3_contact=cellular,0.0,0.0,0.0,1.0,,0.0,,0.03125,0.125,0.0,8,0.3,0.2
L1_age=40-50|L2_job=retired|L3_contact=telephone,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.3,0.2
L1_age=40-50|L2_job=self_emp|L3_contact=OTHER,0.75,0.6,0.6666666666666665,0.7913793103448276,0.9655172413793103,0.6459987894743595,0.6413662239089184,0.07539682539682539,0.0,0.06349206349206349,63,0.3,0.2
L1_age=40-50|L2_job=self_emp|L3_contact=cellular,0.5,0.45454545454545453,0.47619047619047616,0.7006769825918762,0.8974854932301741,0.41872223622180205,0.4181360201511335,0.14523809523809525,0.12380952380952381,0.09523809523809523,105,0.3,0.2
