bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,3,686,686,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,0
L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,3,60,60,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,0
L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,3,469,469,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,0
L1_age=30-40|L2_job=no_income|L3_contact=cellular,3,85,85,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=cellular,0
L1_age=30-40|L2_job=no_income|L3_contact=telephone,3,10,10,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=telephone,0
L1_age=30-40|L2_job=no_income|L3_contact=unknown,3,33,33,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=unknown,0
L1_age=30-40|L2_job=retired|L3_contact=unknown,3,4,4,0,L1_age=30-40|L2_job=retired,False,L1_age=30-40|L2_job=retired|L3_contact=unknown,0
L1_age=30-40|L2_job=self_emp|L3_contact=cellular,3,152,152,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=cellular,0
L1_age=30-40|L2_job=self_emp|L3_contact=telephone,3,11,11,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=telephone,0
L1_age=30-40|L2_job=self_emp|L3_contact=unknown,3,60,60,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=unknown,0
L1_age=30-40|L2_job=unknown|L3_contact=cellular,3,7,7,0,L1_age=30-40|L2_job=unknown,False,L1_age=30-40|L2_job=unknown|L3_contact=cellular,0
L1_age=30-40|L2_job=unknown|L3_contact=unknown,3,4,4,0,L1_age=30-40|L2_job=unknown,False,L1_age=30-40|L2_job=unknown|L3_contact=unknown,0
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,3,1477,1477,0,L1_age=30-40|L2_job=white_collar,False,L1_age=30-40|L2_job=white_collar|L3_contact=cellular,0
L1_age=30-40|L2_job=white_collar|L3_contact=telephone,3,58,58,0,L1_age=30-40|L2_job=white_collar,False,L1_age=30-40|L2_job=white_collar|L3_contact=telephone,0
L1_age=30-40|L2_job=white_collar|L3_contact=unknown,3,426,426,0,L1_age=30-40|L2_job=white_collar,False,L1_age=30-40|L2_job=white_collar|L3_contact=unknown,0
L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,3,461,461,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,0
L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,3,72,72,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,0
L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,3,309,309,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,0
L1_age=40-50|L2_job=no_income|L3_contact=cellular,3,53,53,0,L1_age=40-50|L2_job=no_income,False,L1_age=40-50|L2_job=no_income|L3_contact=cellular,0
L1_age=40-50|L2_job=no_income|L3_contact=telephone,3,2,2,0,L1_age=40-50|L2_job=no_income,False,L1_age=40-50|L2_job=no_income|L3_contact=telephone,0
L1_age=40-50|L2_job=no_income|L3_contact=unknown,3,17,17,0,L1_age=40-50|L2_job=no_income,False,L1_age=40-50|L2_job=no_income|L3_contact=unknown,0
L1_age=40-50|L2_job=retired|L3_contact=cellular,3,7,7,0,L1_age=40-50|L2_job=retired,False,L1_age=40-50|L2_job=retired|L3_contact=cellular,0
L1_age=40-50|L2_job=retired|L3_contact=telephone,3,2,2,0,L1_age=40-50|L2_job=retired,False,L1_age=40-50|L2_job=retired|L3_contact=telephone,0
L1_age=40-50|L2_job=retired|L3_contact=unknown,3,14,14,0,L1_age=40-50|L2_job=retired,False,L1_age=40-50|L2_job=retired|L3_contact=unknown,0
L1_age=40-50|L2_job=self_emp|L3_contact=cellular,3,82,82,0,L1_age=40-50|L2_job=self_emp,False,L1_age=40-50|L2_job=self_emp|L3_contact=cellular,0
L1_age=40-50|L2_job=self_emp|L3_contact=telephone,3,15,15,0,L1_age=40-50|L2_job=self_emp,False,L1_age=40-50|L2_job=self_emp|L3_contact=telephone,0
L1_age=40-50|L2_job=self_emp|L3_contact=unknown,3,49,49,0,L1_age=40-50|L2_job=self_emp,False,L1_age=40-50|L2_job=self_emp|L3_contact=unknown,0
L1_age=40-50|L2_job=unknown|L3_contact=cellular,3,9,9,0,L1_age=40-50|L2_job=unknown,False,L1_age=40-50|L2_job=unknown|L3_contact=cellular,0
L1_age=40-50|L2_job=unknown|L3_contact=telephone,3,2,2,0,L1_age=40-50|L2_job=unknown,False,L1_age=40-50|L2_job=unknown|L3_contact=telephone,0
L1_age=40-50|L2_job=unknown|L3_contact=unknown,3,10,10,0,L1_age=40-50|L2_job=unknown,False,L1_age=40-50|L2_job=unknown|L3_contact=unknown,0
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,3,743,743,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=cellular,0
L1_age=40-50|L2_job=white_collar|L3_contact=telephone,3,54,54,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=telephone,0
L1_age=40-50|L2_job=white_collar|L3_contact=unknown,3,299,299,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=unknown,0
L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,3,257,257,0,L1_age=50-60|L2_job=blue_collar,False,L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,0
L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,3,59,59,0,L1_age=50-60|L2_job=blue_collar,False,L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,0
L1_age=50-60|L2_job=blue_collar|L3_contact=unknown,3,159,159,0,L1_age=50-60|L2_job=blue_collar,False,L1_age=50-60|L2_job=blue_collar|L3_contact=unknown,0
L1_age=50-60|L2_job=no_income|L3_contact=cellular,3,38,38,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=cellular,0
L1_age=50-60|L2_job=no_income|L3_contact=telephone,3,6,6,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=telephone,0
L1_age=50-60|L2_job=no_income|L3_contact=unknown,3,12,12,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=unknown,0
L1_age=50-60|L2_job=retired|L3_contact=cellular,3,136,136,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=cellular,0
L1_age=50-60|L2_job=retired|L3_contact=telephone,3,21,21,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=telephone,0
L1_age=50-60|L2_job=retired|L3_contact=unknown,3,88,88,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=unknown,0
L1_age=50-60|L2_job=self_emp|L3_contact=cellular,3,59,59,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=cellular,0
L1_age=50-60|L2_job=self_emp|L3_contact=telephone,3,15,15,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=telephone,0
L1_age=50-60|L2_job=self_emp|L3_contact=unknown,3,32,32,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=unknown,0
L1_age=50-60|L2_job=unknown|L3_contact=cellular,3,6,6,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=cellular,0
L1_age=50-60|L2_job=unknown|L3_contact=telephone,3,5,5,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=telephone,0
L1_age=50-60|L2_job=unknown|L3_contact=unknown,3,12,12,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=unknown,0
L1_age=50-60|L2_job=white_collar|L3_contact=cellular,3,425,425,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=cellular,0
L1_age=50-60|L2_job=white_collar|L3_contact=telephone,3,73,73,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=telephone,0
L1_age=50-60|L2_job=white_collar|L3_contact=unknown,3,176,176,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=unknown,0
L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,3,290,290,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,0
L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,3,18,18,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,0
L1_age=<=30|L2_job=blue_collar|L3_contact=unknown,3,192,192,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=unknown,0
L1_age=<=30|L2_job=no_income|L3_contact=cellular,3,162,162,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=cellular,0
L1_age=<=30|L2_job=no_income|L3_contact=telephone,3,21,21,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=telephone,0
L1_age=<=30|L2_job=no_income|L3_contact=unknown,3,32,32,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=unknown,0
L1_age=<=30|L2_job=self_emp|L3_contact=cellular,3,54,54,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=cellular,0
L1_age=<=30|L2_job=self_emp|L3_contact=telephone,3,1,1,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=telephone,0
L1_age=<=30|L2_job=self_emp|L3_contact=unknown,3,18,18,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=unknown,0
L1_age=<=30|L2_job=unknown|L3_contact=cellular,3,2,2,0,L1_age=<=30|L2_job=unknown,False,L1_age=<=30|L2_job=unknown|L3_contact=cellular,0
L1_age=<=30|L2_job=unknown|L3_contact=telephone,3,1,1,0,L1_age=<=30|L2_job=unknown,False,L1_age=<=30|L2_job=unknown|L3_contact=telephone,0
L1_age=<=30|L2_job=unknown|L3_contact=unknown,3,1,1,0,L1_age=<=30|L2_job=unknown,False,L1_age=<=30|L2_job=unknown|L3_contact=unknown,0
L1_age=<=30|L2_job=white_collar|L3_contact=cellular,3,477,477,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=cellular,0
L1_age=<=30|L2_job=white_collar|L3_contact=telephone,3,18,18,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=telephone,0
L1_age=<=30|L2_job=white_collar|L3_contact=unknown,3,172,172,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=unknown,0
L1_age=>60|L2_job=blue_collar|L3_contact=cellular,3,13,13,0,L1_age=>60|L2_job=blue_collar,False,L1_age=>60|L2_job=blue_collar|L3_contact=cellular,0
L1_age=>60|L2_job=blue_collar|L3_contact=telephone,3,6,6,0,L1_age=>60|L2_job=blue_collar,False,L1_age=>60|L2_job=blue_collar|L3_contact=telephone,0
L1_age=>60|L2_job=no_income|L3_contact=cellular,3,1,1,0,L1_age=>60|L2_job=no_income,False,L1_age=>60|L2_job=no_income|L3_contact=cellular,0
L1_age=>60|L2_job=no_income|L3_contact=telephone,3,1,1,0,L1_age=>60|L2_job=no_income,False,L1_age=>60|L2_job=no_income|L3_contact=telephone,0
L1_age=>60|L2_job=retired|L3_contact=cellular,3,124,124,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=cellular,0
L1_age=>60|L2_job=retired|L3_contact=telephone,3,66,66,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=telephone,0
L1_age=>60|L2_job=retired|L3_contact=unknown,3,1,1,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=unknown,0
L1_age=>60|L2_job=self_emp|L3_contact=cellular,3,6,6,0,L1_age=>60|L2_job=self_emp,False,L1_age=>60|L2_job=self_emp|L3_contact=cellular,0
L1_age=>60|L2_job=self_emp|L3_contact=telephone,3,4,4,0,L1_age=>60|L2_job=self_emp,False,L1_age=>60|L2_job=self_emp|L3_contact=telephone,0
L1_age=>60|L2_job=unknown|L3_contact=cellular,3,2,2,0,L1_age=>60|L2_job=unknown,False,L1_age=>60|L2_job=unknown|L3_contact=cellular,0
L1_age=>60|L2_job=unknown|L3_contact=telephone,3,2,2,0,L1_age=>60|L2_job=unknown,False,L1_age=>60|L2_job=unknown|L3_contact=telephone,0
L1_age=>60|L2_job=white_collar|L3_contact=cellular,3,30,30,0,L1_age=>60|L2_job=white_collar,False,L1_age=>60|L2_job=white_collar|L3_contact=cellular,0
L1_age=>60|L2_job=white_collar|L3_contact=telephone,3,6,6,0,L1_age=>60|L2_job=white_collar,False,L1_age=>60|L2_job=white_collar|L3_contact=telephone,0
