bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,7594,3252,0.11588095865156703,0.11808118081180811,0.3,0.2,0.11216174661746617,0.6239620403321471,0.5729847494553377,0.6848958333333334,0.03782287822878229,0.1411439114391144,3252,False,,bac_regret,0.6823433527549189,0.6920118065677457,-0.009668453812826883,ROOT,False,1
L1_age=30-40,L1,ROOT,2977,1295,0.10043668122270742,0.11042471042471043,0.3,0.2,0.09671814671814671,0.64375,0.5819209039548022,0.7202797202797203,0.0416988416988417,0.13667953667953667,1295,False,,bac_regret,0.7161126856439356,0.6823433527549189,0.033769332889016734,L1_age=30-40,False,1
L1_age=40-50,L1,ROOT,1859,840,0.08660570199031738,0.07976190476190476,0.4,0.2,0.08214285714285714,0.608,0.6551724137931034,0.5671641791044776,0.058333333333333334,0.06904761904761905,840,False,,bac_regret,0.6652167227069237,0.6823433527549189,-0.017126630047995195,L1_age=40-50,False,1
L1_age=50-60,L1,ROOT,1368,563,0.09649122807017543,0.0905861456483126,0.3,0.2,0.07104795737122557,0.6724137931034482,0.6,0.7647058823529411,0.037300177619893425,0.11545293072824156,563,False,,bac_regret,0.772242483805245,0.6823433527549189,0.0898991310503261,L1_age=50-60,False,1
L1_age=<=30,L1,ROOT,1198,512,0.15859766277128548,0.171875,0.3,0.2,0.1416015625,0.676923076923077,0.616822429906542,0.75,0.138671875,0.208984375,512,True,,bac_regret,0.6201908903301887,0.6823433527549189,-0.06215246242473016,ROOT,True,1
L1_age=>60,L1,ROOT,233,111,0.49356223175965663,0.36036036036036034,0.3,0.2,0.31756756756756754,0.6355140186915889,0.5074626865671642,0.85,0.21621621621621623,0.6036036036036037,111,True,,bac_regret,0.24827750285496764,0.6823433527549189,-0.43406584989995123,ROOT,True,1
L1_age=30-40|L2_job=blue_collar,L2,L1_age=30-40,998,447,0.06913827655310621,0.07829977628635347,0.3,0.2,0.1029082774049217,0.5301204819277109,0.4583333333333333,0.6285714285714286,0.08277404921700224,0.10738255033557047,447,True,L1_age=30-40,bac_regret,0.6434162718322489,0.7161126856439356,-0.07269641381168668,L1_age=30-40,True,1
L1_age=30-40|L2_job=no_income,L2,L1_age=30-40,125,46,0.16,0.08695652173913043,0.3,0.2,0.11413043478260869,0.4,1.0,0.25,0.15217391304347827,0.021739130434782608,46,True,L1_age=30-40,bac_regret,0.45134575569358176,0.7161126856439356,-0.26476692995035384,L1_age=30-40,True,1
L1_age=30-40|L2_job=self_emp,L2,L1_age=30-40,214,86,0.10747663551401869,0.08139534883720931,0.4,0.2,0.06395348837209303,0.6666666666666666,0.625,0.7142857142857143,0.08139534883720931,0.09302325581395349,86,False,,bac_regret,0.7425564573783591,0.7161126856439356,0.02644377173442347,L1_age=30-40|L2_job=self_emp,False,1
L1_age=30-40|L2_job=unknown,L2,L1_age=30-40,34,9,0.058823529411764705,0.1111111111111111,0.3,0.2,,,,,,,0,True,L1_age=30-40,bac_regret,,0.7161126856439356,,L1_age=30-40,True,1
L1_age=30-40|L2_job=white_collar,L2,L1_age=30-40,1648,702,0.11347087378640777,0.1339031339031339,0.3,0.2,0.09757834757834757,0.6910994764397906,0.6804123711340206,0.7021276595744681,0.05270655270655271,0.13817663817663817,702,False,,bac_regret,0.7107223243141496,0.7161126856439356,-0.0053903613297859865,L1_age=30-40|L2_job=white_collar,False,1
L1_age=30-40|L2_job=others,L2,L1_age=30-40,13,11,0.07692307692307693,0.0,0.3,0.2,,,,,,,0,True,L1_age=30-40,bac_regret,,0.7161126856439356,,L1_age=30-40,True,1
L1_age=40-50|L2_job=blue_collar,L2,L1_age=40-50,698,306,0.07163323782234957,0.042483660130718956,0.4,0.2,0.0727124183006536,0.14285714285714288,1.0,0.07692307692307693,0.058823529411764705,0.0032679738562091504,306,True,L1_age=40-50,bac_regret,0.4435648198195879,0.6652167227069237,-0.22165190288733577,L1_age=40-50,True,1
L1_age=40-50|L2_job=no_income,L2,L1_age=40-50,72,45,0.1388888888888889,0.17777777777777778,0.4,0.2,0.005555555555555556,1.0,1.0,1.0,0.022222222222222223,0.17777777777777778,45,False,,bac_regret,0.980930930930931,0.6652167227069237,0.3157142082240073,L1_age=40-50|L2_job=no_income,False,1
L1_age=40-50|L2_job=retired,L2,L1_age=40-50,57,34,0.07017543859649122,0.0,0.4,0.2,,,,,,,0,True,L1_age=40-50,bac_regret,,0.6652167227069237,,L1_age=40-50,True,1
