fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,36168,7594,3252,,False,False,ROOT
1,L1_age=30-40,ROOT,1,L1_age,numeric_bin,30-40,14173,2977,1295,,False,True,ROOT
1,L1_age=40-50,ROOT,1,L1_age,numeric_bin,40-50,8943,1859,840,,False,False,L1_age=40-50
1,L1_age=50-60,ROOT,1,L1_age,numeric_bin,50-60,6407,1368,563,,False,False,L1_age=50-60
1,L1_age=<=30,ROOT,1,L1_age,numeric_bin,<=30,5675,1198,512,,False,True,ROOT
1,L1_age=>60,ROOT,1,L1_age,numeric_bin,>60,970,233,111,,False,True,ROOT
1,L1_age=30-40|L2_job=blue_collar,L1_age=30-40,2,L2_job,categorical_group,blue_collar,4830,998,447,,False,True,ROOT
1,L1_age=30-40|L2_job=no_income,L1_age=30-40,2,L2_job,categorical_group,no_income,499,125,46,,False,False,L1_age=30-40|L2_job=no_income
1,L1_age=30-40|L2_job=self_emp,L1_age=30-40,2,L2_job,categorical_group,self_emp,932,214,86,,False,True,ROOT
1,L1_age=30-40|L2_job=unknown,L1_age=30-40,2,L2_job,categorical_group,unknown,43,34,9,8.0,True,True,ROOT
1,L1_age=30-40|L2_job=white_collar,L1_age=30-40,2,L2_job,categorical_group,white_collar,7845,1648,702,,False,False,L1_age=30-40|L2_job=white_collar
1,L1_age=30-40|L2_job=others,L1_age=30-40,2,L2_job,categorical_group,others,24,13,11,12.0,True,True,ROOT
1,L1_age=40-50|L2_job=blue_collar,L1_age=40-50,2,L2_job,categorical_group,blue_collar,3357,698,306,,False,True,L1_age=40-50
1,L1_age=40-50|L2_job=no_income,L1_age=40-50,2,L2_job,categorical_group,no_income,288,72,45,,False,False,L1_age=40-50|L2_job=no_income
1,L1_age=40-50|L2_job=retired,L1_age=40-50,2,L2_job,categorical_group,retired,91,57,34,,False,True,L1_age=40-50
1,L1_age=40-50|L2_job=self_emp,L1_age=40-50,2,L2_job,categorical_group,self_emp,677,143,67,,False,False,L1_age=40-50|L2_job=self_emp
1,L1_age=40-50|L2_job=unknown,L1_age=40-50,2,L2_job,categorical_group,unknown,81,51,30,,False,True,L1_age=40-50
1,L1_age=40-50|L2_job=white_collar,L1_age=40-50,2,L2_job,categorical_group,white_collar,4449,923,410,,False,False,L1_age=40-50|L2_job=white_collar
1,L1_age=50-60|L2_job=blue_collar,L1_age=50-60,2,L2_job,categorical_group,blue_collar,1939,410,169,,False,True,L1_age=50-60
1,L1_age=50-60|L2_job=no_income,L1_age=50-60,2,L2_job,categorical_group,no_income,216,59,60,,False,False,L1_age=50-60|L2_job=no_income
1,L1_age=50-60|L2_job=retired,L1_age=50-60,2,L2_job,categorical_group,retired,988,210,103,,False,False,L1_age=50-60|L2_job=retired
1,L1_age=50-60|L2_job=self_emp,L1_age=50-60,2,L2_job,categorical_group,self_emp,475,100,52,,False,True,L1_age=50-60
1,L1_age=50-60|L2_job=unknown,L1_age=50-60,2,L2_job,categorical_group,unknown,74,56,18,,False,True,L1_age=50-60
1,L1_age=50-60|L2_job=white_collar,L1_age=50-60,2,L2_job,categorical_group,white_collar,2715,581,231,,False,True,L1_age=50-60
1,L1_age=<=30|L2_job=blue_collar,L1_age=<=30,2,L2_job,categorical_group,blue_collar,1860,394,182,,False,True,ROOT
1,L1_age=<=30|L2_job=no_income,L1_age=<=30,2,L2_job,categorical_group,no_income,786,165,103,,False,False,L1_age=<=30|L2_job=no_income
1,L1_age=<=30|L2_job=self_emp,L1_age=<=30,2,L2_job,categorical_group,self_emp,305,65,48,,False,False,L1_age=<=30|L2_job=self_emp
