bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_age=30-40,0.4,0.2,bucket_wise,L1_age=30-40,False
L1_age=40-50,0.3,0.1,bucket_wise,L1_age=40-50,False
L1_age=50-60,0.2,0.1,bucket_wise,L1_age=50-60,False
L1_age=<=30,0.4,0.2,bucket_wise,L1_age=<=30,False
L1_age=>60,0.2,0.1,bucket_wise,L1_age=>60,False
L1_age=30-40|L2_job=blue_collar,0.6,0.2,bucket_wise,L1_age=30-40|L2_job=blue_collar,False
L1_age=30-40|L2_job=no_income,0.4,0.2,bucket_wise,L1_age=30-40|L2_job=no_income,False
L1_age=30-40|L2_job=retired,0.5,0.4,bucket_wise,L1_age=30-40|L2_job=retired,False
L1_age=30-40|L2_job=self_emp,0.3,0.1,bucket_wise,L1_age=30-40|L2_job=self_emp,False
L1_age=30-40|L2_job=unknown,0.4,0.2,bucket_wise,L1_age=30-40|L2_job=unknown,False
L1_age=30-40|L2_job=white_collar,0.4,0.2,bucket_wise,L1_age=30-40|L2_job=white_collar,False
L1_age=40-50|L2_job=blue_collar,0.6,0.2,bucket_wise,L1_age=40-50|L2_job=blue_collar,False
L1_age=40-50|L2_job=no_income,0.3,0.1,bucket_wise,L1_age=40-50|L2_job=no_income,False
L1_age=40-50|L2_job=retired,0.4,0.1,bucket_wise,L1_age=40-50|L2_job=retired,False
L1_age=40-50|L2_job=self_emp,0.4,0.3,bucket_wise,L1_age=40-50|L2_job=self_emp,False
L1_age=40-50|L2_job=unknown,0.9,0.8,bucket_wise,L1_age=40-50|L2_job=unknown,False
L1_age=40-50|L2_job=white_collar,0.4,0.2,bucket_wise,L1_age=40-50|L2_job=white_collar,False
L1_age=50-60|L2_job=blue_collar,0.2,0.1,bucket_wise,L1_age=50-60|L2_job=blue_collar,False
L1_age=50-60|L2_job=no_income,0.3,0.1,bucket_wise,L1_age=50-60|L2_job=no_income,False
L1_age=50-60|L2_job=retired,0.3,0.1,bucket_wise,L1_age=50-60|L2_job=retired,False
L1_age=50-60|L2_job=self_emp,0.2,0.1,bucket_wise,L1_age=50-60|L2_job=self_emp,False
L1_age=50-60|L2_job=unknown,0.2,0.1,bucket_wise,L1_age=50-60|L2_job=unknown,False
L1_age=50-60|L2_job=white_collar,0.3,0.1,bucket_wise,L1_age=50-60|L2_job=white_collar,False
L1_age=<=30|L2_job=blue_collar,0.3,0.1,bucket_wise,L1_age=<=30|L2_job=blue_collar,False
L1_age=<=30|L2_job=no_income,0.3,0.1,bucket_wise,L1_age=<=30|L2_job=no_income,False
L1_age=<=30|L2_job=self_emp,0.2,0.1,bucket_wise,L1_age=<=30|L2_job=self_emp,False
L1_age=<=30|L2_job=white_collar,0.4,0.2,bucket_wise,L1_age=<=30|L2_job=white_collar,False
L1_age=<=30|L2_job=others,0.5,0.3,bucket_wise,L1_age=<=30|L2_job=others,False
L1_age=>60|L2_job=blue_collar,0.1,0.0,bucket_wise,L1_age=>60|L2_job=blue_collar,False
L1_age=>60|L2_job=retired,0.5,0.3,bucket_wise,L1_age=>60|L2_job=retired,False
L1_age=>60|L2_job=self_emp,0.3,0.1,bucket_wise,L1_age=>60|L2_job=self_emp,False
L1_age=>60|L2_job=white_collar,0.4,0.1,bucket_wise,L1_age=>60|L2_job=white_collar,False
L1_age=>60|L2_job=others,0.6,0.4,bucket_wise,L1_age=>60|L2_job=others,False
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,0.4,0.2,bucket_wise,L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,False
L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,0.3,0.1,bucket_wise,L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,False
L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,0.6,0.1,bucket_wise,L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,False
L1_age=30-40|L2_job=no_income|L3_contact=cellular,0.4,0.1,bucket_wise,L1_age=30-40|L2_job=no_income|L3_contact=cellular,False
L1_age=30-40|L2_job=no_income|L3_contact=telephone,0.4,0.2,bucket_wise,L1_age=30-40|L2_job=no_income|L3_contact=telephone,False
L1_age=30-40|L2_job=no_income|L3_contact=unknown,0.4,0.3,bucket_wise,L1_age=30-40|L2_job=no_income|L3_contact=unknown,False
L1_age=30-40|L2_job=self_emp|L3_contact=cellular,0.3,0.1,bucket_wise,L1_age=30-40|L2_job=self_emp|L3_contact=cellular,False
L1_age=30-40|L2_job=self_emp|L3_contact=telephone,0.4,0.1,bucket_wise,L1_age=30-40|L2_job=self_emp|L3_contact=telephone,False
L1_age=30-40|L2_job=self_emp|L3_contact=unknown,0.5,0.4,bucket_wise,L1_age=30-40|L2_job=self_emp|L3_contact=unknown,False
