bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,45211,9491,4066,,False,False,ROOT
L1_age=30-40,ROOT,1,L1_age,numeric_bin,30-40,17687,3725,1614,,False,False,L1_age=30-40
L1_age=40-50,ROOT,1,L1_age,numeric_bin,40-50,11239,2364,1043,,False,False,L1_age=40-50
L1_age=50-60,ROOT,1,L1_age,numeric_bin,50-60,8067,1664,766,,False,False,L1_age=50-60
L1_age=<=30,ROOT,1,L1_age,numeric_bin,<=30,7030,1510,611,,False,False,L1_age=<=30
L1_age=>60,ROOT,1,L1_age,numeric_bin,>60,1188,286,131,,False,False,L1_age=>60
L1_age=30-40|L2_job=blue_collar,L1_age=30-40,2,L2_job,categorical_group,blue_collar,6041,1269,541,,False,False,L1_age=30-40|L2_job=blue_collar
L1_age=30-40|L2_job=no_income,L1_age=30-40,2,L2_job,categorical_group,no_income,635,154,63,,False,False,L1_age=30-40|L2_job=no_income
L1_age=30-40|L2_job=retired,L1_age=30-40,2,L2_job,categorical_group,retired,36,27,9,,True,False,L1_age=30-40|L2_job=retired
L1_age=30-40|L2_job=self_emp,L1_age=30-40,2,L2_job,categorical_group,self_emp,1185,264,118,,False,False,L1_age=30-40|L2_job=self_emp
L1_age=30-40|L2_job=unknown,L1_age=30-40,2,L2_job,categorical_group,unknown,51,33,18,,True,False,L1_age=30-40|L2_job=unknown
L1_age=30-40|L2_job=white_collar,L1_age=30-40,2,L2_job,categorical_group,white_collar,9739,2038,880,,False,False,L1_age=30-40|L2_job=white_collar
L1_age=40-50|L2_job=blue_collar,L1_age=40-50,2,L2_job,categorical_group,blue_collar,4221,888,376,,False,False,L1_age=40-50|L2_job=blue_collar
L1_age=40-50|L2_job=no_income,L1_age=40-50,2,L2_job,categorical_group,no_income,359,92,51,,False,False,L1_age=40-50|L2_job=no_income
L1_age=40-50|L2_job=retired,L1_age=40-50,2,L2_job,categorical_group,retired,112,30,28,,False,False,L1_age=40-50|L2_job=retired
L1_age=40-50|L2_job=self_emp,L1_age=40-50,2,L2_job,categorical_group,self_emp,873,177,99,,False,False,L1_age=40-50|L2_job=self_emp
L1_age=40-50|L2_job=unknown,L1_age=40-50,2,L2_job,categorical_group,unknown,103,50,29,,False,False,L1_age=40-50|L2_job=unknown
L1_age=40-50|L2_job=white_collar,L1_age=40-50,2,L2_job,categorical_group,white_collar,5571,1170,497,,False,False,L1_age=40-50|L2_job=white_collar
L1_age=50-60|L2_job=blue_collar,L1_age=50-60,2,L2_job,categorical_group,blue_collar,2453,509,224,,False,False,L1_age=50-60|L2_job=blue_collar
L1_age=50-60|L2_job=no_income,L1_age=50-60,2,L2_job,categorical_group,no_income,265,69,42,,False,False,L1_age=50-60|L2_job=no_income
L1_age=50-60|L2_job=retired,L1_age=50-60,2,L2_job,categorical_group,retired,1237,253,134,,False,False,L1_age=50-60|L2_job=retired
L1_age=50-60|L2_job=self_emp,L1_age=50-60,2,L2_job,categorical_group,self_emp,588,121,66,,False,False,L1_age=50-60|L2_job=self_emp
L1_age=50-60|L2_job=unknown,L1_age=50-60,2,L2_job,categorical_group,unknown,93,48,22,,False,False,L1_age=50-60|L2_job=unknown
L1_age=50-60|L2_job=white_collar,L1_age=50-60,2,L2_job,categorical_group,white_collar,3431,700,326,,False,False,L1_age=50-60|L2_job=white_collar
L1_age=<=30|L2_job=blue_collar,L1_age=<=30,2,L2_job,categorical_group,blue_collar,2327,502,214,,False,False,L1_age=<=30|L2_job=blue_collar
L1_age=<=30|L2_job=no_income,L1_age=<=30,2,L2_job,categorical_group,no_income,972,208,80,,False,False,L1_age=<=30|L2_job=no_income
L1_age=<=30|L2_job=self_emp,L1_age=<=30,2,L2_job,categorical_group,self_emp,383,83,57,,False,False,L1_age=<=30|L2_job=self_emp
L1_age=<=30|L2_job=white_collar,L1_age=<=30,2,L2_job,categorical_group,white_collar,3325,701,295,,False,False,L1_age=<=30|L2_job=white_collar
L1_age=<=30|L2_job=others,L1_age=<=30,2,L2_job,categorical_group,others,23,18,5,,True,False,L1_age=<=30|L2_job=others
L1_age=>60|L2_job=blue_collar,L1_age=>60,2,L2_job,categorical_group,blue_collar,84,36,20,,False,False,L1_age=>60|L2_job=blue_collar
L1_age=>60|L2_job=retired,L1_age=>60,2,L2_job,categorical_group,retired,875,193,75,,False,False,L1_age=>60|L2_job=retired
L1_age=>60|L2_job=self_emp,L1_age=>60,2,L2_job,categorical_group,self_emp,37,29,8,,True,False,L1_age=>60|L2_job=self_emp
L1_age=>60|L2_job=white_collar,L1_age=>60,2,L2_job,categorical_group,white_collar,160,45,49,,False,False,L1_age=>60|L2_job=white_collar
L1_age=>60|L2_job=others,L1_age=>60,2,L2_job,categorical_group,others,32,18,14,,True,False,L1_age=>60|L2_job=others
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,L1_age=30-40|L2_job=blue_collar,3,L3_contact,categorical_group,cellular,3380,2386,994,,True,False,L1_age=30-40|L2_job=blue_collar|L3_contact=cellular
L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,L1_age=30-40|L2_job=blue_collar,3,L3_contact,categorical_group,telephone,262,187,75,,True,False,L1_age=30-40|L2_job=blue_collar|L3_contact=telephone
L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,L1_age=30-40|L2_job=blue_collar,3,L3_contact,categorical_group,unknown,2399,1660,739,,True,False,L1_age=30-40|L2_job=blue_collar|L3_contact=unknown
L1_age=30-40|L2_job=no_income|L3_contact=cellular,L1_age=30-40|L2_job=no_income,3,L3_contact,categorical_group,cellular,432,298,134,,True,False,L1_age=30-40|L2_job=no_income|L3_contact=cellular
L1_age=30-40|L2_job=no_income|L3_contact=telephone,L1_age=30-40|L2_job=no_income,3,L3_contact,categorical_group,telephone,40,29,11,,True,False,L1_age=30-40|L2_job=no_income|L3_contact=telephone
L1_age=30-40|L2_job=no_income|L3_contact=unknown,L1_age=30-40|L2_job=no_income,3,L3_contact,categorical_group,unknown,163,120,43,,True,False,L1_age=30-40|L2_job=no_income|L3_contact=unknown
L1_age=30-40|L2_job=self_emp|L3_contact=cellular,L1_age=30-40|L2_job=self_emp,3,L3_contact,categorical_group,cellular,835,576,259,,True,False,L1_age=30-40|L2_job=self_emp|L3_contact=cellular
L1_age=30-40|L2_job=self_emp|L3_contact=telephone,L1_age=30-40|L2_job=self_emp,3,L3_contact,categorical_group,telephone,40,26,14,,True,False,L1_age=30-40|L2_job=self_emp|L3_contact=telephone
L1_age=30-40|L2_job=self_emp|L3_contact=unknown,L1_age=30-40|L2_job=self_emp,3,L3_contact,categorical_group,unknown,310,220,90,,True,False,L1_age=30-40|L2_job=self_emp|L3_contact=unknown
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,L1_age=30-40|L2_job=white_collar,3,L3_contact,categorical_group,cellular,7237,5065,2172,,True,False,L1_age=30-40|L2_job=white_collar|L3_contact=cellular
L1_age=30-40|L2_job=white_collar|L3_contact=telephone,L1_age=30-40|L2_job=white_collar,3,L3_contact,categorical_group,telephone,295,213,82,,True,False,L1_age=30-40|L2_job=white_collar|L3_contact=telephone
L1_age=30-40|L2_job=white_collar|L3_contact=unknown,L1_age=30-40|L2_job=white_collar,3,L3_contact,categorical_group,unknown,2207,1523,684,,True,False,L1_age=30-40|L2_job=white_collar|L3_contact=unknown
L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,L1_age=40-50|L2_job=blue_collar,3,L3_contact,categorical_group,cellular,2319,1629,690,,True,False,L1_age=40-50|L2_job=blue_collar|L3_contact=cellular
L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,L1_age=40-50|L2_job=blue_collar,3,L3_contact,categorical_group,telephone,314,208,106,,True,False,L1_age=40-50|L2_job=blue_collar|L3_contact=telephone
L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,L1_age=40-50|L2_job=blue_collar,3,L3_contact,categorical_group,unknown,1588,1128,460,,True,False,L1_age=40-50|L2_job=blue_collar|L3_contact=unknown
L1_age=40-50|L2_job=no_income|L3_contact=cellular,L1_age=40-50|L2_job=no_income,3,L3_contact,categorical_group,cellular,238,167,71,,True,False,L1_age=40-50|L2_job=no_income|L3_contact=cellular
L1_age=40-50|L2_job=no_income|L3_contact=telephone,L1_age=40-50|L2_job=no_income,3,L3_contact,categorical_group,telephone,32,21,11,,True,False,L1_age=40-50|L2_job=no_income|L3_contact=telephone
L1_age=40-50|L2_job=no_income|L3_contact=unknown,L1_age=40-50|L2_job=no_income,3,L3_contact,categorical_group,unknown,89,70,19,,True,False,L1_age=40-50|L2_job=no_income|L3_contact=unknown
L1_age=40-50|L2_job=retired|L3_contact=cellular,L1_age=40-50|L2_job=retired,3,L3_contact,categorical_group,cellular,46,37,9,,True,False,L1_age=40-50|L2_job=retired|L3_contact=cellular
L1_age=40-50|L2_job=retired|L3_contact=unknown,L1_age=40-50|L2_job=retired,3,L3_contact,categorical_group,unknown,57,40,17,,True,False,L1_age=40-50|L2_job=retired|L3_contact=unknown
L1_age=40-50|L2_job=retired|L3_contact=others,L1_age=40-50|L2_job=retired,3,L3_contact,categorical_group,others,9,7,2,,True,False,L1_age=40-50|L2_job=retired|L3_contact=others
L1_age=40-50|L2_job=self_emp|L3_contact=cellular,L1_age=40-50|L2_job=self_emp,3,L3_contact,categorical_group,cellular,554,389,165,,True,False,L1_age=40-50|L2_job=self_emp|L3_contact=cellular
L1_age=40-50|L2_job=self_emp|L3_contact=telephone,L1_age=40-50|L2_job=self_emp,3,L3_contact,categorical_group,telephone,64,39,25,,True,False,L1_age=40-50|L2_job=self_emp|L3_contact=telephone
L1_age=40-50|L2_job=self_emp|L3_contact=unknown,L1_age=40-50|L2_job=self_emp,3,L3_contact,categorical_group,unknown,255,169,86,,True,False,L1_age=40-50|L2_job=self_emp|L3_contact=unknown
L1_age=40-50|L2_job=unknown|L3_contact=cellular,L1_age=40-50|L2_job=unknown,3,L3_contact,categorical_group,cellular,48,34,14,,True,False,L1_age=40-50|L2_job=unknown|L3_contact=cellular
L1_age=40-50|L2_job=unknown|L3_contact=unknown,L1_age=40-50|L2_job=unknown,3,L3_contact,categorical_group,unknown,43,29,14,,True,False,L1_age=40-50|L2_job=unknown|L3_contact=unknown
L1_age=40-50|L2_job=unknown|L3_contact=others,L1_age=40-50|L2_job=unknown,3,L3_contact,categorical_group,others,12,11,1,,True,False,L1_age=40-50|L2_job=unknown|L3_contact=others
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,L1_age=40-50|L2_job=white_collar,3,L3_contact,categorical_group,cellular,3747,2636,1111,,True,False,L1_age=40-50|L2_job=white_collar|L3_contact=cellular
L1_age=40-50|L2_job=white_collar|L3_contact=telephone,L1_age=40-50|L2_job=white_collar,3,L3_contact,categorical_group,telephone,315,216,99,,True,False,L1_age=40-50|L2_job=white_collar|L3_contact=telephone
L1_age=40-50|L2_job=white_collar|L3_contact=unknown,L1_age=40-50|L2_job=white_collar,3,L3_contact,categorical_group,unknown,1509,1056,453,,True,False,L1_age=40-50|L2_job=white_collar|L3_contact=unknown
L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,L1_age=50-60|L2_job=blue_collar,3,L3_contact,categorical_group,cellular,1316,897,419,,True,False,L1_age=50-60|L2_job=blue_collar|L3_contact=cellular
L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,L1_age=50-60|L2_job=blue_collar,3,L3_contact,categorical_group,telephone,289,210,79,,True,False,L1_age=50-60|L2_job=blue_collar|L3_contact=telephone
L1_age=50-60|L2_job=blue_collar|L3_contact=unknown,L1_age=50-60|L2_job=blue_collar,3,L3_contact,categorical_group,unknown,848,593,255,,True,False,L1_age=50-60|L2_job=blue_collar|L3_contact=unknown
L1_age=50-60|L2_job=no_income|L3_contact=cellular,L1_age=50-60|L2_job=no_income,3,L3_contact,categorical_group,cellular,179,127,52,,True,False,L1_age=50-60|L2_job=no_income|L3_contact=cellular
L1_age=50-60|L2_job=no_income|L3_contact=unknown,L1_age=50-60|L2_job=no_income,3,L3_contact,categorical_group,unknown,58,39,19,,True,False,L1_age=50-60|L2_job=no_income|L3_contact=unknown
L1_age=50-60|L2_job=no_income|L3_contact=others,L1_age=50-60|L2_job=no_income,3,L3_contact,categorical_group,others,28,20,8,,True,False,L1_age=50-60|L2_job=no_income|L3_contact=others
L1_age=50-60|L2_job=retired|L3_contact=cellular,L1_age=50-60|L2_job=retired,3,L3_contact,categorical_group,cellular,722,493,229,,True,False,L1_age=50-60|L2_job=retired|L3_contact=cellular
L1_age=50-60|L2_job=retired|L3_contact=telephone,L1_age=50-60|L2_job=retired,3,L3_contact,categorical_group,telephone,114,86,28,,True,False,L1_age=50-60|L2_job=retired|L3_contact=telephone
L1_age=50-60|L2_job=retired|L3_contact=unknown,L1_age=50-60|L2_job=retired,3,L3_contact,categorical_group,unknown,401,273,128,,True,False,L1_age=50-60|L2_job=retired|L3_contact=unknown
L1_age=50-60|L2_job=self_emp|L3_contact=cellular,L1_age=50-60|L2_job=self_emp,3,L3_contact,categorical_group,cellular,345,245,100,,True,False,L1_age=50-60|L2_job=self_emp|L3_contact=cellular
L1_age=50-60|L2_job=self_emp|L3_contact=telephone,L1_age=50-60|L2_job=self_emp,3,L3_contact,categorical_group,telephone,58,41,17,,True,False,L1_age=50-60|L2_job=self_emp|L3_contact=telephone
L1_age=50-60|L2_job=self_emp|L3_contact=unknown,L1_age=50-60|L2_job=self_emp,3,L3_contact,categorical_group,unknown,185,121,64,,True,False,L1_age=50-60|L2_job=self_emp|L3_contact=unknown
L1_age=50-60|L2_job=unknown|L3_contact=cellular,L1_age=50-60|L2_job=unknown,3,L3_contact,categorical_group,cellular,36,30,6,,True,False,L1_age=50-60|L2_job=unknown|L3_contact=cellular
L1_age=50-60|L2_job=unknown|L3_contact=unknown,L1_age=50-60|L2_job=unknown,3,L3_contact,categorical_group,unknown,43,32,11,,True,False,L1_age=50-60|L2_job=unknown|L3_contact=unknown
L1_age=50-60|L2_job=unknown|L3_contact=others,L1_age=50-60|L2_job=unknown,3,L3_contact,categorical_group,others,14,9,5,,True,False,L1_age=50-60|L2_job=unknown|L3_contact=others
L1_age=50-60|L2_job=white_collar|L3_contact=cellular,L1_age=50-60|L2_job=white_collar,3,L3_contact,categorical_group,cellular,2207,1491,716,,True,False,L1_age=50-60|L2_job=white_collar|L3_contact=cellular
L1_age=50-60|L2_job=white_collar|L3_contact=telephone,L1_age=50-60|L2_job=white_collar,3,L3_contact,categorical_group,telephone,345,242,103,,True,False,L1_age=50-60|L2_job=white_collar|L3_contact=telephone
L1_age=50-60|L2_job=white_collar|L3_contact=unknown,L1_age=50-60|L2_job=white_collar,3,L3_contact,categorical_group,unknown,879,605,274,,True,False,L1_age=50-60|L2_job=white_collar|L3_contact=unknown
L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,L1_age=<=30|L2_job=blue_collar,3,L3_contact,categorical_group,cellular,1336,948,388,,True,False,L1_age=<=30|L2_job=blue_collar|L3_contact=cellular
L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,L1_age=<=30|L2_job=blue_collar,3,L3_contact,categorical_group,telephone,96,68,28,,True,False,L1_age=<=30|L2_job=blue_collar|L3_contact=telephone
L1_age=<=30|L2_job=blue_collar|L3_contact=unknown,L1_age=<=30|L2_job=blue_collar,3,L3_contact,categorical_group,unknown,895,660,235,,True,False,L1_age=<=30|L2_job=blue_collar|L3_contact=unknown
L1_age=<=30|L2_job=no_income|L3_contact=cellular,L1_age=<=30|L2_job=no_income,3,L3_contact,categorical_group,cellular,733,535,198,,True,False,L1_age=<=30|L2_job=no_income|L3_contact=cellular
L1_age=<=30|L2_job=no_income|L3_contact=telephone,L1_age=<=30|L2_job=no_income,3,L3_contact,categorical_group,telephone,95,62,33,,True,False,L1_age=<=30|L2_job=no_income|L3_contact=telephone
L1_age=<=30|L2_job=no_income|L3_contact=unknown,L1_age=<=30|L2_job=no_income,3,L3_contact,categorical_group,unknown,144,102,42,,True,False,L1_age=<=30|L2_job=no_income|L3_contact=unknown
L1_age=<=30|L2_job=self_emp|L3_contact=cellular,L1_age=<=30|L2_job=self_emp,3,L3_contact,categorical_group,cellular,283,197,86,,True,False,L1_age=<=30|L2_job=self_emp|L3_contact=cellular
L1_age=<=30|L2_job=self_emp|L3_contact=unknown,L1_age=<=30|L2_job=self_emp,3,L3_contact,categorical_group,unknown,92,62,30,,True,False,L1_age=<=30|L2_job=self_emp|L3_contact=unknown
L1_age=<=30|L2_job=self_emp|L3_contact=others,L1_age=<=30|L2_job=self_emp,3,L3_contact,categorical_group,others,8,6,2,,True,False,L1_age=<=30|L2_job=self_emp|L3_contact=others
L1_age=<=30|L2_job=white_collar|L3_contact=cellular,L1_age=<=30|L2_job=white_collar,3,L3_contact,categorical_group,cellular,2434,1724,710,,True,False,L1_age=<=30|L2_job=white_collar|L3_contact=cellular
L1_age=<=30|L2_job=white_collar|L3_contact=telephone,L1_age=<=30|L2_job=white_collar,3,L3_contact,categorical_group,telephone,97,66,31,,True,False,L1_age=<=30|L2_job=white_collar|L3_contact=telephone
L1_age=<=30|L2_job=white_collar|L3_contact=unknown,L1_age=<=30|L2_job=white_collar,3,L3_contact,categorical_group,unknown,794,550,244,,True,False,L1_age=<=30|L2_job=white_collar|L3_contact=unknown
L1_age=>60|L2_job=blue_collar|L3_contact=cellular,L1_age=>60|L2_job=blue_collar,3,L3_contact,categorical_group,cellular,51,40,11,,True,False,L1_age=>60|L2_job=blue_collar|L3_contact=cellular
L1_age=>60|L2_job=blue_collar|L3_contact=others,L1_age=>60|L2_job=blue_collar,3,L3_contact,categorical_group,others,33,24,9,,True,False,L1_age=>60|L2_job=blue_collar|L3_contact=others
L1_age=>60|L2_job=retired|L3_contact=cellular,L1_age=>60|L2_job=retired,3,L3_contact,categorical_group,cellular,583,415,168,,True,False,L1_age=>60|L2_job=retired|L3_contact=cellular
L1_age=>60|L2_job=retired|L3_contact=telephone,L1_age=>60|L2_job=retired,3,L3_contact,categorical_group,telephone,281,199,82,,True,False,L1_age=>60|L2_job=retired|L3_contact=telephone
L1_age=>60|L2_job=retired|L3_contact=others,L1_age=>60|L2_job=retired,3,L3_contact,categorical_group,others,11,10,1,,True,False,L1_age=>60|L2_job=retired|L3_contact=others
L1_age=>60|L2_job=white_collar|L3_contact=cellular,L1_age=>60|L2_job=white_collar,3,L3_contact,categorical_group,cellular,131,93,38,,True,False,L1_age=>60|L2_job=white_collar|L3_contact=cellular
L1_age=>60|L2_job=white_collar|L3_contact=others,L1_age=>60|L2_job=white_collar,3,L3_contact,categorical_group,others,29,18,11,,True,False,L1_age=>60|L2_job=white_collar|L3_contact=others
