fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.5544554455445545,0.7410207939508506,0.6343042071197411,0.8310614301626513,0.935961804565034,0.5859497380149818,0.5777937630459897,0.07298462899480261,0.1464115890744222,0.11503372774521729
2,BTTWD,0.5421166306695464,0.7123935666982024,0.615699100572363,0.8163721120904913,0.9339051639515673,0.5638144002331786,0.5568660609854255,0.08250387082503871,0.1344835213448352,0.11938730369387304
3,BTTWD,0.5351724137931034,0.7334593572778828,0.6188197767145136,0.824520259801266,0.929536885680624,0.5685423336889359,0.5591773140846186,0.0718867507188675,0.14908206149082062,0.12099093120990931
4,BTTWD,0.5579761068165847,0.7504725897920604,0.6400644901249496,0.8358450123309,0.9370887332320595,0.5928851323232988,0.5842626767995731,0.07465162574651625,0.15682371156823713,0.11300044238000442
5,BTTWD,0.5506829618979152,0.724007561436673,0.625561453654553,0.8228629991552103,0.9275273727985271,0.5752792431711361,0.5681616032747477,0.07398805573988056,0.15206812652068127,0.1192490599424906
1,LogReg,0.6292428198433421,0.4555765595463138,0.5285087719298246,0.7100049360035889,0.9108341135848999,0.48482938037417744,0.4771277599953099,0.0,,0.15094548269379632
2,LogReg,0.6161202185792349,0.4266792809839167,0.5041922861934041,0.6957441489453084,0.908839480838303,0.4611451935560167,0.45174489308338606,0.0,,0.15734903782349038
3,LogReg,0.6137566137566137,0.43856332703213613,0.5115766262403528,0.7009950903697755,0.90072370639199,0.46680465760594736,0.45879301944564477,0.0,,0.15560716655607165
4,LogReg,0.656671664167916,0.41398865784499056,0.5078260869565218,0.6926531465577658,0.9121181872251118,0.47380962141308,0.45885973558019344,0.0,,0.15613249281132494
5,LogReg,0.6030534351145038,0.44801512287334594,0.5140997830802603,0.7044684832803604,0.9006436786616712,0.46656628643750525,0.46026081339498714,0.0,,0.15505419155054193
1,RandomForest,0.6182692307692308,0.6077504725897921,0.6129647283126788,0.7790161254620845,0.9354293198613183,0.5622073451214176,0.5621808662681272,0.0,,0.12470972022558885
2,RandomForest,0.5858987090367428,0.5581835383159887,0.5717054263565892,0.7529803101723963,0.9315281905701858,0.5167541754116822,0.5165609545001206,0.0,,0.13788431762884318
3,RandomForest,0.6001936108422071,0.5860113421550095,0.5930176948828311,0.7671414426205909,0.9296560985865873,0.5398648512759109,0.5398155157522333,0.0,,0.1311380225613802
4,RandomForest,0.618905472636816,0.5879017013232514,0.6030053320407175,0.7699653797197419,0.9323018674399839,0.5521551821925217,0.5519230092019962,0.0,,0.12820725503207256
5,RandomForest,0.5829338446788112,0.5746691871455577,0.5787720133269872,0.760092609604843,0.9276790229797971,0.5234209521875044,0.5234038746525216,0.0,,0.1356171201061712
1,KNN,0.5753715498938429,0.5122873345935728,0.542,0.7310967042410569,0.8850627890432556,0.4863056038996588,0.48527135983408154,0.0,,0.14729625124405618
2,KNN,0.5563598759048604,0.5089877010406811,0.5316205533596837,0.7276309826430707,0.8759175938328073,0.47331669156373823,0.4727233023534195,0.0,,0.15038155275381554
3,KNN,0.5465465465465466,0.5160680529300568,0.5308701993193972,0.7296647879880744,0.8747602127695845,0.4709618511390429,0.4707151917047152,0.0,,0.15082393275823933
4,KNN,0.5772972972972973,0.504725897920605,0.5385779122541604,0.7278764760144107,0.8796454558455284,0.4834081287462796,0.4820361077133606,0.0,,0.14833554523335546
5,KNN,0.5466804979253111,0.498109640831758,0.5212660731948565,0.7216875859469412,0.8700122361926121,0.4617788379019832,0.4611462097752276,0.0,,0.15369940278699404
1,XGBoost,0.6196911196911197,0.6068052930056711,0.6131805157593123,0.778731387892942,0.9384305165758576,0.5625762257274318,0.5625365133715237,0.0,,0.12468207453278779
2,XGBoost,0.598825831702544,0.5789971617786187,0.5887445887445888,0.7638254437571866,0.9354842837415708,0.5354377596082185,0.5353408892155879,0.0,,0.13243751382437513
3,XGBoost,0.6035283194057567,0.6143667296786389,0.6088992974238876,0.7804423828753916,0.9330598815779005,0.556577954702982,0.5565496191706932,0.0,,0.1256635700066357
4,XGBoost,0.6176470588235294,0.6153119092627599,0.6164772727272728,0.7824179786794762,0.93861352193991,0.5657650304257951,0.5657637296311492,0.0,,0.1234516699845167
5,XGBoost,0.5922150139017609,0.6039697542533081,0.5980346279831539,0.7744297669062132,0.9306063686920154,0.5442083865158047,0.5441745957502498,0.0,,0.1291749612917496
