bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,3,3380,3380,0,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=cellular
L1_age=30-40|L2_job=blue_collar|L3_contact=telephone,3,262,262,0,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=telephone
L1_age=30-40|L2_job=blue_collar|L3_contact=unknown,3,2399,2399,0,0,L1_age=30-40|L2_job=blue_collar,False,L1_age=30-40|L2_job=blue_collar|L3_contact=unknown
L1_age=30-40|L2_job=no_income|L3_contact=cellular,3,432,432,0,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=cellular
L1_age=30-40|L2_job=no_income|L3_contact=telephone,3,40,40,0,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=telephone
L1_age=30-40|L2_job=no_income|L3_contact=unknown,3,163,163,0,0,L1_age=30-40|L2_job=no_income,False,L1_age=30-40|L2_job=no_income|L3_contact=unknown
L1_age=30-40|L2_job=retired,2,36,36,0,0,L1_age=30-40,False,L1_age=30-40|L2_job=retired
L1_age=30-40|L2_job=self_emp|L3_contact=cellular,3,835,835,0,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=cellular
L1_age=30-40|L2_job=self_emp|L3_contact=telephone,3,40,40,0,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=telephone
L1_age=30-40|L2_job=self_emp|L3_contact=unknown,3,310,310,0,0,L1_age=30-40|L2_job=self_emp,False,L1_age=30-40|L2_job=self_emp|L3_contact=unknown
L1_age=30-40|L2_job=unknown,2,51,51,0,0,L1_age=30-40,False,L1_age=30-40|L2_job=unknown
