bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,3645,1561,0.23840877914951988,0.21332479180012812,0.4,0.3,0.13068545803971812,0.7231638418079096,0.6826666666666666,0.7687687687687688,0.04676489429852659,0.24023062139654067,False,1561,26048,0.24078624078624078,,,,,,,1,0.24078624078624078
L1_age=old,L1,ROOT,1256,591,0.35270700636942676,0.3333333333333333,0.4,0.2,0.17597292724196278,0.7476190476190477,0.7040358744394619,0.7969543147208121,0.1319796954314721,0.377326565143824,False,591,8963,0.3614861095615307,,,,,,,1,0.3614861095615307
L1_age=mid,L1,ROOT,953,448,0.19727177334732424,0.140625,0.45,0.2,0.11662946428571429,0.6153846153846153,0.6666666666666666,0.5714285714285714,0.11830357142857142,0.12053571428571429,False,448,6816,0.18603286384976525,,,,,,,1,0.18603286384976525
L1_age=very_old,L1,ROOT,717,308,0.3389121338912134,0.3246753246753247,0.5,0.3,0.19155844155844157,0.7204301075268817,0.7790697674418605,0.67,0.12012987012987013,0.2792207792207792,False,308,5142,0.32555425904317387,,,,,,,1,0.32555425904317387
L1_age=young,L1,ROOT,795,355,0.022641509433962263,0.011267605633802818,0.45,0.4,0.004225352112676056,0.8571428571428571,1.0,0.75,0.0,0.008450704225352112,False,355,5127,0.017554125219426564,,,,,,,1,0.017554125219426564
L1_age=old|L2_education=high,L2,L1_age=old,597,256,0.3969849246231156,0.453125,0.35,0.25,0.1474609375,0.8207171314741036,0.762962962962963,0.8879310344827587,0.06640625,0.52734375,False,256,4272,0.412687265917603,,,,,,,1,0.412687265917603
L1_age=mid|L2_education=high,L2,L1_age=mid,482,196,0.23236514522821577,0.24489795918367346,0.5,0.15,0.16454081632653061,0.6666666666666666,0.8181818181818182,0.5625,0.25,0.1683673469387755,False,196,3406,0.23752201996476804,,,,,,,1,0.23752201996476804
L1_age=old|L2_education=mid,L2,L1_age=old,468,197,0.21581196581196582,0.20812182741116753,0.4,0.25,0.17639593908629442,0.6,0.6153846153846154,0.5853658536585366,0.16243654822335024,0.19796954314720813,False,197,3335,0.21319340329835082,,,,,,,1,0.21319340329835082
L1_age=mid|L2_education=mid,L2,L1_age=mid,384,175,0.0859375,0.12,0.55,0.2,0.13142857142857142,0.32,1.0,0.19047619047619047,0.10285714285714286,0.022857142857142857,False,175,2809,0.09433962264150944,,,,,,,1,0.09433962264150944
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=high,1816,770,0.38215859030837,0.37272727272727274,0.45,0.2,0.19383116883116883,0.7491961414790997,0.6955223880597015,0.8118466898954704,0.17012987012987013,0.43506493506493504,False,770,2586,0.37935034802784223,,625.0,0.3824,0.0,0.4144,0.1904,1,0.37935034802784223
L1_age=young|L2_education=high,L2,L1_age=young,359,200,0.027855153203342618,0.025,0.65,0.25,0.0125,0.7499999999999999,1.0,0.6,0.03,0.015,False,200,2552,0.02390282131661442,,,,,,,1,0.02390282131661442
L1_age=young|L2_education=mid,L2,L1_age=young,336,199,0.01488095238095238,0.020100502512562814,0.45,0.4,0.01507537688442211,0.6666666666666666,1.0,0.5,0.0,0.010050251256281407,False,199,2416,0.009519867549668874,,,,,,,1,0.009519867549668874
L1_age=very_old|L2_education=mid,L2,L1_age=very_old,314,138,0.17197452229299362,0.2246376811594203,0.5,0.3,0.17753623188405798,0.6399999999999999,0.8421052631578947,0.5161290322580645,0.10869565217391304,0.13768115942028986,False,138,2270,0.20748898678414096,,,,,,,1,0.20748898678414096
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=mid,1512,667,0.20171957671957672,0.22488755622188905,0.4,0.2,0.18515742128935533,0.5770750988142292,0.7087378640776699,0.4866666666666667,0.272863568215892,0.15442278860569716,False,667,2179,0.20881138136759983,,534.0,0.20411985018726592,0.0,0.14606741573033707,0.19850187265917604,1,0.20881138136759983
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=high,1497,599,0.20574482297929192,0.22036727879799667,0.35,0.25,0.164440734557596,0.6490566037735849,0.6466165413533834,0.6515151515151515,0.06844741235392321,0.22203672787979967,False,599,2096,0.2099236641221374,,488.0,0.19057377049180327,0.0,0.21106557377049182,0.13012295081967212,1,0.2099236641221374
L1_age=very_old|L2_education=high,L2,L1_age=very_old,264,108,0.4393939393939394,0.4537037037037037,0.6,0.3,0.1712962962962963,0.8297872340425533,0.8666666666666667,0.7959183673469388,0.14814814814814814,0.4166666666666667,False,108,1870,0.41818181818181815,,,,,,,1,0.41818181818181815
