bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,3645,1561,0.23840877914951988,0.21332479180012812,0.4,0.3,0.13068545803971812,0.7231638418079096,0.6826666666666666,0.7687687687687688,0.04676489429852659,0.24023062139654067,1561,False,,bac,0.8139446449707036,0.7767117151084739,0.0372329298622297,ROOT,False,1
L1_age=mid,L1,ROOT,953,448,0.19727177334732424,0.140625,0.4,0.3,0.11830357142857142,0.6115702479338844,0.6379310344827587,0.5873015873015873,0.109375,0.12946428571428573,448,True,,bac,0.720923520923521,0.8139446449707036,-0.09302112404718266,ROOT,True,1
L1_age=old,L1,ROOT,1256,591,0.35270700636942676,0.3333333333333333,0.4,0.3,0.17597292724196278,0.7476190476190477,0.7040358744394619,0.7969543147208121,0.1319796954314721,0.377326565143824,591,True,,bac,0.7474619289340101,0.8139446449707036,-0.06648271603669353,ROOT,True,1
L1_age=very_old,L1,ROOT,717,308,0.3389121338912134,0.3246753246753247,0.4,0.3,0.19155844155844157,0.7204301075268817,0.7790697674418605,0.67,0.12012987012987013,0.2792207792207792,308,True,,bac,0.7340384615384616,0.8139446449707036,-0.07990618343224198,ROOT,True,1
L1_age=young,L1,ROOT,795,355,0.022641509433962263,0.011267605633802818,0.5,0.4,0.004225352112676056,0.8571428571428571,1.0,0.75,0.0,0.008450704225352112,355,False,,bac,0.875,0.8139446449707036,0.061055355029296376,L1_age=young,False,1
L1_age=mid|L2_education=high,L2,L1_age=mid,482,196,0.23236514522821577,0.24489795918367346,0.5,0.2,0.16581632653061223,0.6666666666666666,0.8181818181818182,0.5625,0.17346938775510204,0.1683673469387755,196,False,,bac,0.6866554054054055,0.720923520923521,-0.03426811551811548,L1_age=mid|L2_education=high,False,1
L1_age=mid|L2_education=low,L2,L1_age=mid,116,50,0.02586206896551724,0.0,0.4,0.3,,,,,,,0,True,,bac,,0.720923520923521,,ROOT,True,1
L1_age=mid|L2_education=mid,L2,L1_age=mid,384,175,0.0859375,0.12,0.4,0.3,0.13142857142857142,0.32,1.0,0.19047619047619047,0.10285714285714286,0.022857142857142857,175,True,,bac,0.5595238095238095,0.720923520923521,-0.16139971139971143,ROOT,True,1
L1_age=mid|L2_education=top,L2,L1_age=mid,94,124,0.4148936170212766,0.3387096774193548,0.6,0.5,0.17943548387096775,0.7640449438202246,0.723404255319149,0.8095238095238095,0.08064516129032258,0.3790322580645161,124,False,,bac,0.7767131242740999,0.720923520923521,0.05578960335057892,L1_age=mid|L2_education=top,False,1
L1_age=old|L2_education=high,L2,L1_age=old,597,256,0.3969849246231156,0.453125,0.3,0.2,0.1474609375,0.8294573643410852,0.7535211267605634,0.9224137931034483,0.078125,0.5546875,256,False,,bac,0.7897783251231527,0.7474619289340101,0.042316396189142624,L1_age=old|L2_education=high,False,1
L1_age=old|L2_education=low,L2,L1_age=old,95,71,0.06315789473684211,0.08450704225352113,0.4,0.3,0.11619718309859155,0.25,0.5,0.16666666666666666,0.0,0.028169014084507043,71,True,,bac,0.5756410256410257,0.7474619289340101,-0.17182090329298438,ROOT,True,1
L1_age=old|L2_education=mid,L2,L1_age=old,468,197,0.21581196581196582,0.20812182741116753,0.4,0.3,0.17766497461928935,0.6,0.6153846153846154,0.5853658536585366,0.1065989847715736,0.19796954314720813,197,False,,bac,0.6997342088805503,0.7474619289340101,-0.04772772005345982,L1_age=old|L2_education=mid,False,1
L1_age=old|L2_education=top,L2,L1_age=old,204,93,0.6323529411764706,0.6774193548387096,0.4,0.3,0.07526881720430108,0.9393939393939393,0.8985507246376812,0.9841269841269841,0.010752688172043012,0.7419354838709677,93,False,,bac,0.8587301587301587,0.7474619289340101,0.11126822979614859,L1_age=old|L2_education=top,False,1
L1_age=very_old|L2_education=high,L2,L1_age=very_old,264,108,0.4393939393939394,0.4537037037037037,0.6,0.3,0.1712962962962963,0.8297872340425533,0.8666666666666667,0.7959183673469388,0.14814814814814814,0.4166666666666667,108,False,,bac,0.7538913870633,0.7340384615384616,0.019852925524838305,L1_age=very_old|L2_education=high,False,1
L1_age=very_old|L2_education=low,L2,L1_age=very_old,169,131,0.07100591715976332,0.08396946564885496,0.4,0.3,0.09732824427480916,0.39999999999999997,0.75,0.2727272727272727,0.0,0.030534351145038167,131,True,,bac,0.6321969696969697,0.7340384615384616,-0.10184149184149194,ROOT,True,1
L1_age=very_old|L2_education=mid,L2,L1_age=very_old,314,138,0.17197452229299362,0.2246376811594203,0.5,0.3,0.17753623188405798,0.6399999999999999,0.8421052631578947,0.5161290322580645,0.10869565217391304,0.13768115942028986,138,False,,bac,0.6926439553813687,0.7340384615384616,-0.04139450615709295,L1_age=very_old|L2_education=mid,False,1
L1_age=very_old|L2_education=top,L2,L1_age=very_old,148,178,0.5878378378378378,0.6348314606741573,0.4,0.3,0.20365168539325842,0.8454545454545455,0.8691588785046729,0.8230088495575221,0.21910112359550563,0.601123595505618,178,True,,bac,0.6115044247787611,0.7340384615384616,-0.12253403675970054,ROOT,True,1
L1_age=young|L2_education=high,L2,L1_age=young,359,200,0.027855153203342618,0.025,0.5,0.4,0.0125,0.7499999999999999,1.0,0.6,0.03,0.015,200,True,L1_age=young,bac,0.7897435897435897,0.875,-0.08525641025641029,L1_age=young,True,1
L1_age=young|L2_education=low,L2,L1_age=young,74,45,0.04054054054054054,0.0,0.5,0.4,,,,,,,0,True,L1_age=young,bac,,0.875,,L1_age=young,True,1
