dataset,metric,gain
Adult,BAC,-0.018037158280399757
Adult,BAC,0.05303831624392874
Adult,BAC,0.028773649108479682
Adult,BAC,0.008220370031141289
Adult,BAC,0.01118687881624103
Adult,BAC,-0.022201228153046704
Adult,BAC,0.5
Adult,BAC,0.0
Adult,BAC,-0.0017985611510791255
Adult,BAC,0.0
Adult,BAC,-0.00560443141088296
Adult,BAC,-0.012969924812030187
Adult,BAC,0.013937500000000047
Adult,BAC,0.0
Adult,BAC,0.009803921568627527
Adult,BAC,-0.020408163265306034
Adult,BAC,-0.045454545454545525
Adult,BAC,-0.06295399515738509
Adult,BAC,0.05720823798627006
Adult,BAC,0.05267857142857146
Adult,BAC,0.06647807637906644
Adult,BAC,0.0625
Adult,BAC,0.0
Adult,BAC,-0.04230769230769227
Adult,BAC,-0.05059523809523814
Adult,BAC,-0.009433962264150941
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.0185185185185186
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.07499999999999996
Adult,BAC,0.0
Adult,BAC,-0.03571428571428581
Adult,BAC,0.0004090537223888635
Adult,BAC,0.011293910108912453
Adult,BAC,0.027511961722487932
Adult,BAC,0.01189055574497111
Adult,BAC,0.03976835955516833
Adult,BAC,-0.02664355418592712
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.04635036496350353
Adult,BAC,0.0
Adult,BAC,0.004361054766734318
Adult,BAC,0.010967425110492757
Adult,BAC,0.0703703703703703
Adult,BAC,-0.003676470588235281
Adult,BAC,-0.008225616921268997
Adult,BAC,-0.00339558573853993
Adult,BAC,-0.022727272727272707
Adult,BAC,-0.011739130434782585
Adult,BAC,0.012564102564102564
Adult,BAC,-0.005681818181818232
Adult,BAC,0.03676470588235292
Adult,BAC,0.07239057239057245
Adult,BAC,0.0
Adult,BAC,0.013255106475445588
Adult,BAC,-0.0277777777777779
Adult,BAC,-0.010204081632652962
Adult,BAC,-0.047794117647058765
Adult,BAC,0.0
Adult,BAC,-0.01724137931034475
Adult,BAC,0.0
Adult,BAC,0.01666666666666672
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.00630463682874749
Adult,BAC,0.06075340934495865
Adult,BAC,0.033608077477848886
Adult,BAC,0.055277430120984516
Adult,BAC,0.054667046101309014
Adult,BAC,-0.032602663706992274
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.0074906367041197575
Adult,BAC,0.0
Adult,BAC,-0.026854928017718716
Adult,BAC,0.0012589343729694225
Adult,BAC,-0.015000000000000013
Adult,BAC,0.0796019900497511
Adult,BAC,0.028063241106719428
Adult,BAC,-0.007103218645948983
Adult,BAC,-0.05769230769230771
Adult,BAC,-0.005555555555555536
Adult,BAC,0.012820512820512775
Adult,BAC,-0.017045454545454475
Adult,BAC,0.0
Adult,BAC,-0.02665192827315166
Adult,BAC,0.0
Adult,BAC,0.005952380952380931
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.015898251192368762
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.027619047619047654
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.06868131868131877
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.004885057471264442
Adult,BAC,0.046014908256880815
Adult,BAC,0.018536726431463313
Adult,BAC,0.07164809834805985
Adult,BAC,0.04692207127834924
Adult,BAC,-0.01682556497175136
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-6.690753378824077e-05
Adult,BAC,-0.002700348432055799
Adult,BAC,0.032363539303349675
Adult,BAC,-0.01298701298701288
Adult,BAC,-0.0032679738562091387
Adult,BAC,-0.03658536585365857
Adult,BAC,-0.020000000000000018
Adult,BAC,-0.057010785824345156
Adult,BAC,-0.005952380952380931
Adult,BAC,0.1196236559139785
Adult,BAC,0.004901960784313819
Adult,BAC,0.045846817691477915
Adult,BAC,0.0
Adult,BAC,0.03218390804597693
Adult,BAC,-0.01388888888888884
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.02941176470588225
Adult,BAC,-0.008448540706605057
Adult,BAC,-0.02083333333333326
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.05882352941176472
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.008945124212087485
Adult,BAC,0.013491075134910768
Adult,BAC,0.03582837229562952
Adult,BAC,0.005399105698791762
Adult,BAC,0.02506738544474396
Adult,BAC,-0.034236896197327726
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,-0.001639344262295117
Adult,BAC,0.0
Adult,BAC,-0.00539867109634562
Adult,BAC,0.007479674796747937
Adult,BAC,0.037407037407037436
Adult,BAC,-0.006622516556291369
Adult,BAC,0.030529172320217013
Adult,BAC,-0.007936507936507908
Adult,BAC,0.016129032258064502
Adult,BAC,0.017551369863013755
Adult,BAC,0.027235772357723453
Adult,BAC,-0.04319852941176472
Adult,BAC,-0.05154639175257736
Adult,BAC,-0.014423076923076872
Adult,BAC,0.125
Adult,BAC,-0.04878048780487809
Adult,BAC,-0.050000000000000044
Adult,BAC,0.0
Adult,BAC,-0.008064516129032251
Adult,BAC,0.0
Adult,BAC,0.02083333333333326
Adult,BAC,-0.009615384615384581
Adult,BAC,-0.03571428571428581
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.04166666666666674
Adult,BAC,0.0
Adult,BAC,0.0
Adult,BAC,0.06666666666666665
Bank,BAC,0.013347057595014977
Bank,BAC,0.006662328154234065
Bank,BAC,0.0034122751514055194
Bank,BAC,0.003784400038002289
Bank,BAC,0.0241486068111455
Bank,BAC,0.030022075055187614
Bank,BAC,-0.002277904328018221
Bank,BAC,0.0072790995484262044
Bank,BAC,0.0
Bank,BAC,-0.0016891891891891442
Bank,BAC,0.01173371647509569
Bank,BAC,0.012464985994397826
Bank,BAC,-0.005988023952095856
Bank,BAC,-0.0031446540880502027
Bank,BAC,0.05555555555555547
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.017992656058751555
Bank,BAC,-0.012096774193548376
Bank,BAC,-0.003373015873015861
Bank,BAC,0.03333333333333344
Bank,BAC,0.0
Bank,BAC,-0.006578947368421129
Bank,BAC,0.22580645161290314
Bank,BAC,-0.007575757575757569
