dataset,metric,gain
Adult,BND_ratio,0.0
Adult,BND_ratio,0.1254681647940074
Adult,BND_ratio,0.0655737704918032
Adult,BND_ratio,-0.006451612903225809
Adult,BND_ratio,0.06703910614525138
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.0031446540880503
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0103806228373702
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0551181102362205
Adult,BND_ratio,0.09722222222222218
Adult,BND_ratio,0.09523809523809518
Adult,BND_ratio,0.062937062937063
Adult,BND_ratio,0.19375
Adult,BND_ratio,0.08823529411764709
Adult,BND_ratio,0.055045871559632996
Adult,BND_ratio,-0.09900990099009901
Adult,BND_ratio,0.027027027027026987
Adult,BND_ratio,0.02777777777777779
Adult,BND_ratio,0.11111111111111109
Adult,BND_ratio,-0.0092592592592593
Adult,BND_ratio,0.0208333333333333
Adult,BND_ratio,0.07692307692307701
Adult,BND_ratio,-0.060606060606060594
Adult,BND_ratio,0.0526315789473684
Adult,BND_ratio,-0.2105263157894736
Adult,BND_ratio,0.0869565217391304
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.021276595744680896
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.09756097560975602
Adult,BND_ratio,0.0
Adult,BND_ratio,0.13043478260869562
Adult,BND_ratio,-0.030015797788309706
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.05458089668615991
Adult,BND_ratio,-0.0089485458612975
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.0679611650485437
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.1991341991341992
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.0394736842105263
Adult,BND_ratio,-0.18000000000000002
Adult,BND_ratio,-0.017699115044247798
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.06603773584905659
Adult,BND_ratio,-0.0350877192982456
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,-0.13114754098360648
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
Adult,BND_ratio,0.0
