dataset,metric,gain
Adult,F1,-0.019021294021293933
Adult,F1,0.061212879736033676
Adult,F1,0.02305665349143604
Adult,F1,0.0151051234945907
Adult,F1,-0.010849909584086936
Adult,F1,-0.008492840833920101
Adult,F1,0.6666666666666666
Adult,F1,0.0
Adult,F1,-0.03684210526315779
Adult,F1,0.0
Adult,F1,-0.004638605519215799
Adult,F1,-0.011695906432748648
Adult,F1,0.020785642340445
Adult,F1,0.0
Adult,F1,0.027649769585253503
Adult,F1,-0.00949439487531445
Adult,F1,-0.010264770703137027
Adult,F1,-0.03127308544693441
Adult,F1,0.033169533169533305
Adult,F1,0.08747044917257679
Adult,F1,0.1333333333333333
Adult,F1,0.08453837597330371
Adult,F1,0.0
Adult,F1,-0.05797101449275377
Adult,F1,-0.01654846335697413
Adult,F1,-0.06666666666666654
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.011935208866155289
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.04761904761904767
Adult,F1,0.0
Adult,F1,-0.04285714285714293
Adult,F1,0.0013192121887775077
Adult,F1,-0.0022475066722854598
Adult,F1,0.0020346320346319446
Adult,F1,-0.030909090909090775
Adult,F1,0.0365689248399057
Adult,F1,-0.001988931165686658
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.03174603174603163
Adult,F1,0.0
Adult,F1,0.005850562744806331
Adult,F1,0.01440699768458964
Adult,F1,0.09932203389830513
Adult,F1,-0.03157894736842104
Adult,F1,-0.01728763040238457
Adult,F1,0.0014141414141413122
Adult,F1,-0.00461467466543608
Adult,F1,-0.003444000551039994
Adult,F1,0.02633402633402626
Adult,F1,-0.022222222222222143
Adult,F1,0.026666666666666505
Adult,F1,-0.010230179028132946
Adult,F1,0.0
Adult,F1,0.02935420743639905
Adult,F1,-0.009555661729574783
Adult,F1,-0.047619047619047616
Adult,F1,0.0028577260665442195
Adult,F1,0.0
Adult,F1,-0.015957446808510745
Adult,F1,0.0
Adult,F1,0.018181818181818188
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.007375899361962146
Adult,F1,0.08275807660447321
Adult,F1,0.03282406302220087
Adult,F1,0.1050041017227234
Adult,F1,0.0623742454728371
Adult,F1,-0.010366197183098502
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.06060606060606061
Adult,F1,0.0
Adult,F1,-0.016228242376652324
Adult,F1,-0.0004968944099378314
Adult,F1,-0.01780514185872384
Adult,F1,0.08133971291866038
Adult,F1,0.03729603729603731
Adult,F1,0.0034642377183812245
Adult,F1,-0.013972473703490418
Adult,F1,-0.04761904761904767
Adult,F1,-0.005555555555555647
Adult,F1,-0.041269841269841234
Adult,F1,0.0
Adult,F1,-0.010941080801360248
Adult,F1,0.0
Adult,F1,0.013186813186813362
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.003875968992247958
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.007692307692307665
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.146853146853147
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.007575757575757458
Adult,F1,0.02033120183636672
Adult,F1,0.01705552488595763
Adult,F1,0.1499999999999999
Adult,F1,0.04766511300677134
Adult,F1,-0.005216378415335066
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.005755205318603629
Adult,F1,0.001095223608153506
Adult,F1,0.029193315452857527
Adult,F1,-0.022580645161290325
Adult,F1,-0.025641025641025716
Adult,F1,-0.014638844301765652
Adult,F1,-0.004491451753114939
Adult,F1,-0.012500000000000067
Adult,F1,-0.014260249554367221
Adult,F1,0.2615384615384615
Adult,F1,-0.007797270955165692
Adult,F1,0.0317460317460318
Adult,F1,0.0
Adult,F1,0.04643962848297223
Adult,F1,0.0025510204081634624
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.007691212078051568
Adult,F1,-0.007098491570541321
Adult,F1,-0.014801110083256241
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.0619195046439629
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.012682447469580027
Adult,F1,-0.00616264993947413
Adult,F1,0.034155597722960174
Adult,F1,0.002525252525252597
Adult,F1,0.008225108225108246
Adult,F1,-0.015389740173217703
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,-0.00011482539363594224
Adult,F1,0.015412402167369055
Adult,F1,0.04706142288996917
Adult,F1,0.0
Adult,F1,0.021739130434782594
Adult,F1,0.003616636528029127
Adult,F1,0.016506410256410198
Adult,F1,0.018382352941176516
Adult,F1,0.02298850574712652
Adult,F1,-0.016712811477473055
Adult,F1,-0.13198757763975166
Adult,F1,-0.09230769230769242
Adult,F1,0.2380952380952382
Adult,F1,-0.029220779220779147
Adult,F1,-0.01817375886524819
Adult,F1,0.0
Adult,F1,-0.03636363636363643
Adult,F1,0.0
Adult,F1,0.024659863945578397
Adult,F1,-0.16666666666666663
Adult,F1,-0.0181818181818183
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.0461538461538461
Adult,F1,0.0
Adult,F1,0.0
Adult,F1,0.08173690932311628
Bank,F1,0.007321222431496466
Bank,F1,-0.002880184331797153
Bank,F1,-0.007313045529605988
Bank,F1,9.95321986663189e-05
Bank,F1,-0.03743842364532013
Bank,F1,0.028816986855409565
Bank,F1,-0.023333333333333317
Bank,F1,-0.004971259903681746
Bank,F1,0.0
Bank,F1,-0.022792022792022748
Bank,F1,0.00862710099657893
Bank,F1,0.002481389578163684
Bank,F1,-0.04086845466155831
Bank,F1,-0.03333333333333344
Bank,F1,0.06719367588932801
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.019029126213592318
Bank,F1,-0.03157894736842104
Bank,F1,0.0010316875460574249
Bank,F1,0.04086021505376358
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.06666666666666671
Bank,F1,-0.0444444444444444
Bank,F1,-0.1071428571428571
Bank,F1,-0.06666666666666665
Bank,F1,0.0
Bank,F1,0.04761904761904767
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.004388714733542409
Bank,F1,0.0
