dataset,metric,gain
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.006451612903225799
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0094339622641509
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.0103806228373702
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.19801980198019808
Adult,POS_coverage,0.1081081081081082
Adult,POS_coverage,-0.0833333333333334
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.03703703703703699
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.18181818181818188
Adult,POS_coverage,-0.052631578947368404
Adult,POS_coverage,-0.22807017543859653
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.18644067796610175
Adult,POS_coverage,-0.14893617021276595
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.24390243902439024
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.10742496050552919
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.0545808966861599
Adult,POS_coverage,-0.0089485458612975
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.0822510822510823
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.013422818791946303
Adult,POS_coverage,-0.0394736842105263
Adult,POS_coverage,0.026666666666666727
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0566037735849057
Adult,POS_coverage,-0.0350877192982456
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.08196721311475408
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.0357142857142857
Adult,POS_coverage,0.04545454545454536
Adult,POS_coverage,-0.07197549770290973
Adult,POS_coverage,0.0
Adult,POS_coverage,0.1378026070763501
Adult,POS_coverage,-0.010940919037199199
Adult,POS_coverage,0.0
Adult,POS_coverage,0.11186440677966103
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.014336917562723999
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,0.2532188841201717
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.021897810218978096
Adult,POS_coverage,-0.02898550724637683
Adult,POS_coverage,-0.051724137931034475
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.0357142857142857
Adult,POS_coverage,-0.009009009009009
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.1796875
Adult,POS_coverage,0.0
Adult,POS_coverage,-0.10989010989010992
Adult,POS_coverage,0.0
Adult,POS_coverage,0.0
