dataset,metric,gain
Adult,Regret,0.0
Adult,Regret,-0.004213483146067426
Adult,Regret,0.0040983606557377095
Adult,Regret,-0.004838709677419395
Adult,Regret,0.0027932960893854997
Adult,Regret,0.0
Adult,Regret,-0.003930817610062901
Adult,Regret,0.0
Adult,Regret,-0.0017301038062282996
Adult,Regret,0.0
Adult,Regret,0.009842519685039408
Adult,Regret,-0.008101851851851805
Adult,Regret,-0.002645502645502673
Adult,Regret,-0.012237762237762212
Adult,Regret,-0.0078125
Adult,Regret,0.007352941176470618
Adult,Regret,0.004587155963302794
Adult,Regret,-0.044554455445544594
Adult,Regret,-0.020270270270270285
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0046296296296296086
Adult,Regret,0.005208333333333301
Adult,Regret,0.019230769230769273
Adult,Regret,-0.06060606060606061
Adult,Regret,0.013157894736842098
Adult,Regret,-0.0789473684210526
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.0720338983050848
Adult,Regret,0.04787234042553187
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.06707317073170732
Adult,Regret,0.0
Adult,Regret,0.032608695652173905
Adult,Regret,-0.013823064770931981
Adult,Regret,0.0
Adult,Regret,-0.006822612085770008
Adult,Regret,0.0016778523489933
Adult,Regret,0.0
Adult,Regret,0.0024271844660193886
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.01515151515151511
Adult,Regret,0.0
Adult,Regret,-0.006711409395973103
Adult,Regret,-0.004934210526315791
Adult,Regret,-0.008333333333333276
Adult,Regret,-0.004424778761061912
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.04009433962264161
Adult,Regret,0.006578947368421004
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.0267857142857142
Adult,Regret,-0.011363636363636381
Adult,Regret,-0.013399693721286382
Adult,Regret,0.0
Adult,Regret,-0.004189944134078194
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.024576271186440707
Adult,Regret,0.0
Adult,Regret,-0.004222972972973001
Adult,Regret,0.0062724014336916975
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,-0.0396995708154507
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.010948905109489093
Adult,Regret,-0.01630434782608689
Adult,Regret,-0.006465517241379393
Adult,Regret,0.0
Adult,Regret,-0.015625
Adult,Regret,0.004504504504504514
Adult,Regret,0.0024271844660194164
Adult,Regret,0.013671875
Adult,Regret,0.0
Adult,Regret,0.013736263736263798
Adult,Regret,-0.030303030303030276
Adult,Regret,0.0
Adult,Regret,-0.013888888888888895
Adult,Regret,0.0
Adult,Regret,-0.0459183673469388
Adult,Regret,0.008064516129032199
Adult,Regret,-0.0869565217391304
Adult,Regret,0.0
Adult,Regret,0.0
Adult,Regret,0.03703703703703698
