bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,0.6,0.016304347826086956,0.031746031746031744,0.5071756114130435,0.5983143682065217,0.08032116178844512,0.023879331661309067,0.43646523178807944,0.16639072847682118,0.0041390728476821195,1208,0.4,0.2
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,0.3333333333333333,0.013422818791946308,0.02580645161290323,0.5049616281186329,0.6258110353655457,0.046620222909806525,0.017030110040710977,0.33417182662538697,0.10294117647058823,0.0046439628482972135,1292,0.4,0.2
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,0.25,0.005847953216374269,0.011428571428571429,0.5018242698633191,0.6860926754814699,0.022516803027463315,0.006368401950182734,0.3047231270358306,0.08078175895765473,0.0026058631921824105,1535,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,0.43846153846153846,0.6129032258064516,0.5112107623318385,0.5936236245650334,0.6212498824414558,0.17883650105830604,0.17162067033488015,0.5628544423440454,0.4120982986767486,0.4914933837429111,529,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,0.5277777777777778,0.44881889763779526,0.4851063829787234,0.6186003201881922,0.6882085797366615,0.24764392985645534,0.24590163934426235,0.514266304347826,0.4320652173913043,0.29347826086956524,368,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,0.4691780821917808,0.7873563218390804,0.5879828326180258,0.5610601351684672,0.591769029648266,0.13418377192029918,0.11246393930445442,0.5436117936117936,0.23955773955773957,0.7174447174447175,814,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,0.5939849624060151,0.9875,0.7417840375586855,0.5116071428571429,0.5491071428571429,0.07778715439702917,0.027055150884495394,0.4099264705882353,0.022058823529411766,0.9779411764705882,136,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=severe|L3_LIMIT_BAL=low_limit,0.7,0.875,0.7777777777777777,0.5284090909090909,0.696969696969697,0.07537783614444091,0.06666666666666665,0.35,0.14285714285714285,0.8571428571428571,35,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=high_limit,0.72,0.8571428571428571,0.782608695652174,0.42857142857142855,0.4965986394557823,-0.2,-0.17647058823529416,0.4107142857142857,0.07142857142857142,0.8928571428571429,28,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=mid_limit,0.6944444444444444,0.8928571428571429,0.78125,0.5233516483516484,0.34615384615384615,0.06641435771628686,0.05592105263157887,0.3475609756097561,0.12195121951219512,0.8780487804878049,41,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=severe|L3_LIMIT_BAL=mid_limit,0.6666666666666666,0.8,0.7272727272727272,0.5666666666666667,0.6000000000000001,0.14907119849998599,0.1428571428571429,0.40625,0.25,0.75,8,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=severe|L3_LIMIT_BAL=high_limit,0.6,0.75,0.6666666666666665,0.375,0.75,-0.31622776601683794,-0.2857142857142856,0.4583333333333333,0.16666666666666666,0.8333333333333334,6,0.4,0.2
L1_ever_delay=no_delay|L2_max_delay_bin=none,0.4,0.011904761904761904,0.023121387283236993,0.5046779544443096,0.6495591203535129,0.05082664632560639,0.016016969329668118,0.35359355638166046,0.11350681536555142,0.0037174721189591076,4035,0.4,0.2
L1_ever_delay=no_delay,0.4,0.011904761904761904,0.023121387283236993,0.5046779544443096,0.6495591203535129,0.05082664632560639,0.016016969329668118,0.35359355638166046,0.11350681536555142,0.0037174721189591076,4035,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=mild,0.46743697478991597,0.6732223903177005,0.5517668939863608,0.5951826237302789,0.6282566097543404,0.18657080476776916,0.176011573976936,0.5432495616598481,0.3343074225599065,0.5563997662185857,1711,0.4,0.2
L1_ever_delay=has_delay,0.5012636899747261,0.7229647630619684,0.5920398009950248,0.6022879857341366,0.6445573092334439,0.20638229320031423,0.19267399120574313,0.5237913486005089,0.30025445292620867,0.6040712468193384,1965,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=medium,0.6288659793814433,0.9457364341085271,0.7554179566563468,0.4991840065279478,0.4977560179518563,-0.0034980106212406836,-0.001979830477015332,0.3975609756097561,0.04878048780487805,0.9463414634146341,205,0.4,0.2
L1_ever_delay=has_delay|L2_max_delay_bin=severe,0.6829268292682927,0.8484848484848485,0.7567567567567567,0.5179924242424243,0.6818181818181818,0.04565619535645955,0.04130434782608705,0.37244897959183676,0.16326530612244897,0.8367346938775511,49,0.4,0.2
