bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,3360,1439,0.22470238095238096,0.2077831827658096,0.4,0.2,0.415045170257123,0.47079646017699117,0.5,0.44481605351170567,0.20152883947185546,0.18485059068797777,1439,False,,f1_regret_bnd,-0.045013129816059566,-0.406875,0.36186187018394045,ROOT,False,1
L1_ever_delay=has_delay,L1,ROOT,1193,518,0.4383906119027661,0.4362934362934363,0.4,0.2,0.5086872586872587,0.616822429906542,0.5339805825242718,0.7300884955752213,0.37065637065637064,0.5965250965250966,518,True,,f1_regret_bnd,-0.07719301410890203,-0.045013129816059566,-0.032179884292842464,ROOT,True,1
L1_ever_delay=no_delay,L1,ROOT,2236,965,0.12343470483005367,0.11709844559585492,0.4,0.2,0.3417098445595855,0.017391304347826087,0.5,0.008849557522123894,0.024870466321243522,0.002072538860103627,965,True,,f1_regret_bnd,-0.33675377337238116,-0.045013129816059566,-0.29174064355632157,ROOT,True,1
L1_ever_delay=has_delay|L2_max_delay_bin=medium,L2,L1_ever_delay=has_delay,244,239,0.610655737704918,0.6150627615062761,0.2,0.0,0.38284518828451886,0.7636363636363637,0.6176470588235294,1.0,0.0041841004184100415,0.99581589958159,239,False,,f1_regret_bnd,0.3786991251426398,-0.07719301410890203,0.4558921392515418,L1_ever_delay=has_delay|L2_max_delay_bin=medium,False,1
L1_ever_delay=has_delay|L2_max_delay_bin=mild,L2,L1_ever_delay=has_delay,991,415,0.41977800201816345,0.40240963855421685,0.4,0.2,0.5397590361445783,0.531578947368421,0.47417840375586856,0.6047904191616766,0.3542168674698795,0.5132530120481927,415,True,,f1_regret_bnd,-0.18528852251109704,-0.07719301410890203,-0.108095508402195,ROOT,True,1
L1_ever_delay=has_delay|L2_max_delay_bin=others,L2,L1_ever_delay=has_delay,88,56,0.6931818181818182,0.625,0.4,0.2,0.2916666666666667,0.8355555555555556,0.7286821705426356,0.9791666666666666,0.09027777777777778,0.8958333333333334,144,True,,f1_regret_bnd,,-0.07719301410890203,,ROOT,True,1
L1_ever_delay=no_delay|L2_max_delay_bin=none,L2,L1_ever_delay=no_delay,2235,964,0.12080536912751678,0.11514522821576763,0.4,0.2,0.341545643153527,0.017699115044247787,0.5,0.009009009009009009,0.1504149377593361,0.002074688796680498,964,True,,f1_regret_bnd,-0.3990539969889472,-0.33675377337238116,-0.062300223616566064,ROOT,True,1
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,412,169,0.6189320388349514,0.591715976331361,0.2,0.0,0.40236686390532544,0.7452471482889732,0.6012269938650306,0.98,0.029585798816568046,0.9644970414201184,169,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,f1_regret_bnd,0.3280873849753637,0.3786991251426398,-0.0506117401672761,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,1
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,162,70,0.6358024691358025,0.6714285714285714,0.2,0.0,0.2963362068965517,0.824858757062147,0.7156862745098039,0.9733333333333334,0.0603448275862069,0.8793103448275862,232,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,f1_regret_bnd,,0.3786991251426398,,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,1
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,1087,428,0.31922723091076355,0.35046728971962615,0.4,0.2,0.5712616822429907,0.4057971014492754,0.4444444444444444,0.37333333333333335,0.705607476635514,0.29439252336448596,428,True,,f1_regret_bnd,-0.5182683191114723,-0.18528852251109704,-0.33297979660037524,ROOT,True,1
