fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,24000,3360,1439,,False,False,ROOT
1,L1_ever_delay=has_delay,ROOT,1,L1_ever_delay,numeric_bin,has_delay,7994,1193,518,,False,True,ROOT
1,L1_ever_delay=no_delay,ROOT,1,L1_ever_delay,numeric_bin,no_delay,16006,2236,965,,False,True,ROOT
1,L1_ever_delay=has_delay|L2_max_delay_bin=medium,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,medium,813,244,239,,False,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium
1,L1_ever_delay=has_delay|L2_max_delay_bin=mild,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,mild,7037,991,415,,False,True,ROOT
1,L1_ever_delay=has_delay|L2_max_delay_bin=others,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,others,144,88,56,42.0,True,True,ROOT
1,L1_ever_delay=no_delay|L2_max_delay_bin=none,L1_ever_delay=no_delay,2,L2_max_delay_bin,categorical_group,none,16006,2235,964,,False,True,ROOT
1,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,low_limit,581,412,169,139.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
1,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,others,232,162,70,55.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
1,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,high_limit,1515,1087,428,438.0,True,True,ROOT
1,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,low_limit,3251,2266,985,793.0,True,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit
1,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,mid_limit,2271,1605,666,608.0,True,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit
1,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,high_limit,6062,4287,1775,1503.0,True,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit
1,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,low_limit,4787,3310,1477,1111.0,True,True,ROOT
1,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,mid_limit,5157,3583,1574,1311.0,True,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit
2,ROOT,ROOT,0,ROOT,ROOT,all,24000,3360,1439,,False,False,ROOT
2,L1_ever_delay=has_delay,ROOT,1,L1_ever_delay,numeric_bin,has_delay,8089,1218,519,,False,True,ROOT
2,L1_ever_delay=no_delay,ROOT,1,L1_ever_delay,numeric_bin,no_delay,15911,2225,957,,False,True,ROOT
2,L1_ever_delay=has_delay|L2_max_delay_bin=medium,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,medium,780,234,221,,False,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium
2,L1_ever_delay=has_delay|L2_max_delay_bin=mild,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,mild,7158,1001,428,,False,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild
2,L1_ever_delay=has_delay|L2_max_delay_bin=others,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,others,151,105,46,35.0,True,True,ROOT
2,L1_ever_delay=no_delay|L2_max_delay_bin=none,L1_ever_delay=no_delay,2,L2_max_delay_bin,categorical_group,none,15911,2224,956,,False,False,L1_ever_delay=no_delay|L2_max_delay_bin=none
2,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,low_limit,563,406,157,157.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
2,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,others,217,153,64,70.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
2,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,high_limit,1575,1123,452,378.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild
2,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,low_limit,3247,2251,996,797.0,True,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit
2,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,mid_limit,2336,1637,699,543.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild
2,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,high_limit,6067,4235,1832,1498.0,True,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit
2,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,low_limit,4676,3281,1395,1222.0,True,True,L1_ever_delay=no_delay|L2_max_delay_bin=none
2,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,mid_limit,5168,3609,1559,1300.0,True,True,L1_ever_delay=no_delay|L2_max_delay_bin=none
3,ROOT,ROOT,0,ROOT,ROOT,all,24000,3359,1439,,False,False,ROOT
3,L1_ever_delay=has_delay,ROOT,1,L1_ever_delay,numeric_bin,has_delay,8031,1200,522,,False,False,L1_ever_delay=has_delay
3,L1_ever_delay=no_delay,ROOT,1,L1_ever_delay,numeric_bin,no_delay,15969,2241,952,,False,True,ROOT
3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,medium,812,231,270,,False,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium
3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,mild,7073,989,423,,False,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild
3,L1_ever_delay=has_delay|L2_max_delay_bin=others,L1_ever_delay=has_delay,2,L2_max_delay_bin,categorical_group,others,146,102,44,40.0,True,True,L1_ever_delay=has_delay
3,L1_ever_delay=no_delay|L2_max_delay_bin=none,L1_ever_delay=no_delay,2,L2_max_delay_bin,categorical_group,none,15969,2241,952,,False,True,ROOT
3,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,low_limit,583,388,195,137.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
3,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,L3_LIMIT_BAL,numeric_bin,others,229,154,75,58.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
3,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,high_limit,1569,1102,467,384.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild
3,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,low_limit,3208,2251,957,836.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild
3,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,L3_LIMIT_BAL,numeric_bin,mid_limit,2296,1597,699,583.0,True,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild
3,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,high_limit,6051,4256,1795,1514.0,True,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit
3,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,low_limit,4687,3320,1367,1211.0,True,True,ROOT
3,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,L3_LIMIT_BAL,numeric_bin,mid_limit,5231,3630,1601,1237.0,True,True,ROOT
4,ROOT,ROOT,0,ROOT,ROOT,all,24000,3359,1439,,False,False,ROOT
