bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,4799,1200,0.6097894736842105,0.5120967741935484,0.7726147368421052,0.37,0.17416666666666666,0.205,f1_regret_bnd,,,,False,ROOT
L1_ever_delay=has_delay,ROOT,1,1730,432,0.3978494623655914,0.631130063965885,0.6734635894746044,0.5069444444444444,0.3449074074074074,0.6550925925925926,f1_regret_bnd,,,,False,L1_ever_delay=has_delay
L1_ever_delay=no_delay,ROOT,1,3179,807,0.48792613636363635,0.0,0.658773720211827,0.3794919454770756,0.027261462205700124,0.0,f1_regret_bnd,,,,False,L1_ever_delay=no_delay
L1_ever_delay=has_delay|L2_max_delay_bin=medium,L1_ever_delay=has_delay,2,334,205,0.5,0.7724550898203593,0.48429212566299473,0.37073170731707317,0.0,1.0,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium
L1_ever_delay=has_delay|L2_max_delay_bin=mild,L1_ever_delay=has_delay,2,1433,340,0.4482758620689655,0.6235011990407674,0.6055172413793103,0.5286764705882353,0.2,0.8,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild
L1_ever_delay=has_delay|L2_max_delay_bin=others,L1_ever_delay=has_delay,2,137,49,0.5857895396964756,0.8314606741573033,0.8553869308917597,0.28091397849462363,0.11290322580645161,0.7956989247311828,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=others
L1_ever_delay=no_delay|L2_max_delay_bin=none,L1_ever_delay=no_delay,2,3179,806,0.48933143669985774,0.0,0.5966661602839426,0.36476426799007444,0.031017369727047148,0.0,f1_regret_bnd,,,,False,L1_ever_delay=no_delay|L2_max_delay_bin=none
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,584,136,0.5,0.7441860465116279,0.5435267857142857,0.40808823529411764,0.007352941176470588,0.9926470588235294,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,160,41,0.5767605633802817,0.8068965517241379,0.7471289274106175,0.30970149253731344,0.1044776119402985,0.7960199004975125,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=mid_limit
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,58,28,0.5903846153846154,0.8571428571428571,0.8384615384615385,0.2616279069767442,0.06976744186046512,0.8488372093023255,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,1585,368,0.41485607867481294,0.5,0.693436142059006,0.5122282608695652,0.421195652173913,0.296195652173913,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,3230,814,0.41806644960781414,0.5925155925155925,0.5803919392235213,0.5414619164619164,0.23587223587223588,0.7542997542997543,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,2350,529,0.23103388820966175,0.38607594936708856,0.6316577322173109,0.5486767485822306,0.6559546313799622,0.24574669187145556,f1_regret_bnd,,,,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,6030,1535,0.4724901819553772,0.022988505747126436,0.7012570527001767,0.3001628664495114,0.08534201954397394,0.001954397394136808,f1_regret_bnd,,,,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,4690,1208,0.40380859375,0.0,0.6268894361413044,0.4286009933774834,0.2119205298013245,0.0,f1_regret_bnd,,,,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,5176,1292,0.4925634295713036,0.0,0.6204148978022043,0.34558823529411764,0.016253869969040248,0.0,f1_regret_bnd,,,,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit
