bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,3,720,0,720,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,0
L1_ever_delay=has_delay|L2_max_delay_bin=medium,2,0,1007,0,L1_ever_delay=has_delay,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium,1007
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=mid_limit,3,201,0,201,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,0
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,3,86,0,86,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,0
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,3,1953,0,1953,L1_ever_delay=has_delay|L2_max_delay_bin=mild,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild,0
L1_ever_delay=has_delay|L2_max_delay_bin=mild,2,0,8876,0,L1_ever_delay=has_delay,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild,8876
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,3,4044,0,4044,L1_ever_delay=has_delay|L2_max_delay_bin=mild,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild,0
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,3,2879,0,2879,L1_ever_delay=has_delay|L2_max_delay_bin=mild,True,L1_ever_delay=has_delay|L2_max_delay_bin=mild,0
L1_ever_delay=has_delay|L2_max_delay_bin=others,2,186,0,186,L1_ever_delay=has_delay,True,ROOT,0
ROOT,0,0,186,0,ROOT,False,ROOT,186
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,3,7565,7565,0,L1_ever_delay=no_delay|L2_max_delay_bin=none,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,0
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,3,5898,0,5898,L1_ever_delay=no_delay|L2_max_delay_bin=none,True,L1_ever_delay=no_delay|L2_max_delay_bin=none,0
L1_ever_delay=no_delay|L2_max_delay_bin=none,2,0,5898,0,L1_ever_delay=no_delay,False,L1_ever_delay=no_delay|L2_max_delay_bin=none,5898
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,3,6468,6468,0,L1_ever_delay=no_delay|L2_max_delay_bin=none,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,0
