bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.5883863399633283,0.0,0.0,0.3264664255386067,0.004717722912407611,0.0,6359,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=mid_dx,0.6153846153846154,0.2,0.30188679245283023,0.5930362116991643,0.7737465181058496,0.3147704140722189,0.2657780872333019,0.3107769423558897,0.09523809523809523,0.03258145363408521,399,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=high_dx,0.5652173913043478,0.08783783783783784,0.152046783625731,0.5372611293050708,0.7528610501313564,0.1750333738374169,0.11275447349255707,0.4521690767519466,0.2335928809788654,0.025583982202447165,899,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.5,0.005628517823639775,0.011131725417439703,0.5023761747996703,0.5987083778997387,0.04169747181933541,0.008157345631898183,0.5212282031842305,0.0384129390952742,0.001516300227445034,3957,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,0.5,0.6167709019091508,0.0,0.0,0.2527134056908184,0.0023467292461132297,0.0,3409,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=high_dx,0.8,0.3333333333333333,0.47058823529411764,0.644927536231884,0.717391304347826,0.3931785497463923,0.33684210526315794,0.6571428571428571,0.6285714285714286,0.14285714285714285,35,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=high_dx,0.5,0.1935483870967742,0.27906976744186046,0.5689964157706093,0.6341099163679809,0.20452988181151915,0.17657175616281284,0.6438848920863309,0.4676258992805755,0.08633093525179857,139,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.4972924187725632,0.49268029221979015,-0.031848776893779206,-0.008681979764834535,0.6725403817914831,0.3891336270190896,0.004405286343612335,681,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.3333333333333333,0.12,0.1764705882352941,0.5165217391304348,0.6030434782608696,0.04961918062709225,0.04151493080844859,0.6542553191489362,0.7606382978723404,0.09574468085106383,188,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.40234375,0.0,0.0,0.4375,0.18055555555555555,0.0,72,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=low_dx,0.0,0.0,0.0,0.5,0.4992724867724868,0.0,0.0,0.19718309859154928,0.0,0.0,568,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.6666666666666666,0.014388489208633094,0.02816901408450704,0.5064031053638102,0.5596257171478007,0.07907611890985745,0.020709078860172148,0.6647211413748378,0.1867704280155642,0.0038910505836575876,771,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired|L4_number_diagnoses=high_dx,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,216,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=low_dx,1.0,0.5,0.6666666666666666,0.75,0.8770491803278688,0.7013811259728677,0.6594594594594594,0.09523809523809523,0.06349206349206349,0.015873015873015872,63,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=low_dx,0.0,0.0,0.0,0.4444444444444444,0.6666666666666667,-0.21821789023599236,-0.12903225806451624,0.8,0.6,0.06666666666666667,15,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,0.5,0.6601895629888207,0.0,0.0,0.41354166666666664,0.06770833333333333,0.0,960,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=mid_dx,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.5100806451612904,0.5443548387096775,0.05150535271439557,0.02985074626865658,0.6837606837606838,0.47863247863247865,0.02564102564102564,117,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab|L4_number_diagnoses=low_dx,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,8,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.4857142857142857,0.0,0.0,0.7209302325581395,0.6046511627906976,0.0,43,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=low_dx,0.0,0.0,0.0,0.5,0.726388888888889,0.0,0.0,0.38202247191011235,0.033707865168539325,0.0,89,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.5,0.5454545454545454,0.5217391304347826,0.5727272727272728,0.5333333333333333,0.14414999403128945,0.14371257485029942,0.5769230769230769,0.5,0.46153846153846156,26,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.25,0.05263157894736842,0.0,38,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,0.5,0.5575624885969713,0.0,0.0,0.5596330275229358,0.1834862385321101,0.0,218,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.7242647058823529,0.0,0.0,0.5238095238095238,0.19047619047619047,0.0,42,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.2,0.11627906976744186,0.14705882352941177,0.47749437359339836,0.5307576894223556,-0.05516352304463008,-0.052139908755159725,0.6796407185628742,0.7664670658682635,0.1497005988023952,167,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,0.5,0.55,0.0,0.0,0.25,0.0,0.0,32,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=mid_dx,0.25,0.14285714285714285,0.18181818181818182,0.5032467532467533,0.474025974025974,0.008058229640253803,0.0076045627376425395,0.5517241379310345,0.6896551724137931,0.13793103448275862,29,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired|L4_number_diagnoses=mid_dx,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,35,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.5,0.5,0.5,0.5564516129032258,0.6236559139784946,0.11290322580645161,0.11290322580645162,0.5909090909090909,0.5272727272727272,0.43636363636363634,55,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired|L4_number_diagnoses=high_dx,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,35,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=mid_dx,0.5714285714285714,0.19047619047619047,0.2857142857142857,0.5652380952380952,0.6028571428571428,0.19975005640553298,0.16174734356552534,0.6126760563380281,0.704225352112676,0.09859154929577464,71,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.5563063063063063,0.0,0.0,0.5697674418604651,0.023255813953488372,0.0,86,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.5457627118644068,0.0,0.0,0.28125,0.046875,0.0,64,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Transfer|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.46428571428571425,0.0,0.0,0.25,0.2,0.0,30,0.4,0.2
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.582258064516129,0.0,0.0,0.5,0.18055555555555555,0.0,72,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=low_dx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,2,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp|L4_number_diagnoses=low_dx,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,5,0.4,0.2
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.0,0.0,0.0,0.5,0.4598214285714286,0.0,0.0,0.9565217391304348,0.5434782608695652,0.0,46,0.4,0.2
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home|L4_number_diagnoses=high_dx,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.5035714285714286,0.5321428571428573,0.0073561235792062455,0.007299270072992692,0.6617647058823529,0.6470588235294118,0.35294117647058826,34,0.4,0.2
