bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay|L4_number_inpatient=few_prev_inpt,4,88,0,88,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,True,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,3,0,631,0,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent,False,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,631
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay|L4_number_inpatient=no_prev_inpt,4,499,0,499,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,True,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay|L4_number_inpatient=others,4,44,0,44,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,True,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=long_stay,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay|L4_number_inpatient=few_prev_inpt,4,203,0,203,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay,True,L1_age=age_40_60,0
L1_age=age_40_60,1,0,426,0,ROOT,False,L1_age=age_40_60,426
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay|L4_number_inpatient=many_prev_inpt,4,73,0,73,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay,True,L1_age=age_40_60,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay|L4_number_inpatient=no_prev_inpt,4,1395,1395,0,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay,False,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=mid_stay|L4_number_inpatient=no_prev_inpt,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=short_stay|L4_number_inpatient=few_prev_inpt,4,220,0,220,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=short_stay,True,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=short_stay,0
L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=short_stay,3,0,285,0,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent,False,L1_age=age_40_60|L2_admission_type_id=EmergentUrgent|L3_time_in_hospital=short_stay,285
