bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,11396,4883,0.31927720140754917,0.08988764044943821,0.6968148189063876,0.4036453000204792,0.43252099119393816,0.010649191071062871,f1_regret_bnd,-0.5300181551680101,-0.4011013756960367,-0.1289167794719734,True,ROOT
L1_number_inpatient=few_prev_inpt,ROOT,1,1226,714,0.026501766784452298,0.0,0.5522753318689715,0.5952380952380952,0.9537815126050421,0.0,f1_regret_bnd,-1.0721288515406162,-0.5300181551680101,-0.5421106963726061,True,ROOT
L1_number_inpatient=many_prev_inpt,ROOT,1,541,331,0.2467462967719839,0.494949494949495,0.6251391386248822,0.5725075528700906,0.7009063444108762,0.29003021148036257,f1_regret_bnd,-0.4280112301260337,-0.5300181551680101,0.10200692504197639,False,L1_number_inpatient=many_prev_inpt
L1_number_inpatient=no_prev_inpt,ROOT,1,9771,4298,0.49362559690215924,0.03286384976525822,0.6540415589734679,0.3677291763610982,0.034434620753839,0.0025593299208934387,f1_regret_bnd,-0.3520826369727595,-0.5300181551680101,0.1779355181952506,False,L1_number_inpatient=no_prev_inpt
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=few_prev_inpt,2,261,106,0.10112044817927171,0.25,0.5277310924369748,0.589622641509434,0.8867924528301887,0.10377358490566038,f1_regret_bnd,-0.7830188679245284,-1.0721288515406162,0.28910998361608786,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=few_prev_inpt,2,1261,723,0.08017241379310344,0.0,0.5878345792138896,0.5470262793914247,0.8672199170124482,0.0,f1_regret_bnd,-0.9806362378976488,-1.0721288515406162,0.09149261364296746,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=few_prev_inpt,2,250,118,0.028409090909090908,0.0,0.5034090909090909,0.6059322033898306,0.9576271186440678,0.0,f1_regret_bnd,-1.0847457627118644,-1.0721288515406162,-0.01261691117124819,True,ROOT
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=many_prev_inpt,2,134,114,0.3223684210526316,0.5,0.5820637119113573,0.5877192982456141,0.5,0.47368421052631576,f1_regret_bnd,-0.3377192982456141,-0.4280112301260337,0.09029193188041962,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=many_prev_inpt,2,435,211,0.3334035827186512,0.5390070921985816,0.6952581664910432,0.5639810426540285,0.5734597156398105,0.36018957345971564,f1_regret_bnd,-0.31170380827535216,-0.4280112301260337,0.11630742185068155,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=many_prev_inpt,2,179,76,0.32688178833038645,0.6199999999999999,0.6998610760293004,0.5176470588235295,0.5882352941176471,0.36470588235294116,f1_regret_bnd,,-0.4280112301260337,,True,L1_number_inpatient=many_prev_inpt
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=no_prev_inpt,2,171,161,0.019230769230769232,0.07142857142857144,0.5606837606837607,0.577639751552795,0.9875776397515528,0.012422360248447204,f1_regret_bnd,-1.0,-0.3520826369727595,-0.6479173630272406,True,L1_number_inpatient=no_prev_inpt
