bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,11397,4884,0.11099412125998069,0.11117936117936118,0.4,0.2,0.3938370188370188,0.08067226890756303,0.46153846153846156,0.04419889502762431,0.09377559377559377,0.010647010647010647,4884,False,,f1_regret_bnd,-0.3600525468172527,-0.40640353750409436,0.046350990686841675,ROOT,False,1
L1_number_inpatient=few_prev_inpt,L1,ROOT,1219,704,0.20344544708777687,0.1846590909090909,0.4,0.2,0.5710227272727273,0.07142857142857144,0.5,0.038461538461538464,0.9403409090909091,0.014204545454545454,704,True,,f1_regret_bnd,-0.9697646103896104,-0.3600525468172527,-0.6097120635723576,ROOT,True,1
L1_number_inpatient=many_prev_inpt,L1,ROOT,545,331,0.3394495412844037,0.3323262839879154,0.4,0.2,0.5876132930513596,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.649546827794562,0.3323262839879154,331,True,,f1_regret_bnd,-0.43965943422136783,-0.3600525468172527,-0.07960688740411515,ROOT,True,1
L1_number_inpatient=no_prev_inpt,L1,ROOT,9770,4318,0.09232343909928352,0.09333024548402039,0.4,0.2,0.3609309865678555,0.03836930455635492,0.5714285714285714,0.019851116625310174,0.039138490041685965,0.003242241778601204,4318,False,,f1_regret_bnd,-0.3421309270323436,-0.3600525468172527,0.017921619784909082,L1_number_inpatient=no_prev_inpt,False,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,L2,L1_number_inpatient=few_prev_inpt,245,125,0.24489795918367346,0.136,0.5,0.3,0.5,0.1111111111111111,1.0,0.058823529411764705,0.2,0.008,125,False,,f1_regret_bnd,-0.48888888888888893,-0.9697646103896104,0.48087572150072144,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,False,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,L2,L1_number_inpatient=few_prev_inpt,1116,527,0.2025089605734767,0.16698292220113853,0.3,0.1,0.532258064516129,0.16216216216216217,0.391304347826087,0.10227272727272728,0.8481973434535104,0.04364326375711575,527,False,,f1_regret_bnd,-0.794194574080722,-0.9697646103896104,0.17557003630888834,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,L2,L1_number_inpatient=few_prev_inpt,269,101,0.16728624535315986,0.18811881188118812,0.4,0.2,0.5297029702970297,0.0,0.0,0.0,0.5247524752475248,0.0,101,False,,f1_regret_bnd,-0.7920792079207921,-0.9697646103896104,0.17768540246881825,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,False,1
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,L2,L1_number_inpatient=many_prev_inpt,136,120,0.39705882352941174,0.4,0.4,0.1,0.5666666666666667,0.5555555555555556,0.5,0.625,0.48333333333333334,0.5,120,False,,f1_regret_bnd,-0.25277777777777777,-0.43965943422136783,0.18688165644359006,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,False,1
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,L2,L1_number_inpatient=many_prev_inpt,459,186,0.27233115468409586,0.23655913978494625,0.4,0.2,0.5483870967741935,0.3835616438356164,0.4827586206896552,0.3181818181818182,0.6612903225806451,0.15591397849462366,186,True,,f1_regret_bnd,-0.49547061422889965,-0.43965943422136783,-0.055811180007531824,ROOT,True,1
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,L2,L1_number_inpatient=many_prev_inpt,175,78,0.38857142857142857,0.3717948717948718,0.4,0.2,,,,,,,0,True,,f1_regret_bnd,,-0.43965943422136783,,ROOT,True,1
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,L2,L1_number_inpatient=no_prev_inpt,165,164,0.18787878787878787,0.16463414634146342,0.4,0.2,0.5701219512195121,0.125,0.4,0.07407407407407407,0.7378048780487805,0.03048780487804878,164,True,L1_number_inpatient=no_prev_inpt,f1_regret_bnd,-0.8140243902439024,-0.3421309270323436,-0.4718934632115588,L1_number_inpatient=no_prev_inpt,True,1
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,L2,L1_number_inpatient=no_prev_inpt,9560,4204,0.09110878661087866,0.09633682207421504,0.4,0.2,0.36976688867745006,0.028846153846153848,0.5454545454545454,0.014814814814814815,0.032825880114176975,0.002616555661274976,4204,True,L1_number_inpatient=no_prev_inpt,f1_regret_bnd,-0.3573336748883847,-0.3421309270323436,-0.015202747856041088,L1_number_inpatient=no_prev_inpt,True,1
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,L2,L1_number_inpatient=no_prev_inpt,181,309,0.12154696132596685,0.12297734627831715,0.4,0.2,0.48058252427184467,0.0,0.0,0.0,0.6116504854368932,0.0,309,True,L1_number_inpatient=no_prev_inpt,f1_regret_bnd,-0.7864077669902912,-0.3421309270323436,-0.44427683995794764,L1_number_inpatient=no_prev_inpt,True,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,154,73,0.2792207792207792,0.1095890410958904,0.5,0.3,,,,,,,0,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,f1_regret_bnd,,-0.48888888888888893,,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,True,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,91,52,0.18681318681318682,0.17307692307692307,0.5,0.3,,,,,,,0,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,f1_regret_bnd,,-0.48888888888888893,,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,True,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,2762,1207,0.17668356263577117,0.16735708367854185,0.3,0.1,0.5700082850041425,0.0,0.0,0.0,0.9610604805302403,0.0,1207,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,f1_regret_bnd,-1.0505385252692627,-0.794194574080722,-0.2563439511885407,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,1
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,507,221,0.25443786982248523,0.2081447963800905,0.4,0.2,0.5067873303167421,0.17857142857142855,0.5,0.10869565217391304,0.497737556561086,0.04524886877828054,221,False,,f1_regret_bnd,-0.5770846800258564,-0.794194574080722,0.21710989405486558,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,False,1
