fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,81412,11397,4884,,False,False,ROOT
1,L1_number_inpatient=few_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,few_prev_inpt,8719,1219,704,,False,True,ROOT
1,L1_number_inpatient=many_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,many_prev_inpt,2896,545,331,,False,True,ROOT
1,L1_number_inpatient=no_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,no_prev_inpt,69797,9770,4318,,False,False,L1_number_inpatient=no_prev_inpt
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,multi_prev_er,370,245,125,,False,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,no_prev_er,7979,1116,527,,False,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,one_prev_er,370,269,101,102.0,True,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er
1,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,multi_prev_er,417,136,120,,False,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er
1,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,no_prev_er,2226,459,186,,False,True,ROOT
1,L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,one_prev_er,253,175,78,60.0,True,True,ROOT
1,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=no_prev_inpt,2,L2_number_emergency,numeric_bin,multi_prev_er,513,165,164,,False,True,L1_number_inpatient=no_prev_inpt
1,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=no_prev_inpt,2,L2_number_emergency,numeric_bin,no_prev_er,68280,9560,4204,,False,True,L1_number_inpatient=no_prev_inpt
1,L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=no_prev_inpt,2,L2_number_emergency,numeric_bin,one_prev_er,1004,181,309,,False,True,L1_number_inpatient=no_prev_inpt
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,3,L3_discharge_disposition_id,category_group,Home,227,154,73,67.0,True,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,3,L3_discharge_disposition_id,category_group,others,143,91,52,35.0,True,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er
1,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,3,L3_discharge_disposition_id,category_group,Home,3969,2762,1207,996.0,True,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
