bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,3,294,0,294,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT,0
ROOT,0,0,28537,0,ROOT,False,ROOT,28537
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,3,178,0,178,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,3,252,0,252,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,2,0,9124,0,L1_number_inpatient=few_prev_inpt,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,9124
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,3,4965,0,4965,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,3,909,909,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,3,3819,0,3819,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,3,88,0,88,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,3,211,0,211,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,2,0,472,0,L1_number_inpatient=few_prev_inpt,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,472
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,3,215,0,215,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=others,3,46,0,46,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,3,365,0,365,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,True,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,2,0,534,0,L1_number_inpatient=many_prev_inpt,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,534
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,3,169,0,169,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,True,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,3,1410,1410,0,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,3,232,0,232,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=many_prev_inpt,0
L1_number_inpatient=many_prev_inpt,1,0,1381,0,ROOT,False,L1_number_inpatient=many_prev_inpt,1381
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,3,1064,0,1064,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=many_prev_inpt,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,3,85,0,85,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=many_prev_inpt,0
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,2,313,313,0,L1_number_inpatient=many_prev_inpt,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,3,450,0,450,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,3,208,0,208,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,3,1282,0,1282,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,True,ROOT,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,3,51675,51675,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,3,6863,6863,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,0
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab,3,548,548,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab,0
