bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_age=young_old|L2_medical_specialty=Others|L3_time_in_hospital=mid_stay,0.5064695009242144,0.9480968858131488,0.6602409638554216,0.5152855563086363,0.6250966123259492,0.06103454687761233,0.03047978091546033,0.506896551724138,0.06724137931034482,0.9327586206896552,580,0.3,0.0
L1_age=young_old|L2_medical_specialty=Others|L3_time_in_hospital=long_stay,0.5539906103286385,0.9147286821705426,0.6900584795321637,0.5370103587843863,0.6445084722508061,0.11370997580463917,0.07759798633585047,0.47520661157024796,0.11983471074380166,0.8801652892561983,242,0.3,0.0
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,0.5370370370370371,0.7435897435897436,0.6236559139784946,0.6634615384615385,0.7363247863247863,0.3208118263409688,0.3063063063063063,0.5303030303030303,0.45454545454545453,0.5454545454545454,99,0.3,0.0
L1_age=mid_age|L2_medical_specialty=Others|L3_time_in_hospital=short_stay,0.42452830188679247,0.8490566037735849,0.5660377358490566,0.5726052249637156,0.6455974842767297,0.16474371695396148,0.12159329140461228,0.5859188544152745,0.24105011933174225,0.7589498806682577,419,0.3,0.0
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0.5434782608695652,0.9375,0.6880733944954128,0.53125,0.6458333333333334,0.10791646182542891,0.0651230101302459,0.4769736842105263,0.09210526315789473,0.9078947368421053,152,0.3,0.0
L1_age=mid_age|L2_medical_specialty=Others|L3_time_in_hospital=long_stay,0.5619047619047619,0.8309859154929577,0.6704545454545454,0.5119841858166543,0.681986656782802,0.03102748429955255,0.025466001575216612,0.49609375,0.1796875,0.8203125,128,0.3,0.0
L1_age=oldest|L2_medical_specialty=Others|L3_time_in_hospital=mid_stay,0.5176991150442478,0.9435483870967742,0.6685714285714286,0.5099097867687261,0.626127665390924,0.03986868769169678,0.020242914979756943,0.49793388429752067,0.06611570247933884,0.9338842975206612,242,0.3,0.0
L1_age=mid_age|L2_medical_specialty=Others|L3_time_in_hospital=mid_stay,0.5137254901960784,0.9097222222222222,0.656641604010025,0.5359421921921922,0.6862331081081081,0.1080377943628884,0.07114330825671022,0.5102739726027398,0.1267123287671233,0.8732876712328768,292,0.3,0.0
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,0.4050632911392405,0.8205128205128205,0.5423728813559322,0.4906135531135531,0.5778388278388278,-0.024676525075166482,-0.016244057052297922,0.6157894736842106,0.16842105263157894,0.8315789473684211,95,0.3,0.0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0.4166666666666667,0.8823529411764706,0.5660377358490566,0.5211764705882352,0.5035294117647058,0.05940885257860046,0.03592814371257469,0.5952380952380952,0.14285714285714285,0.8571428571428571,42,0.3,0.0
