bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=others,3,27,0,27,L1_age=mid_age|L2_medical_specialty=Cardio,True,L1_age=mid_age|L2_medical_specialty=Cardio,0
L1_age=mid_age|L2_medical_specialty=Cardio,2,0,27,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Cardio,27
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,51,51,0,L1_age=mid_age|L2_medical_specialty=Cardio,False,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,0
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,27,0,27,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed,0
L1_age=mid_age|L2_medical_specialty=InternalMed,2,0,85,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=InternalMed,85
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,58,0,58,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed,0
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,99,99,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,0
L1_age=mid_age|L2_medical_specialty=Others,2,839,0,839,L1_age=mid_age,True,ROOT,0
ROOT,0,0,954,0,ROOT,False,ROOT,954
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,43,43,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=others,3,13,0,13,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare,0
L1_age=mid_age|L2_medical_specialty=PrimaryCare,2,0,78,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare,78
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,65,0,65,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,62,62,0,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,False,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=others,3,19,0,19,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,ROOT,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,96,0,96,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,ROOT,0
L1_age=oldest|L2_medical_specialty=Cardio,2,43,0,43,L1_age=oldest,True,L1_age=oldest,0
L1_age=oldest,1,0,233,0,ROOT,False,L1_age=oldest,233
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,37,0,37,L1_age=oldest|L2_medical_specialty=InternalMed,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,71,71,0,L1_age=oldest|L2_medical_specialty=InternalMed,False,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,61,0,61,L1_age=oldest|L2_medical_specialty=InternalMed,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=Others,2,615,615,0,L1_age=oldest,False,L1_age=oldest|L2_medical_specialty=Others,0
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,35,0,35,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest,0
