bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,14000,6000,0.4702142857142857,0.4701666666666667,0.2,0.1,0.5240833333333333,0.6439420289855072,0.4784631288766368,0.9844026940801134,0.030166666666666668,0.9673333333333334,False,6000,20000,0.4702,0.49424601517469025,0.6519744905167386,global_default,f1_regret_bnd,0.10477536231884055,-0.5240833333333333,0.6288586956521739,False,ROOT,True,val,,,,,,,1,0.4702
L1_age=young_old,L1,ROOT,7146,3078,0.4816680660509376,0.48408057179987,0.2,0.1,0.5115334632878492,0.6551034022681788,0.48985700033255736,0.9885906040268456,0.02079272254710851,0.9769330734243015,False,3078,10224,0.4823943661971831,0.49649933224012305,0.6471615978902168,global_default,f1_regret_bnd,0.1331735777067753,0.10477536231884055,0.028398215387934744,False,L1_age=young_old,True,val,,,,,,,1,0.4823943661971831
L1_age=young_old|L2_medical_specialty=Others,L2,L1_age=young_old,4378,1847,0.481498401096391,0.4894423389279913,0.2,0.1,0.5064970221981592,0.6595273264401773,0.4950110864745011,0.9878318584070797,0.02057390362750406,0.9767190037899296,False,1847,6225,0.483855421686747,0.4965670426711962,0.6573001811203184,global_default,f1_regret_bnd,0.1427433524282661,0.1331735777067753,0.009569774721490815,False,L1_age=young_old|L2_medical_specialty=Others,True,val,,,,,,,1,0.483855421686747
L1_age=mid_age,L1,ROOT,3943,1628,0.4390058331219883,0.4398034398034398,0.2,0.1,0.5420761670761671,0.6092964824120602,0.5536529680365296,0.6773743016759777,0.4619164619164619,0.538083538083538,True,1628,5571,0.43923891581403696,0.33868715083798884,0.6796760144075271,global_default,f1_regret_bnd,-0.16373791562233783,0.10477536231884055,-0.2685132779411784,True,ROOT,True,val,,,,,,,1,0.43923891581403696
L1_age=oldest,L1,ROOT,2911,1294,0.48436963242871867,0.4752704791344668,0.2,0.0,0.5235703245749613,0.6451271186440678,0.4783974862529458,0.9902439024390244,0.01622874806800618,0.9837712519319938,False,1294,4205,0.4815695600475624,0.4951219512195122,0.6181160721769221,global_default,f1_regret_bnd,0.11344242003510338,0.10477536231884055,0.008667057716262833,False,L1_age=oldest,True,val,,,,,,,1,0.4815695600475624
L1_age=mid_age|L2_medical_specialty=Others,L2,L1_age=mid_age,2351,962,0.45087196937473417,0.4386694386694387,0.4,0.2,0.5343035343035343,0.615859938208033,0.5446265938069217,0.7085308056872038,0.369022869022869,0.5706860706860707,False,962,3313,0.44732870510111683,0.39870984728804637,0.6878313147270493,global_default,f1_regret_bnd,-0.10295503060693581,-0.16373791562233783,0.06078288501540202,False,L1_age=mid_age|L2_medical_specialty=Others,True,val,,,,,,,1,0.44732870510111683
L1_age=oldest|L2_medical_specialty=Others,L2,L1_age=oldest,1719,756,0.493891797556719,0.48544973544973546,0.2,0.0,0.5105820105820106,0.6570657065706571,0.4905913978494624,0.9945504087193461,0.015873015873015872,0.9841269841269841,False,756,2475,0.4913131313131313,0.49727520435967304,0.6352906565426616,global_default,f1_regret_bnd,0.1385471880521386,0.11344242003510338,0.025104768017035206,False,L1_age=oldest|L2_medical_specialty=Others,True,val,,,,,,,1,0.4913131313131313
L1_age=young_old|L2_medical_specialty=InternalMed,L2,L1_age=young_old,960,459,0.471875,0.477124183006536,0.2,0.1,0.5163398692810458,0.6517857142857143,0.48344370860927155,1.0,0.013071895424836602,0.9869281045751634,True,459,1419,0.47357293868921774,0.5,0.6562975646879756,global_default,f1_regret_bnd,0.1289098972922502,0.1331735777067753,-0.004263680414525101,True,L1_age=young_old,True,val,L1_age=young_old,,,,,,1,0.47357293868921774
L1_age=young_old|L2_medical_specialty=Surgery_Trauma,L2,L1_age=young_old,840,364,0.47619047619047616,0.44505494505494503,0.2,0.1,0.5288461538461539,0.6214099216710183,0.5384615384615384,0.7345679012345679,0.3516483516483517,0.6071428571428571,True,364,1204,0.46677740863787376,0.3994621684390661,0.6644970052560811,global_default,f1_regret_bnd,-0.08326040799931142,0.1331735777067753,-0.2164339857060867,True,L1_age=young_old,True,val,L1_age=young_old,,,,,,1,0.46677740863787376
L1_age=mid_age|L2_medical_specialty=InternalMed,L2,L1_age=mid_age,545,231,0.43119266055045874,0.44155844155844154,0.3,0.1,0.5324675324675324,0.6268656716417911,0.5060240963855421,0.8235294117647058,0.27705627705627706,0.7186147186147186,False,231,776,0.43427835051546393,0.415640674874601,0.7045903632770937,global_default,f1_regret_bnd,-0.04412999935387987,-0.16373791562233783,0.11960791626845796,False,L1_age=mid_age|L2_medical_specialty=InternalMed,True,val,,,,,,,1,0.43427835051546393
