bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.2,0.0,bucket_wise,ROOT,False
L1_age=mid_age|L2_medical_specialty=Cardio,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Cardio,False
L1_age=mid_age|L2_medical_specialty=InternalMed,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=InternalMed,False
L1_age=mid_age|L2_medical_specialty=PrimaryCare,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,False
L1_age=oldest|L2_medical_specialty=Others,0.3,0.1,bucket_wise,L1_age=oldest|L2_medical_specialty=Others,False
L1_age=oldest|L2_medical_specialty=PrimaryCare,0.1,0.0,bucket_wise,L1_age=oldest|L2_medical_specialty=PrimaryCare,False
L1_age=oldest|L2_medical_specialty=Surgery_Trauma,0.2,0.1,bucket_wise,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False
L1_age=young_old|L2_medical_specialty=Cardio,0.2,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=Cardio,False
L1_age=young_old|L2_medical_specialty=InternalMed,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=InternalMed,False
L1_age=young_old|L2_medical_specialty=Others,0.2,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=Others,False
L1_age=young_old|L2_medical_specialty=PrimaryCare,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=PrimaryCare,False
L1_age=young_old|L2_medical_specialty=Surgery_Trauma,0.3,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,False
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,0.4,0.3,bucket_wise,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,False
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,False
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,False
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0.4,0.2,bucket_wise,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,False
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0.2,0.0,bucket_wise,L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,False
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0.3,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,False
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,False
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0.3,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,False
L1_age=mid_age,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest,0.2,0.0,bucket_wise,ROOT,True
L1_age=young_old,0.2,0.0,bucket_wise,ROOT,True
L1_age=mid_age|L2_medical_specialty=Others,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=Cardio,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=InternalMed,0.2,0.0,bucket_wise,ROOT,True
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Cardio,True
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Cardio,True
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=InternalMed,True
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=InternalMed,True
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,0.3,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,0.2,0.0,bucket_wise,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,0.2,0.0,bucket_wise,ROOT,True
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,0.1,0.0,bucket_wise,L1_age=oldest|L2_medical_specialty=PrimaryCare,True
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0.1,0.0,bucket_wise,L1_age=oldest|L2_medical_specialty=PrimaryCare,True
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,0.1,0.0,bucket_wise,L1_age=oldest|L2_medical_specialty=PrimaryCare,True
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,0.2,0.1,bucket_wise,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,True
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,0.2,0.1,bucket_wise,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,True
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,0.2,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=Cardio,True
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,0.2,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=Cardio,True
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,0.2,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=Cardio,True
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=InternalMed,True
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=InternalMed,True
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=PrimaryCare,True
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0.1,0.0,bucket_wise,L1_age=young_old|L2_medical_specialty=PrimaryCare,True
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,0.3,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,True
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,0.3,0.1,bucket_wise,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,True
