fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,20000,2799,1198,,False,False,ROOT
1,L1_age=mid_age,ROOT,1,L1_age,category_group,mid_age,5571,787,396,,False,True,ROOT
1,L1_age=oldest,ROOT,1,L1_age,category_group,oldest,4205,579,300,,False,False,L1_age=oldest
1,L1_age=young_old,ROOT,1,L1_age,category_group,young_old,10224,1428,612,,False,False,L1_age=young_old
1,L1_age=mid_age|L2_medical_specialty=Cardio,L1_age=mid_age,2,L2_medical_specialty,category_group,Cardio,323,113,90,,False,False,L1_age=mid_age|L2_medical_specialty=Cardio
1,L1_age=mid_age|L2_medical_specialty=InternalMed,L1_age=mid_age,2,L2_medical_specialty,category_group,InternalMed,776,170,127,,False,True,ROOT
1,L1_age=mid_age|L2_medical_specialty=Others,L1_age=mid_age,2,L2_medical_specialty,category_group,Others,3313,2351,962,864.0,True,False,L1_age=mid_age|L2_medical_specialty=Others
1,L1_age=mid_age|L2_medical_specialty=PrimaryCare,L1_age=mid_age,2,L2_medical_specialty,category_group,PrimaryCare,470,94,139,,False,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare
1,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,L1_age=mid_age,2,L2_medical_specialty,category_group,Surgery_Trauma,689,135,122,,False,False,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma
1,L1_age=oldest|L2_medical_specialty=Cardio,L1_age=oldest,2,L2_medical_specialty,category_group,Cardio,167,114,53,43.0,True,True,L1_age=oldest
1,L1_age=oldest|L2_medical_specialty=InternalMed,L1_age=oldest,2,L2_medical_specialty,category_group,InternalMed,668,92,201,,False,True,L1_age=oldest
1,L1_age=oldest|L2_medical_specialty=Others,L1_age=oldest,2,L2_medical_specialty,category_group,Others,2475,1719,756,614.0,True,False,L1_age=oldest|L2_medical_specialty=Others
1,L1_age=oldest|L2_medical_specialty=PrimaryCare,L1_age=oldest,2,L2_medical_specialty,category_group,PrimaryCare,339,227,112,,False,False,L1_age=oldest|L2_medical_specialty=PrimaryCare
1,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,L1_age=oldest,2,L2_medical_specialty,category_group,Surgery_Trauma,556,130,172,,False,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma
1,L1_age=young_old|L2_medical_specialty=Cardio,L1_age=young_old,2,L2_medical_specialty,category_group,Cardio,661,132,110,,False,False,L1_age=young_old|L2_medical_specialty=Cardio
1,L1_age=young_old|L2_medical_specialty=InternalMed,L1_age=young_old,2,L2_medical_specialty,category_group,InternalMed,1419,190,157,,False,False,L1_age=young_old|L2_medical_specialty=InternalMed
1,L1_age=young_old|L2_medical_specialty=Others,L1_age=young_old,2,L2_medical_specialty,category_group,Others,6225,4378,1847,1555.0,True,False,L1_age=young_old|L2_medical_specialty=Others
1,L1_age=young_old|L2_medical_specialty=PrimaryCare,L1_age=young_old,2,L2_medical_specialty,category_group,PrimaryCare,715,171,194,,False,False,L1_age=young_old|L2_medical_specialty=PrimaryCare
1,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,L1_age=young_old,2,L2_medical_specialty,category_group,Surgery_Trauma,1204,167,126,,False,True,L1_age=young_old
1,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,L1_age=mid_age|L2_medical_specialty=Cardio,3,L3_time_in_hospital,numeric_bin,short_stay,216,150,66,59.0,True,True,L1_age=mid_age|L2_medical_specialty=Cardio
1,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=others,L1_age=mid_age|L2_medical_specialty=Cardio,3,L3_time_in_hospital,numeric_bin,others,107,83,24,22.0,True,True,L1_age=mid_age|L2_medical_specialty=Cardio
1,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,L1_age=mid_age|L2_medical_specialty=InternalMed,3,L3_time_in_hospital,numeric_bin,long_stay,107,77,30,33.0,True,True,ROOT
1,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,L1_age=mid_age|L2_medical_specialty=InternalMed,3,L3_time_in_hospital,numeric_bin,mid_stay,258,187,71,73.0,True,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay
1,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,L1_age=mid_age|L2_medical_specialty=InternalMed,3,L3_time_in_hospital,numeric_bin,short_stay,411,281,130,78.0,True,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay
1,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,L1_age=mid_age|L2_medical_specialty=PrimaryCare,3,L3_time_in_hospital,numeric_bin,mid_stay,159,117,42,33.0,True,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare
1,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,L1_age=mid_age|L2_medical_specialty=PrimaryCare,3,L3_time_in_hospital,numeric_bin,short_stay,262,178,84,56.0,True,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare
