bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,36,0,36,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT,0
ROOT,0,0,782,0,ROOT,False,ROOT,782
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,93,0,93,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT,0
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,275,0,275,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT,0
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,140,0,140,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed,0
L1_age=mid_age|L2_medical_specialty=InternalMed,2,0,629,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=InternalMed,629
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,331,331,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,489,0,489,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed,0
L1_age=mid_age|L2_medical_specialty=Others,2,4177,4177,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Others,0
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,60,0,60,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,ROOT,0
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,192,192,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,318,0,318,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,ROOT,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,92,0,92,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,2,0,873,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,873
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,311,0,311,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,0
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,470,0,470,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,0
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,32,0,32,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio,0
L1_age=oldest|L2_medical_specialty=Cardio,2,0,210,0,L1_age=oldest,False,L1_age=oldest|L2_medical_specialty=Cardio,210
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,66,0,66,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio,0
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,112,0,112,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio,0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,191,191,0,L1_age=oldest|L2_medical_specialty=InternalMed,False,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,361,361,0,L1_age=oldest|L2_medical_specialty=InternalMed,False,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,0
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,292,0,292,L1_age=oldest|L2_medical_specialty=InternalMed,True,L1_age=oldest,0
L1_age=oldest,1,0,3802,0,ROOT,False,L1_age=oldest,3802
L1_age=oldest|L2_medical_specialty=Others,2,3089,0,3089,L1_age=oldest,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,67,0,67,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,184,0,184,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,170,0,170,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest,0
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,123,0,123,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,True,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,0
L1_age=oldest|L2_medical_specialty=Surgery_Trauma,2,0,123,0,L1_age=oldest,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,123
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,306,306,0,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,273,273,0,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,0
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,87,0,87,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio,0
L1_age=young_old|L2_medical_specialty=Cardio,2,0,795,0,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=Cardio,795
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,235,0,235,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio,0
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,473,0,473,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio,0
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,316,316,0,L1_age=young_old|L2_medical_specialty=InternalMed,False,L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,0
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,689,0,689,L1_age=young_old|L2_medical_specialty=InternalMed,True,L1_age=young_old|L2_medical_specialty=InternalMed,0
L1_age=young_old|L2_medical_specialty=InternalMed,2,0,1445,0,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=InternalMed,1445
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,756,0,756,L1_age=young_old|L2_medical_specialty=InternalMed,True,L1_age=young_old|L2_medical_specialty=InternalMed,0
L1_age=young_old|L2_medical_specialty=Others,2,7780,0,7780,L1_age=young_old,True,L1_age=young_old,0
L1_age=young_old,1,0,7780,0,ROOT,False,L1_age=young_old,7780
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,144,0,144,L1_age=young_old|L2_medical_specialty=PrimaryCare,True,L1_age=young_old|L2_medical_specialty=PrimaryCare,0
L1_age=young_old|L2_medical_specialty=PrimaryCare,2,0,144,0,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=PrimaryCare,144
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,347,347,0,L1_age=young_old|L2_medical_specialty=PrimaryCare,False,L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,0
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,400,400,0,L1_age=young_old|L2_medical_specialty=PrimaryCare,False,L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,0
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,263,263,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,0
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,645,645,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,0
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,615,615,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,0
