bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
ROOT,L1,,3499,1498,0.48842526436124606,0.465954606141522,0.3,0.0,0.5283711615487316,0.6382765531062125,0.49075500770416025,0.9126074498567335,0.13351134846461948,0.8664886515353805,False,1498,25000,0.47016,0.45630372492836674,0.6368159025787966,global_default,f1_regret_bnd,,,,False,ROOT,False,val,
L1_age=young_old,L1,ROOT,1786,760,0.49048152295632697,0.45921052631578946,0.2,0.0,0.5388157894736842,0.6307129798903108,0.46308724832214765,0.9885386819484241,0.019736842105263157,0.9802631578947368,False,760,12750,0.47890196078431374,0.49426934097421205,0.5853916996074987,global_default,f1_regret_bnd,,,,False,L1_age=young_old,False,val,
L1_age=young_old|L2_medical_specialty=Others,L2,L1_age=young_old,5488,2292,0.4806851311953353,0.47731239092495636,0.3,0.0,0.518324607329843,0.648888888888889,0.4970817120622568,0.9341864716636198,0.10296684118673648,0.8970331588132635,False,2292,7780,0.47969151670951155,0.4670932358318099,0.6469946864518257,global_default,f1_regret_bnd,,,,False,L1_age=young_old|L2_medical_specialty=Others,False,val,
L1_age=mid_age,L1,ROOT,977,415,0.4554759467758444,0.43373493975903615,0.4,0.1,0.519277108433735,0.6390243902439023,0.5695652173913044,0.7277777777777777,0.4433734939759036,0.5542168674698795,False,415,6984,0.4428694158075601,0.36601654846335696,0.71,global_default,f1_regret_bnd,,,,False,L1_age=mid_age,False,val,
L1_age=oldest,L1,ROOT,729,360,0.46364883401920437,0.5027777777777778,0.3,0.0,0.48055555555555557,0.6850393700787403,0.5321100917431193,0.9613259668508287,0.09166666666666666,0.9083333333333333,False,360,5266,0.48518799848082034,0.48066298342541436,0.63150097225223,global_default,f1_regret_bnd,,,,False,L1_age=oldest,False,val,
L1_age=mid_age|L2_medical_specialty=Others,L2,L1_age=mid_age,2928,1249,0.4426229508196721,0.46036829463570855,0.3,0.0,0.5192153722978383,0.6463104325699746,0.5095285857572718,0.8834782608695653,0.20176140912730184,0.7982385908726981,False,1249,4177,0.44792913574335647,0.44173913043478263,0.6813056379821958,global_default,f1_regret_bnd,,,,False,L1_age=mid_age|L2_medical_specialty=Others,False,val,
L1_age=oldest|L2_medical_specialty=Others,L2,L1_age=oldest,2133,956,0.5063291139240507,0.5,0.3,0.0,0.49267782426778245,0.6734397677793903,0.5155555555555555,0.9707112970711297,0.058577405857740586,0.9414225941422594,False,956,3089,0.5043703463904176,0.48535564853556484,0.6164632972111833,global_default,f1_regret_bnd,,,,False,L1_age=oldest|L2_medical_specialty=Others,False,val,
L1_age=young_old|L2_medical_specialty=InternalMed,L2,L1_age=young_old,235,193,0.425531914893617,0.48704663212435234,0.3,0.0,0.5077720207253886,0.6590909090909091,0.5117647058823529,0.925531914893617,0.11917098445595854,0.8808290155440415,False,193,1761,0.47075525269733104,0.4627659574468085,0.5817751987964753,global_default,f1_regret_bnd,,,,False,L1_age=young_old|L2_medical_specialty=InternalMed,False,val,
L1_age=young_old|L2_medical_specialty=Surgery_Trauma,L2,L1_age=young_old,218,144,0.518348623853211,0.4097222222222222,0.4,0.2,0.5555555555555556,0.5714285714285714,0.4772727272727273,0.711864406779661,0.3541666666666667,0.6111111111111112,False,144,1523,0.4681549573210768,0.38534396809571286,0.5898305084745763,global_default,f1_regret_bnd,,,,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,val,
L1_age=mid_age|L2_medical_specialty=InternalMed,L2,L1_age=mid_age,133,88,0.42857142857142855,0.4318181818181818,0.4,0.3,0.5056818181818182,0.6363636363636364,0.56,0.7368421052631579,0.22727272727272727,0.5681818181818182,False,88,960,0.440625,0.5184210526315789,0.7173684210526314,global_default,f1_regret_bnd,,,,False,L1_age=mid_age|L2_medical_specialty=InternalMed,False,val,
