bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,36,36,0,0,L1_age=mid_age|L2_medical_specialty=Cardio,False,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,93,93,0,0,L1_age=mid_age|L2_medical_specialty=Cardio,False,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,275,275,0,0,L1_age=mid_age|L2_medical_specialty=Cardio,False,L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,140,140,0,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,331,331,0,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,489,489,0,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay
L1_age=mid_age|L2_medical_specialty=Others,2,4177,4177,0,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Others
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,60,60,0,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,192,192,0,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,318,318,0,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,92,92,0,0,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,False,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay
