bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,36,0,36,0,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT
ROOT,0,0,782,0,782,ROOT,False,ROOT
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,93,0,93,0,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,275,0,275,0,L1_age=mid_age|L2_medical_specialty=Cardio,True,ROOT
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,140,0,140,0,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed
L1_age=mid_age|L2_medical_specialty=InternalMed,2,0,629,0,629,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=InternalMed
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,331,331,0,0,L1_age=mid_age|L2_medical_specialty=InternalMed,False,L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,489,0,489,0,L1_age=mid_age|L2_medical_specialty=InternalMed,True,L1_age=mid_age|L2_medical_specialty=InternalMed
L1_age=mid_age|L2_medical_specialty=Others,2,4177,4177,0,0,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Others
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,60,0,60,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,ROOT
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,192,192,0,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,318,0,318,0,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,ROOT
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,92,0,92,0,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,2,0,873,0,873,L1_age=mid_age,False,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,311,0,311,0,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,470,0,470,0,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,True,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,32,0,32,0,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio
L1_age=oldest|L2_medical_specialty=Cardio,2,0,210,0,210,L1_age=oldest,False,L1_age=oldest|L2_medical_specialty=Cardio
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,66,0,66,0,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio
L1_age=oldest|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,112,0,112,0,L1_age=oldest|L2_medical_specialty=Cardio,True,L1_age=oldest|L2_medical_specialty=Cardio
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,191,191,0,0,L1_age=oldest|L2_medical_specialty=InternalMed,False,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,361,361,0,0,L1_age=oldest|L2_medical_specialty=InternalMed,False,L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay
L1_age=oldest|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,292,0,292,0,L1_age=oldest|L2_medical_specialty=InternalMed,True,L1_age=oldest
L1_age=oldest,1,0,3802,0,3802,ROOT,False,L1_age=oldest
L1_age=oldest|L2_medical_specialty=Others,2,3089,0,3089,0,L1_age=oldest,True,L1_age=oldest
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,67,0,67,0,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,184,0,184,0,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest
L1_age=oldest|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,170,0,170,0,L1_age=oldest|L2_medical_specialty=PrimaryCare,True,L1_age=oldest
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,123,0,123,0,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,True,L1_age=oldest|L2_medical_specialty=Surgery_Trauma
L1_age=oldest|L2_medical_specialty=Surgery_Trauma,2,0,123,0,123,L1_age=oldest,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,306,306,0,0,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay
L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,273,273,0,0,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False,L1_age=oldest|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=long_stay,3,87,0,87,0,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio
L1_age=young_old|L2_medical_specialty=Cardio,2,0,795,0,795,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=Cardio
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=mid_stay,3,235,0,235,0,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio
L1_age=young_old|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,3,473,0,473,0,L1_age=young_old|L2_medical_specialty=Cardio,True,L1_age=young_old|L2_medical_specialty=Cardio
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,3,316,316,0,0,L1_age=young_old|L2_medical_specialty=InternalMed,False,L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,3,689,0,689,0,L1_age=young_old|L2_medical_specialty=InternalMed,True,L1_age=young_old|L2_medical_specialty=InternalMed
L1_age=young_old|L2_medical_specialty=InternalMed,2,0,1445,0,1445,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=InternalMed
L1_age=young_old|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,3,756,0,756,0,L1_age=young_old|L2_medical_specialty=InternalMed,True,L1_age=young_old|L2_medical_specialty=InternalMed
L1_age=young_old|L2_medical_specialty=Others,2,7780,0,7780,0,L1_age=young_old,True,L1_age=young_old
L1_age=young_old,1,0,7780,0,7780,ROOT,False,L1_age=young_old
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=long_stay,3,144,0,144,0,L1_age=young_old|L2_medical_specialty=PrimaryCare,True,L1_age=young_old|L2_medical_specialty=PrimaryCare
L1_age=young_old|L2_medical_specialty=PrimaryCare,2,0,144,0,144,L1_age=young_old,False,L1_age=young_old|L2_medical_specialty=PrimaryCare
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,3,347,347,0,0,L1_age=young_old|L2_medical_specialty=PrimaryCare,False,L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay
L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,3,400,400,0,0,L1_age=young_old|L2_medical_specialty=PrimaryCare,False,L1_age=young_old|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay,3,263,263,0,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=long_stay
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay,3,645,645,0,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=mid_stay
L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay,3,615,615,0,0,L1_age=young_old|L2_medical_specialty=Surgery_Trauma,False,L1_age=young_old|L2_medical_specialty=Surgery_Trauma|L3_time_in_hospital=short_stay
