bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,3,78,78,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,3,35,0,35,L1_VisitorType=new|L2_Month=high_season,True,L1_VisitorType=new,0
L1_VisitorType=new,1,0,72,0,ROOT,False,L1_VisitorType=new,72
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,3,33,0,33,L1_VisitorType=new|L2_Month=high_season,True,L1_VisitorType=new,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,3,52,0,52,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season,0
L1_VisitorType=new|L2_Month=low_season,2,0,100,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=low_season,100
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,3,21,0,21,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,3,27,0,27,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,3,44,0,44,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season,0
L1_VisitorType=new|L2_Month=mid_season,2,0,93,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=mid_season,93
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,3,25,0,25,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,3,24,0,24,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season,0
L1_VisitorType=new|L2_Month=others,2,4,0,4,L1_VisitorType=new,True,L1_VisitorType=new,0
L1_VisitorType=others,1,17,0,17,ROOT,True,ROOT,0
ROOT,0,0,59,0,ROOT,False,ROOT,59
L1_VisitorType=returning|L2_Month=OTHER|L3_Region=others,3,21,0,21,L1_VisitorType=returning|L2_Month=OTHER,True,ROOT,0
L1_VisitorType=returning|L2_Month=OTHER|L3_Region=region_1_2,3,21,0,21,L1_VisitorType=returning|L2_Month=OTHER,True,ROOT,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,3,395,395,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,3,248,248,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,3,152,152,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,3,249,249,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,3,160,160,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,3,105,105,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,3,335,335,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,3,235,0,235,L1_VisitorType=returning|L2_Month=mid_season,True,L1_VisitorType=returning|L2_Month=mid_season,0
L1_VisitorType=returning|L2_Month=mid_season,2,0,235,0,L1_VisitorType=returning,False,L1_VisitorType=returning|L2_Month=mid_season,235
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,3,185,185,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,0
