bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,1420,605,0.14859154929577464,0.16198347107438016,0.2,0.1,0.2628099173553719,0.6216216216216216,0.5564516129032258,0.7040816326530612,0.05950413223140496,0.2049586776859504,False,605,9864,0.15480535279805352,0.7721591595217969,0.907177072012237,f1_regret_bnd,0.32905963815054723,-0.23226351351351351,0.5613231516640608,False,ROOT,,,,,,,1,0.15480535279805352
L1_VisitorType=returning,L1,ROOT,1178,556,0.12903225806451613,0.13129496402877697,0.2,0.1,0.31115107913669066,0.5194805194805194,0.49382716049382713,0.547945205479452,0.1079136690647482,0.14568345323741008,True,556,8424,0.13829534662867995,0.6797697041890014,0.8637510990101818,f1_regret_bnd,0.15437260581145468,0.32905963815054723,-0.17468703233909255,True,ROOT,,,,,,,1,0.13829534662867995
L1_VisitorType=returning|L2_Month=high_season,L2,L1_VisitorType=returning,442,181,0.19457013574660634,0.23756906077348067,0.2,0.1,0.4143646408839779,0.625,0.5660377358490566,0.6976744186046512,0.13259668508287292,0.292817679558011,True,181,3127,0.19475535657179405,0.6930401078530501,0.8156386922817661,f1_regret_bnd,0.14433701657458564,0.15437260581145468,-0.010035589236869036,True,ROOT,,,,,,,1,0.19475535657179405
L1_VisitorType=returning|L2_Month=mid_season,L2,L1_VisitorType=returning,411,187,0.09732360097323602,0.1443850267379679,0.2,0.1,0.2540106951871658,0.6415094339622641,0.6538461538461539,0.6296296296296297,0.016042780748663103,0.13903743315508021,False,187,3001,0.09763412195934688,0.7804398148148148,0.9189814814814814,f1_regret_bnd,0.3794773484007668,0.15437260581145468,0.22510474258931212,False,L1_VisitorType=returning|L2_Month=mid_season,,,,,,,1,0.09763412195934688
L1_VisitorType=returning|L2_Month=low_season,L2,L1_VisitorType=returning,296,121,0.14189189189189189,0.05785123966942149,0.2,0.1,0.05785123966942149,0.7000000000000001,0.5384615384615384,1.0,0.01652892561983471,0.10743801652892562,False,121,2091,0.11956001912960305,0.9649122807017544,0.9724310776942356,f1_regret_bnd,0.6338842975206612,0.15437260581145468,0.47951169170920654,False,L1_VisitorType=returning|L2_Month=low_season,,,,,,,1,0.11956001912960305
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L3,L1_VisitorType=returning|L2_Month=high_season,1109,454,0.2146077547339946,0.23127753303964757,0.2,0.1,0.4041850220264317,0.5945945945945945,0.5,0.7333333333333333,0.10792951541850221,0.3392070484581498,True,454,1563,0.21944977607165708,0.7004775549188156,0.8130440714967935,f1_regret_bnd,0.13644481485891172,0.14433701657458564,-0.007892201715673924,True,ROOT,,359.0,0.20612813370473537,0.0,0.3426183844011142,0.2883008356545961,1,0.21944977607165708
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,L3,L1_VisitorType=returning|L2_Month=mid_season,951,445,0.08832807570977919,0.10337078651685393,0.3,0.1,0.13820224719101123,0.7000000000000001,0.6481481481481481,0.7608695652173914,0.033707865168539325,0.12134831460674157,False,445,1396,0.09312320916905444,0.8415876648142094,0.958864552686063,f1_regret_bnd,0.5449438202247191,0.3794773484007668,0.1654664718239523,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,,353.0,0.12181303116147309,0.0,0.1671388101983003,0.1813031161473088,1,0.09312320916905444
L1_VisitorType=new,L1,ROOT,204,87,0.24019607843137256,0.28735632183908044,0.2,0.1,0.28160919540229884,0.7636363636363636,0.7,0.84,0.05747126436781609,0.3448275862068966,False,87,1373,0.25491624180626365,0.8151612903225807,0.9303225806451614,f1_regret_bnd,0.45329153605015665,0.32905963815054723,0.12423189789960942,False,L1_VisitorType=new,,,,,,,1,0.25491624180626365
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L3,L1_VisitorType=returning|L2_Month=low_season,747,285,0.12985274431057564,0.10877192982456141,0.2,0.1,0.12105263157894737,0.7123287671232876,0.6190476190476191,0.8387096774193549,0.031578947368421054,0.14736842105263157,True,285,1032,0.12403100775193798,0.8740792481584964,0.936245872491745,f1_regret_bnd,0.5754866618601296,0.6338842975206612,-0.05839763566053158,True,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning|L2_Month=low_season,268.0,0.08582089552238806,0.0,0.11194029850746269,0.09888059701492537,1,0.12403100775193798
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L3,L1_VisitorType=returning|L2_Month=high_season,671,248,0.18777943368107303,0.1935483870967742,0.4,0.2,0.3709677419354839,0.5806451612903225,0.6,0.5625,0.08870967741935484,0.1814516129032258,False,248,919,0.1893362350380849,0.69875,0.8482291666666667,f1_regret_bnd,0.1653225806451612,0.14433701657458564,0.020985564070575558,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,,226.0,0.18584070796460178,0.0,0.17256637168141592,0.2831858407079646,1,0.1893362350380849
