bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_VisitorType=new,0.5,0.1,bucket_wise,L1_VisitorType=new,False
L1_VisitorType=new|L2_Month=low_season,0.2,0.1,bucket_wise,L1_VisitorType=new|L2_Month=low_season,False
L1_VisitorType=new|L2_Month=mid_season,0.4,0.3,bucket_wise,L1_VisitorType=new|L2_Month=mid_season,False
L1_VisitorType=returning|L2_Month=high_season,0.4,0.2,bucket_wise,L1_VisitorType=returning|L2_Month=high_season,False
L1_VisitorType=returning|L2_Month=low_season,0.5,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=low_season,False
L1_VisitorType=returning|L2_Month=mid_season,0.2,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=mid_season,False
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,0.5,0.4,bucket_wise,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,False
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,0.2,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,False
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,0.6,0.5,bucket_wise,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,False
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,0.4,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,False
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,0.2,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,False
L1_VisitorType=returning,0.4,0.2,bucket_wise,ROOT,True
L1_VisitorType=others,0.4,0.2,bucket_wise,ROOT,True
L1_VisitorType=new|L2_Month=high_season,0.5,0.1,bucket_wise,L1_VisitorType=new,True
L1_VisitorType=new|L2_Month=others,0.5,0.1,bucket_wise,L1_VisitorType=new,True
L1_VisitorType=returning|L2_Month=others,0.4,0.2,bucket_wise,ROOT,True
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,0.5,0.1,bucket_wise,L1_VisitorType=new,True
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,0.5,0.1,bucket_wise,L1_VisitorType=new,True
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,0.2,0.1,bucket_wise,L1_VisitorType=new|L2_Month=low_season,True
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,0.2,0.1,bucket_wise,L1_VisitorType=new|L2_Month=low_season,True
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,0.2,0.1,bucket_wise,L1_VisitorType=new|L2_Month=low_season,True
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,0.4,0.3,bucket_wise,L1_VisitorType=new|L2_Month=mid_season,True
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,0.4,0.3,bucket_wise,L1_VisitorType=new|L2_Month=mid_season,True
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,0.4,0.3,bucket_wise,L1_VisitorType=new|L2_Month=mid_season,True
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,0.4,0.2,bucket_wise,L1_VisitorType=returning|L2_Month=high_season,True
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,0.4,0.2,bucket_wise,L1_VisitorType=returning|L2_Month=high_season,True
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,0.4,0.2,bucket_wise,L1_VisitorType=returning|L2_Month=high_season,True
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,0.2,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=mid_season,True
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,0.2,0.1,bucket_wise,L1_VisitorType=returning|L2_Month=mid_season,True
