bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,1420,605,0.14859154929577464,0.16198347107438016,0.2,0.1,0.2628099173553719,0.6216216216216216,0.5564516129032258,0.7040816326530612,0.05950413223140496,0.2049586776859504,605,False,,f1_regret_bnd,0.32905963815054723,-0.23226351351351351,0.5613231516640608,ROOT,False,1
L1_VisitorType=new,L1,ROOT,204,87,0.24019607843137256,0.28735632183908044,0.2,0.1,0.28160919540229884,0.7636363636363636,0.7,0.84,0.05747126436781609,0.3448275862068966,87,False,,f1_regret_bnd,0.45329153605015665,0.32905963815054723,0.12423189789960942,L1_VisitorType=new,False,1
L1_VisitorType=returning,L1,ROOT,1178,556,0.13242784380305603,0.12589928057553956,0.3,0.1,0.18794964028776978,0.6666666666666666,0.6144578313253012,0.7285714285714285,0.10611510791366907,0.14928057553956833,556,False,,f1_regret_bnd,0.4256594724220623,0.32905963815054723,0.09659983427151508,L1_VisitorType=returning,False,1
L1_VisitorType=others,L1,ROOT,49,18,0.20408163265306123,0.1111111111111111,0.2,0.1,0.08208955223880597,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.014925373134328358,0.1791044776119403,67,True,,f1_regret_bnd,,0.32905963815054723,,ROOT,True,1
L1_VisitorType=new|L2_Month=high_season,L2,L1_VisitorType=new,85,103,0.27058823529411763,0.3106796116504854,0.2,0.1,0.32524271844660196,0.7619047619047619,0.7741935483870968,0.75,0.18446601941747573,0.30097087378640774,103,True,L1_VisitorType=new,f1_regret_bnd,0.344429033749422,0.45329153605015665,-0.10886250230073463,L1_VisitorType=new,True,1
L1_VisitorType=new|L2_Month=low_season,L2,L1_VisitorType=new,162,128,0.18518518518518517,0.203125,0.5,0.2,0.1015625,0.9019607843137256,0.92,0.8846153846153846,0.03125,0.1953125,128,False,,f1_regret_bnd,0.7847732843137256,0.45329153605015665,0.33148174826356896,L1_VisitorType=new|L2_Month=low_season,False,1
L1_VisitorType=new|L2_Month=mid_season,L2,L1_VisitorType=new,146,109,0.2534246575342466,0.25688073394495414,0.6,0.3,0.12844036697247707,0.8771929824561403,0.8620689655172413,0.8928571428571429,0.01834862385321101,0.26605504587155965,109,False,,f1_regret_bnd,0.7395783035570578,0.45329153605015665,0.28628676750690113,L1_VisitorType=new|L2_Month=mid_season,False,1
L1_VisitorType=new|L2_Month=others,L2,L1_VisitorType=new,18,7,0.16666666666666666,0.42857142857142855,0.2,0.1,0.0,1.0,1.0,1.0,0.0,0.24,25,True,L1_VisitorType=new,f1_regret_bnd,,0.45329153605015665,,L1_VisitorType=new,True,1
L1_VisitorType=returning|L2_Month=high_season,L2,L1_VisitorType=returning,442,181,0.19909502262443438,0.2265193370165746,0.3,0.1,0.3701657458563536,0.6373626373626374,0.58,0.7073170731707317,0.143646408839779,0.27624309392265195,181,True,L1_VisitorType=returning,f1_regret_bnd,0.19537368708639435,0.4256594724220623,-0.23028578533566796,L1_VisitorType=returning,True,1
L1_VisitorType=returning|L2_Month=low_season,L2,L1_VisitorType=returning,296,121,0.11486486486486487,0.1322314049586777,0.3,0.1,0.1115702479338843,0.7777777777777777,0.7,0.875,0.04132231404958678,0.1652892561983471,121,False,,f1_regret_bnd,0.6455463728191,0.4256594724220623,0.21988690039703768,L1_VisitorType=returning|L2_Month=low_season,False,1
