bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,3,356,356,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,3,206,206,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,0
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,3,192,192,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,3,232,232,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,3,119,0,119,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season,0
L1_VisitorType=new|L2_Month=low_season,2,0,233,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=low_season,233
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,3,114,0,114,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,3,206,206,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,3,121,0,121,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season,0
L1_VisitorType=new|L2_Month=mid_season,2,0,239,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=mid_season,239
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,3,118,0,118,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season,0
L1_VisitorType=new|L2_Month=others,2,30,0,30,L1_VisitorType=new,True,L1_VisitorType=new,0
L1_VisitorType=new,1,0,30,0,ROOT,False,L1_VisitorType=new,30
L1_VisitorType=others,1,85,0,85,ROOT,True,ROOT,0
ROOT,0,0,2264,0,ROOT,False,ROOT,2264
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,3,1922,0,1922,L1_VisitorType=returning|L2_Month=high_season,True,ROOT,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,3,1145,1145,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,3,820,820,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,3,1300,0,1300,L1_VisitorType=returning|L2_Month=low_season,True,L1_VisitorType=returning|L2_Month=low_season,0
L1_VisitorType=returning|L2_Month=low_season,2,0,2038,0,L1_VisitorType=returning,False,L1_VisitorType=returning|L2_Month=low_season,2038
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,3,738,0,738,L1_VisitorType=returning|L2_Month=low_season,True,L1_VisitorType=returning|L2_Month=low_season,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,3,585,585,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,3,1749,1749,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,3,1164,1164,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,3,871,871,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=others,2,257,0,257,L1_VisitorType=returning,True,ROOT,0
