bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,1779,753,0.7749748410691932,0.7279693486590039,0.9408090130335534,0.21713147410358566,0.12616201859229748,0.17264276228419656,f1_regret_bnd,0.44775686525926944,-0.22898080562314138,0.6767376708824109,False,ROOT
L1_VisitorType=new,ROOT,1,252,109,0.862012987012987,0.8275862068965517,0.9090909090909092,0.3119266055045872,0.0,0.23853211009174313,f1_regret_bnd,0.5156596013919645,0.44775686525926944,0.0679027361326951,False,L1_VisitorType=new
L1_VisitorType=others,ROOT,1,67,18,0.9470108695652174,0.9090909090909091,0.9963768115942029,0.047058823529411764,0.023529411764705882,0.2,f1_regret_bnd,,0.44775686525926944,,True,ROOT
L1_VisitorType=returning,ROOT,1,1473,633,0.785519536281666,0.6666666666666667,0.9268570201803349,0.2037914691943128,0.0631911532385466,0.1406003159557662,f1_regret_bnd,0.43127962085308064,0.44775686525926944,-0.016477244406188807,True,ROOT
L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,104,133,0.6571428571428571,0.6461538461538462,0.8177842565597668,0.4849624060150376,0.17293233082706766,0.22556390977443608,f1_regret_bnd,0.07472527472527477,0.5156596013919645,-0.44093432666668975,True,L1_VisitorType=new
L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,65,135,0.9246909564085881,0.8813559322033899,0.9668184775536761,0.12222222222222222,0.007407407407407408,0.2222222222222222,f1_regret_bnd,0.755430006277464,0.5156596013919645,0.2397704048854995,False,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,62,133,0.934915164369035,0.9249999999999999,0.974814422057264,0.13909774436090225,0.007518796992481203,0.2932330827067669,f1_regret_bnd,0.782142857142857,0.5156596013919645,0.2664832557508925,False,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,19,11,0.9068322981366459,0.8571428571428571,0.968944099378882,0.16666666666666666,0.0,0.23333333333333334,f1_regret_bnd,,0.5156596013919645,,True,L1_VisitorType=new
L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,535,240,0.6637085216624408,0.5882352941176471,0.8495204497850293,0.325,0.2,0.22916666666666666,f1_regret_bnd,0.16323529411764706,0.43127962085308064,-0.26804432673543355,True,ROOT
L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,369,153,0.8517316017316017,0.7727272727272727,0.9556277056277056,0.15359477124183007,0.058823529411764705,0.1503267973856209,f1_regret_bnd,0.5897207367795603,0.43127962085308064,0.15844111592647964,False,L1_VisitorType=returning|L2_Month=low_season
