fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.591337099811676,0.8241469816272966,0.6885964912280702,0.860035121509092,0.9365030809997672,0.6331442050763232,0.6202800956424145,0.08475263584752636,0.17518248175182483,0.2070154095701541
2,BTTWD,0.5734406438631791,0.7480314960629921,0.6492027334851936,0.8231764194943259,0.9202137502596348,0.5823500616260845,0.5748356782282469,0.06204379562043796,0.17883211678832117,0.241889699918897
3,BTTWD,0.5714285714285714,0.806282722513089,0.6688382193268185,0.8477190963813046,0.9305039141401454,0.6088409246690543,0.595496372466239,0.0681265206812652,0.20194647201946472,0.21613949716139497
4,BTTWD,0.575139146567718,0.8115183246073299,0.6731813246471228,0.8508167438775613,0.9254328667182523,0.6142647699094996,0.6008013380732391,0.09002433090024331,0.18288726682887266,0.22019464720194648
5,BTTWD,0.5333333333333333,0.774869109947644,0.6318036286019211,0.8252944398106743,0.9247721357437871,0.5636510746854446,0.5490511612819102,0.06366585563665855,0.1735604217356042,0.24635036496350365
1,LogReg,0.7644444444444445,0.45144356955380577,0.5676567656765676,0.7130119526426103,0.9026618075618246,0.5347333850957169,0.5116263248840089,0.0,,0.3605028386050284
2,LogReg,0.7123287671232876,0.4094488188976378,0.52,0.6896164957797541,0.8781082220837504,0.4818346586392728,0.4589806524153629,0.0,,0.3905109489051095
3,LogReg,0.7044534412955465,0.45549738219895286,0.5532591414944356,0.7102342957060024,0.8838294258926149,0.5067420814947543,0.49138068975033866,0.0,,0.36699107866991076
4,LogReg,0.7470817120622568,0.5026178010471204,0.6009389671361501,0.7357138909266312,0.9051172734672549,0.5582532905602399,0.5441364741566419,0.0,,0.33454987834549876
5,LogReg,0.676,0.4424083769633508,0.5348101265822784,0.7017704072916562,0.8966910693290189,0.4837412502555701,0.4698371933847747,0.0,,0.37834549878345497
1,RandomForest,0.6981132075471698,0.6797900262467191,0.6888297872340424,0.8130364999339111,0.9364546158348912,0.632938514988346,0.6328606058292454,0.0,,0.24330900243309003
2,RandomForest,0.6762177650429799,0.6194225721784777,0.6465753424657534,0.7826129647463131,0.9221517274369481,0.5860901893276118,0.5853144419198535,0.0,,0.28102189781021897
3,RandomForest,0.6600496277915633,0.6963350785340314,0.6777070063694268,0.8152980575011808,0.9229482167800545,0.6170632646370307,0.6167509665720263,0.0,,0.24371451743714517
4,RandomForest,0.6978609625668449,0.6832460732984293,0.6904761904761905,0.814511712273015,0.9287917918622062,0.6344986702318393,0.634449118183661,0.0,,0.24209245742092458
5,RandomForest,0.6569148936170213,0.6465968586387435,0.6517150395778365,0.7923483333500819,0.9181798997095798,0.588496780418656,0.5884710397961015,0.0,,0.2712895377128954
1,KNN,0.5977859778597786,0.4251968503937008,0.49693251533742333,0.6864593364678336,0.8054822283905159,0.4309508482128327,0.42279976879107706,0.0,,0.39943227899432276
2,KNN,0.6486486486486487,0.4409448818897638,0.5249999999999999,0.6986498989784551,0.7863731062394179,0.4683632523036903,0.45711219351110377,0.0,,0.3824006488240065
3,KNN,0.6470588235294118,0.4895287958115183,0.5573770491803279,0.720292228999809,0.8122600767754318,0.4956003173977747,0.4892202330722719,0.0,,0.35766423357664234
4,KNN,0.6301369863013698,0.4816753926701571,0.5459940652818991,0.7149259880817196,0.8259036689411221,0.4813691689342312,0.4756093832088484,0.0,,0.36496350364963503
5,KNN,0.5927272727272728,0.42670157068062825,0.4961948249619482,0.6864793841886826,0.8094519701339551,0.42870033717074013,0.4211275816240705,0.0,,0.4006488240064882
1,XGBoost,0.701058201058201,0.6955380577427821,0.6982872200263505,0.8206707075284654,0.938624218735248,0.6434186662583384,0.6434116456962299,0.0,,0.23398215733982158
2,XGBoost,0.6824512534818942,0.6430446194225722,0.6621621621621622,0.7941841802148832,0.9248764767713389,0.6029556038748718,0.6025867637218765,0.0,,0.26682887266828875
3,XGBoost,0.6804123711340206,0.6910994764397905,0.6857142857142857,0.8157992583734461,0.9328805358201606,0.6276001024323229,0.6275733467799309,0.0,,0.24168694241686942
4,XGBoost,0.6770025839793282,0.6858638743455497,0.681404421326398,0.8129415341017576,0.930243892634985,0.6225740499089054,0.6225555792953772,0.0,,0.24533657745336576
5,XGBoost,0.6414141414141414,0.6649214659685864,0.652956298200514,0.7983916350956175,0.9255145159831576,0.5881179205576545,0.5879836931096705,0.0,,0.26520681265206814
