bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,baseline_precision,baseline_recall,baseline_f1,baseline_bac,baseline_auc,baseline_mcc,baseline_kappa,baseline_regret,baseline_bnd_ratio,baseline_pos_coverage
ROOT,,0,22398,9599,0.8054708939071427,0.7744345299854742,0.9457420951331597,0.2121575164079591,0.1027190332326284,0.2539847900823002,f1_regret_bnd,0.5109174969612008,-0.2118541666666666,0.7227716636278675,False,ROOT,,,,,,,,,,
L1_group=A,ROOT,1,5554,2399,0.6039655922787435,0.3368421052631579,0.9378408130872226,0.0800333472280116,0.0325135473113797,0.011671529804085,f1_regret_bnd,0.2405519843794563,0.5109174969612008,-0.2703655125817444,True,ROOT,0.6259541984732825,0.3319838056680162,0.4338624338624339,0.6634842262731073,0.9443815033213298,0.44632956902952114,0.42401830125490636,0.06264350603973246,0.034042128381751025,0.013077767794748927
L1_group=B,ROOT,1,5591,2397,0.7084070189983653,0.5835010060362172,0.9134676780407246,0.2042136003337505,0.0830204422194409,0.0892782644972882,f1_regret_bnd,0.3377771845927462,0.5109174969612008,-0.1731403123684545,True,ROOT,0.700312174817898,0.5520918785890074,0.6174311926605505,0.7595906770387615,0.9242349802000831,0.5763015587243994,0.5712089338098675,0.1973420260782347,0.08836509528585758,0.09638916750250752
L1_group=C,ROOT,1,5627,2426,0.7005333243589834,0.7155049786628734,0.9067895680267528,0.2910140148392415,0.2230008244023083,0.3206924979389942,f1_regret_bnd,0.3129905516224777,0.5109174969612008,-0.1979269453387231,True,ROOT,0.7153571428571428,0.7393872277593208,0.7271737157378834,0.815630393149773,0.9104344197244407,0.6247867556833898,0.6246253746253747,0.2841269841269841,0.14285714285714285,0.2777777777777778
L1_group=D,ROOT,1,5625,2376,0.6917392190612575,0.8589445735147694,0.9024433679225082,0.2765151515151515,0.1203703703703703,0.6717171717171717,f1_regret_bnd,0.5222442368144327,0.5109174969612008,0.0113267398532318,False,L1_group=D,0.7987239860246088,0.9029709771595398,0.8476543607931646,0.7902932744678477,0.8949483401880203,0.6048211154203278,0.5968194182613816,0.2852612503775295,0.13127957314003827,0.662740360414779
L1_group=A|L2_x1=high,L1_group=A,2,8727,3695,0.6176319340453191,0.3578947368421053,0.9276645987263245,0.0492557510148849,0.020297699594046,0.0075778078484438,f1_regret_bnd,0.2984901360301973,0.2405519843794563,0.0579381516507409,False,L1_group=A|L2_x1=high,0.5517241379310345,0.32,0.4050632911392405,0.6577785372522215,0.9448188653451812,0.41286780398544937,0.39763311570860105,0.04401881720430108,0.023185483870967742,0.009744623655913979
L1_group=A|L2_x1=low,L1_group=A,2,8476,3680,0.6200357613401092,0.3819095477386934,0.931578818157268,0.0953804347826087,0.0388586956521739,0.0165760869565217,f1_regret_bnd,0.2670997651299978,0.2405519843794563,0.0265477807505414,False,L1_group=A|L2_x1=low,0.6507936507936508,0.36936936936936937,0.4712643678160919,0.6810057549187984,0.9426978818283166,0.4767111421899169,0.4571946087049171,0.07884553369880684,0.04643663334408255,0.020316027088036117
L1_group=A|L2_x1=mid,L1_group=A,2,10571,4620,0.5741804025727156,0.2647058823529412,0.9209349963978508,0.0661255411255411,0.0313852813852813,0.0073593073593073,f1_regret_bnd,0.1828877005347593,0.2405519843794563,-0.057664283844697,True,ROOT,0.6410256410256411,0.29069767441860467,0.4000000000000001,0.6435325424506101,0.9410941214805517,0.42370654785625844,0.39171497266319744,0.06395939086294417,0.03248730964467005,0.009898477157360405
L1_group=B|L2_x1=high,L1_group=B,2,8626,3646,0.7038072122052705,0.5652173913043479,0.9211685159500694,0.1792375205704882,0.0677454744925946,0.068019747668678,f1_regret_bnd,0.3521071334875624,0.3377771845927462,0.0143299488948161,False,L1_group=B|L2_x1=high,0.7045454545454546,0.5308219178082192,0.60546875,0.7537118948292356,0.9345961912088131,0.5771578414450457,0.5703497394967298,0.15553745928338764,0.07133550488599348,0.07166123778501629
L1_group=B|L2_x1=low,L1_group=B,2,8791,3716,0.7035730317521391,0.6446428571428572,0.910264822550798,0.2360064585575888,0.1886437029063509,0.1528525296017222,f1_regret_bnd,0.3143145471320929,0.3377771845927462,-0.0234626374606533,True,ROOT,0.690537084398977,0.5708245243128964,0.625,0.7618714061253198,0.9138991946430188,0.5670744357313439,0.5636051708829328,0.23841603680578377,0.10976010515938218,0.12849162011173185
L1_group=B|L2_x1=mid,L1_group=B,2,10540,4626,0.7129180943057596,0.5938325991189428,0.9171085549573068,0.2034154777345438,0.1485084306095979,0.1286208387375702,f1_regret_bnd,0.3161629060795999,0.3377771845927462,-0.0216142785131462,True,ROOT,0.7085714285714285,0.5462555066079295,0.6169154228855722,0.758140976930177,0.9222511621645063,0.5792205221986427,0.5731733081156125,0.1982110448535131,0.0850401866735805,0.09074410163339383
L1_group=C|L2_x1=high,L1_group=C,2,8611,3812,0.7035214057749701,0.6919786096256685,0.9093708376553692,0.2759706190975866,0.2195697796432319,0.2683630640083945,f1_regret_bnd,0.3062231007064659,0.3129905516224777,-0.0067674509160117,True,ROOT,0.6967559943582511,0.7201166180758017,0.7082437275985662,0.8158741742249127,0.9183781315943675,0.6243751194816232,0.6242343314910619,0.24863738377685154,0.13850593138826547,0.22731644757935235
L1_group=C|L2_x1=low,L1_group=C,2,8711,3696,0.7343982059480006,0.7437314067148322,0.9082327030186204,0.3042478354978355,0.1582792207792207,0.323051948051948,f1_regret_bnd,0.3603439608273863,0.3129905516224777,0.0473534092049086,False,L1_group=C|L2_x1=low,0.7495256166982922,0.7790927021696252,0.7640232108317214,0.8261457747159365,0.9141268163103675,0.6460303450461633,0.6457579526079151,0.2900516795865633,0.14502583979328165,0.3404392764857881
L1_group=C|L2_x1=mid,L1_group=C,2,10817,4627,0.7376738775547738,0.7163323782234957,0.9047518102237898,0.2954398098119732,0.1471795980116706,0.2666954830343635,f1_regret_bnd,0.3473027694056871,0.3129905516224777,0.0343122177832094,False,L1_group=C|L2_x1=mid,0.6933461909353905,0.7125867195242814,0.7028347996089931,0.8006210908545777,0.897702539886123,0.5959983342772627,0.5958951176277583,0.30802069857697284,0.1446313065976714,0.2683053040103493
L1_group=D|L2_x1=high,L1_group=D,2,8638,3726,0.6308243914795384,0.8288486987207764,0.9018034007914848,0.2882447665056361,0.16935050993022,0.6749865807836822,f1_regret_bnd,0.4559286772500303,0.5222442368144327,-0.0663155595644023,True,L1_group=D,0.783531848783014,0.8910482921083628,0.8338385230090934,0.7977165081475336,0.8939258766866086,0.6109566190225654,0.6037528833736083,0.29884318766066836,0.13688946015424164,0.6205012853470437
L1_group=D|L2_x1=low,L1_group=D,2,8635,3680,0.6634193819031979,0.8676441052420165,0.9061184267743042,0.2533967391304347,0.127445652173913,0.714945652173913,f1_regret_bnd,0.5505245400246251,0.5222442368144327,0.0282803032101924,False,L1_group=D|L2_x1=low,0.8125854993160054,0.9152542372881356,0.8608695652173913,0.7736521857882039,0.8937313287342876,0.5839962871777901,0.5742615099369954,0.2774151436031332,0.12304177545691906,0.7157310704960835
L1_group=D|L2_x1=mid,L1_group=D,2,10857,4476,0.6164238798508396,0.8523478555687404,0.898435788395439,0.2772564789991063,0.1541554959785522,0.7220732797140303,f1_regret_bnd,0.4980136285803579,0.5222442368144327,-0.0242306082340747,True,L1_group=D,0.7982919886132575,0.9012855831037649,0.8466681043778306,0.7935813602662587,0.895489235146095,0.6094833783487102,0.6018920072938037,0.28040990151716794,0.1333510779877562,0.6545115783870109
